year,geography,geo_level,area,area_name,occ_code,occ_title,tot_emp,h_mean,a_mean,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,source_file
2005,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,686150.0,18.66,38810.0,14.38,29910.0,7.19,9.59,22.57,35.02,14940.0,19960.0,46950.0,72850.0,MSA_may2005_dl_3.xls
2006,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,711080.0,19.19,39910.0,14.7,30570.0,7.34,9.78,23.18,36.71,15270.0,20340.0,48200.0,76360.0,MSA_may2006_dl_3.xls
2007,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,743630.0,19.87,41330.0,14.88,30950.0,7.48,9.96,24.18,38.78,15560.0,20710.0,50300.0,80660.0,MSA_May2007_dl_3.xls
2008,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,775020.0,20.46,42550.0,15.26,31750.0,7.79,10.29,24.83,39.55,16200.0,21390.0,51640.0,82250.0,MSA_M2008_dl_3.xls
2009,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,769370.0,21.72,45180.0,16.3,33890.0,8.01,10.69,26.19,41.91,16650.0,22230.0,54480.0,87180.0,MSA_dl_3.xls
2010,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,759910.0,22.18,46130.0,16.78,34900.0,8.37,10.83,26.88,42.61,17400.0,22530.0,55910.0,88620.0,MSA_M2010_dl_3.xls
2011,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,787850.0,22.76,47340.0,17.2,35780.0,8.56,11.01,27.79,43.81,17810.0,22900.0,57810.0,91120.0,MSA_M2011_dl_3_OH_WY.xls
2012,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,812600.0,22.64,47080.0,17.12,35620.0,8.64,11.02,27.63,43.64,17960.0,22930.0,57470.0,90760.0,MSA_M2012_dl_3_OH_WY.xls
2013,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,854930.0,23.03,47900.0,17.48,36360.0,8.74,11.21,28.09,44.1,18180.0,23310.0,58430.0,91720.0,MSA_M2013_dl_3_OH_WY.xls
2014,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,886620.0,23.15,48150.0,17.62,36640.0,8.82,11.37,28.08,44.26,18340.0,23650.0,58420.0,92060.0,MSA_M2014_dl.xlsx
2015,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,928810.0,23.83,49560.0,17.95,37330.0,8.99,11.63,29.0,46.05,18700.0,24190.0,60320.0,95780.0,MSA_M2015_dl.xlsx
2016,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,965100.0,24.44,50830.0,18.17,37800.0,9.24,11.96,29.67,47.41,19220.0,24870.0,61710.0,98620.0,MSA_M2016_dl.xlsx
2017,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,996540.0,24.92,51840.0,18.56,38610.0,9.45,12.26,30.21,48.0,19650.0,25500.0,62830.0,99830.0,MSA_M2017_dl.xlsx
2018,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,1028500.0,25.87,53810.0,19.26,40070.0,9.85,12.89,31.5,49.12,20500.0,26800.0,65520.0,102170.0,MSA_M2018_dl.xlsx
2019,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,1073340.0,26.53,55190.0,19.98,41560.0,10.16,13.37,32.41,50.22,21130.0,27810.0,67420.0,104460.0,MSA_M2019_dl.xlsx
2020,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,1054230.0,27.8,57830.0,21.16,44020.0,10.7,14.2,34.23,52.81,22260.0,29530.0,71200.0,109830.0,MSA_M2020_dl.xlsx
2021,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,1073160.0,28.97,60260.0,22.55,46910.0,11.19,14.39,36.82,55.45,23270.0,29940.0,76590.0,115340.0,MSA_M2021_dl.xlsx
2022,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,1176860.0,30.72,63890.0,22.9,47630.0,12.63,16.14,37.28,59.44,26270.0,33570.0,77530.0,123640.0,MSA_M2022_dl.xlsx
2023,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",00-0000,All Occupations,1235440.0,33.25,69150.0,24.07,50070.0,13.5,17.23,39.56,63.52,28080.0,35840.0,82270.0,132130.0,MSA_M2023_dl.xlsx
2024,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,1260220.0,34.32,71390.0,25.29,52610.0,13.9,17.75,39.86,64.16,28920.0,36920.0,82910.0,133450.0,MSA_M2024_dl.xlsx
2025,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock-San Marcos, TX",00-0000,All Occupations,1293690.0,35.85,74580.0,27.38,56950.0,14.36,18.38,43.54,66.26,29860.0,38230.0,90560.0,137820.0,MSA_M2025_dl.xlsx
2005,US_national,National,0,U.S.,00-0000,All Occupations,130307840.0,18.21,37870.0,14.15,29430.0,7.26,9.46,22.2,33.74,15110.0,19680.0,46180.0,70180.0,national_may2005_dl.xls
2006,US_national,National,0,U.S.,00-0000,All Occupations,132604980.0,18.84,39190.0,14.61,30400.0,7.45,9.75,22.99,35.08,15500.0,20270.0,47820.0,72960.0,national_may2006_dl.xls
2007,US_national,National,0,U.S.,00-0000,All Occupations,134354250.0,19.56,40690.0,15.1,31410.0,7.72,10.06,23.87,36.49,16060.0,20920.0,49640.0,75910.0,national_May2007_dl.xls
2008,US_national,National,0,U.S.,00-0000,All Occupations,135185230.0,20.32,42270.0,15.57,32390.0,8.02,10.38,24.78,37.99,16680.0,21590.0,51540.0,79020.0,national__M2008_dl.xls
2009,US_national,National,0,U.S.,00-0000,All Occupations,130647610.0,20.9,43460.0,15.95,33190.0,8.24,10.55,25.44,39.02,17140.0,21940.0,52920.0,81160.0,national_dl.xls
2010,US_national,National,0,U.S.,00-0000,All Occupations,127097160.0,21.35,44410.0,16.27,33840.0,8.51,10.65,26.08,39.97,17690.0,22150.0,54250.0,83140.0,national_M2010_dl.xls
2011,US_national,National,0,U.S.,00-0000,All Occupations,128278550.0,21.74,45230.0,16.57,34460.0,8.65,10.76,26.67,41.0,18000.0,22380.0,55470.0,85280.0,national_M2011_dl.xls
2012,US_national,National,0,U.S.,00-0000,All Occupations,130287700.0,22.01,45790.0,16.71,34750.0,8.7,10.81,27.02,41.74,18090.0,22480.0,56200.0,86810.0,national_M2012_dl.xls
2013,US_national,National,0,U.S.,00-0000,All Occupations,132588810.0,22.33,46440.0,16.87,35080.0,8.74,10.9,27.34,42.47,18190.0,22670.0,56860.0,88330.0,national_M2013_dl.xls
2014,US_national,National,0,U.S.,00-0000,All Occupations,135128260.0,22.71,47230.0,17.09,35540.0,8.82,11.04,27.75,43.3,18350.0,22950.0,57720.0,90060.0,national_M2014_dl.xlsx
2015,US_national,National,0,U.S.,00-0000,All Occupations,137896660.0,23.23,48320.0,17.4,36200.0,9.07,11.27,28.32,44.29,18870.0,23430.0,58900.0,92110.0,national_M2015_dl.xlsx
2016,US_national,National,0,U.S.,00-0000,All Occupations,140400040.0,23.86,49630.0,17.81,37040.0,9.27,11.6,28.92,45.45,19290.0,24140.0,60150.0,94540.0,national_M2016_dl.xlsx
2017,US_national,National,0,U.S.,00-0000,All Occupations,142549250.0,24.34,50620.0,18.12,37690.0,9.6,11.91,29.38,46.23,19970.0,24770.0,61110.0,96150.0,national_M2017_dl.xlsx
2018,US_national,National,0,U.S.,00-0000,All Occupations,144733270.0,24.98,51960.0,18.58,38640.0,9.95,12.37,30.06,47.31,20690.0,25740.0,62510.0,98410.0,national_M2018_dl.xlsx
2019,US_national,National,0,U.S.,00-0000,All Occupations,146875480.0,25.72,53490.0,19.14,39810.0,10.35,13.02,30.88,48.57,21530.0,27080.0,64240.0,101020.0,national_M2019_dl.xlsx
2020,US_national,National,0,U.S.,00-0000,All Occupations,139099570.0,27.07,56310.0,20.17,41950.0,10.97,13.95,32.41,50.99,22810.0,29020.0,67410.0,106050.0,national_M2020_dl.xlsx
2021,US_national,National,0,U.S.,00-0000,All Occupations,140886310.0,28.01,58260.0,22.0,45760.0,11.53,14.4,32.98,49.43,23980.0,29950.0,68590.0,102810.0,national_M2021_dl.xlsx
2022,US_national,National,0,U.S.,00-0000,All Occupations,147886000.0,29.76,61900.0,22.26,46310.0,13.14,16.03,35.32,53.03,27340.0,33330.0,73460.0,110290.0,national_M2022_dl.xlsx
2023,US_national,National,0,U.S.,00-0000,All Occupations,151853870.0,31.48,65470.0,23.11,48060.0,13.97,17.14,37.01,58.4,29050.0,35660.0,76980.0,121470.0,national_M2023_dl.xlsx
2024,US_national,National,0,U.S.,00-0000,All Occupations,154187380.0,32.66,67920.0,23.8,49500.0,14.42,17.66,37.89,60.44,29990.0,36730.0,78810.0,125720.0,national_M2024_dl.xlsx
2025,US_national,National,0,U.S.,00-0000,All Occupations,155495730.0,33.54,69770.0,24.51,50980.0,15.0,18.07,38.71,61.81,31200.0,37590.0,80520.0,128560.0,national_M2025_dl.xlsx
2005,TX_state,State,48,Texas,00-0000,All Occupations,9424510.0,17.05,35470.0,12.88,26790.0,6.47,8.44,20.89,32.14,13470.0,17560.0,43450.0,66840.0,state_may2005_dl.xls
2006,TX_state,State,48,Texas,00-0000,All Occupations,9760960.0,17.5,36410.0,13.26,27570.0,6.62,8.69,21.34,32.89,13770.0,18080.0,44380.0,68400.0,state_may2006_dl.xls
2007,TX_state,State,48,Texas,00-0000,All Occupations,10061750.0,18.21,37880.0,13.76,28620.0,6.8,9.0,22.2,34.35,14140.0,18710.0,46180.0,71450.0,state_May2007_dl.xls
2008,TX_state,State,48,Texas,00-0000,All Occupations,10391420.0,18.9,39320.0,14.28,29710.0,7.17,9.3,23.06,35.43,14910.0,19350.0,47970.0,73690.0,state__M2008_dl.xls
2009,TX_state,State,48,Texas,00-0000,All Occupations,10289240.0,19.76,41100.0,14.83,30850.0,7.53,9.55,24.13,36.92,15660.0,19870.0,50180.0,76790.0,state_dl.xls
2010,TX_state,State,48,Texas,00-0000,All Occupations,10089870.0,20.3,42220.0,15.14,31490.0,7.99,9.69,24.78,37.83,16620.0,20150.0,51550.0,78680.0,state_M2010_dl.xls
2011,TX_state,State,48,Texas,00-0000,All Occupations,10304370.0,20.72,43090.0,15.44,32120.0,8.28,9.87,25.37,38.68,17210.0,20520.0,52770.0,80450.0,state_M2011_dl.xls
2012,TX_state,State,48,Texas,00-0000,All Occupations,10579400.0,20.97,43620.0,15.55,32350.0,8.32,9.9,25.57,39.66,17300.0,20590.0,53190.0,82500.0,state_M2012_dl.xls
2013,TX_state,State,48,Texas,00-0000,All Occupations,10913950.0,21.35,44400.0,15.81,32880.0,8.37,10.09,26.01,40.57,17420.0,20990.0,54090.0,84390.0,state_M2013_dl.xls
2014,TX_state,State,48,Texas,00-0000,All Occupations,11228940.0,21.79,45330.0,16.18,33650.0,8.45,10.36,26.53,41.42,17570.0,21550.0,55190.0,86160.0,state_M2014_dl.xlsx
2015,TX_state,State,48,Texas,00-0000,All Occupations,11572540.0,22.38,46560.0,16.61,34550.0,8.55,10.67,27.25,42.52,17780.0,22200.0,56680.0,88450.0,state_M2015_dl.xlsx
2016,TX_state,State,48,Texas,00-0000,All Occupations,11745250.0,22.97,47770.0,17.06,35480.0,8.69,11.0,27.98,43.61,18080.0,22890.0,58190.0,90710.0,state_M2016_dl.xlsx
2017,TX_state,State,48,Texas,00-0000,All Occupations,11890880.0,23.42,48700.0,17.39,36170.0,8.85,11.29,28.53,44.45,18400.0,23480.0,59340.0,92460.0,state_M2017_dl.xlsx
2018,TX_state,State,48,Texas,00-0000,All Occupations,12113810.0,23.9,49720.0,17.84,37100.0,9.06,11.63,29.06,45.04,18850.0,24190.0,60450.0,93670.0,state_M2018_dl.xlsx
2019,TX_state,State,48,Texas,00-0000,All Occupations,12431200.0,24.27,50490.0,18.28,38010.0,9.25,11.99,29.47,45.7,19240.0,24930.0,61290.0,95050.0,state_M2019_dl.xlsx
2020,TX_state,State,48,Texas,00-0000,All Occupations,12102370.0,25.19,52400.0,19.06,39640.0,9.55,12.56,30.59,47.62,19870.0,26120.0,63620.0,99050.0,state_M2020_dl.xlsx
2021,TX_state,State,48,Texas,00-0000,All Occupations,12226170.0,26.07,54230.0,18.77,39030.0,10.63,13.78,30.01,48.02,22110.0,28660.0,62420.0,99880.0,state_M2021_dl.xlsx
2022,TX_state,State,48,Texas,00-0000,All Occupations,12992730.0,27.55,57300.0,20.9,43460.0,10.92,14.29,31.47,49.82,22710.0,29720.0,65460.0,103620.0,state_M2022_dl.xlsx
2023,TX_state,State,48,Texas,00-0000,All Occupations,13557950.0,29.44,61240.0,22.1,45970.0,11.68,15.35,34.92,53.76,24300.0,31920.0,72640.0,111820.0,state_M2023_dl.xlsx
2024,TX_state,State,48,Texas,00-0000,All Occupations,13846880.0,30.6,63660.0,22.84,47500.0,12.52,16.4,36.33,58.26,26050.0,34100.0,75570.0,121180.0,state_M2024_dl.xlsx
2025,TX_state,State,48,Texas,00-0000,All Occupations,14071160.0,31.61,65750.0,23.38,48620.0,13.1,17.01,37.42,60.2,27250.0,35370.0,77840.0,125220.0,state_M2025_dl.xlsx
2005,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",27-1024,Graphic designers,1230.0,20.13,41870.0,18.49,38460.0,11.78,14.2,23.62,30.38,24500.0,29540.0,49140.0,63190.0,MSA_may2005_dl_3.xls
2006,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",27-1024,Graphic designers,1100.0,20.79,43250.0,19.24,40020.0,12.27,14.89,25.15,31.67,25520.0,30970.0,52320.0,65870.0,MSA_may2006_dl_3.xls
2007,Austin_RoundRock_MSA_12420,MSA,12420,"Austin-Round Rock, TX",27-1024,Graphic designers,1060.0,21.66,45050.0,19.68,40940.0,12.72,15.25,25.45,33.48,26470.0,31710.0,52940.0,69630.0,MSA_May2007_dl_3.xls
