SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,COW,MAR,SCHL,SEMP,SEX,WAGP,WKHP,WKWN,ESR,HICOV,HISP,OCCP,PERNP,PINCP,PRIVCOV,PUBCOV,RAC1P,occp_label
2020GQ0002569,01,05000,48,1222017,12,20,1,5,19,0,1,7000,40,52,1.0,1,01,2752.0,7000,7000,1,2,2,Musicians and Singers
2020GQ0007391,01,02513,48,1222017,14,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0009604,01,05905,48,1222017,15,21,1,5,19,0,1,1200,5,6,6.0,1,02,2752.0,1200,1200,1,2,8,Musicians and Singers
2020GQ0013719,01,05902,48,1222017,7,20,1,5,19,0,1,80,2,1,6.0,1,01,2752.0,80,80,1,2,1,Musicians and Singers
2020GQ0029857,01,05306,48,1222017,11,20,1,5,19,0,1,7000,40,52,1.0,2,01,2752.0,7000,7000,2,2,2,Musicians and Singers
2020GQ0033671,01,05306,48,1222017,14,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0036067,01,03400,48,1222017,11,29,1,5,16,0,2,5000,30,8,6.0,2,01,2740.0,5000,5000,2,2,1,Dancers and Choreographers
2020GQ0037303,01,05000,48,1222017,1,20,1,5,19,0,1,7000,40,52,1.0,2,01,2752.0,7000,7000,2,2,2,Musicians and Singers
2020GQ0038248,01,04301,48,1222017,4,30,1,5,16,0,1,0,,,6.0,1,01,2752.0,0,8500,2,1,2,Musicians and Singers
2020GQ0049701,01,05000,48,1222017,1,20,1,5,19,0,1,7000,40,52,1.0,2,01,2752.0,7000,7000,2,2,2,Musicians and Singers
2020GQ0052265,01,05901,48,1222017,12,21,1,5,19,0,1,1200,5,6,6.0,1,02,2752.0,1200,1200,1,2,8,Musicians and Singers
2020GQ0052441,01,06604,48,1222017,25,29,1,5,16,0,2,5000,30,8,6.0,2,01,2740.0,5000,5000,2,2,1,Dancers and Choreographers
2020GQ0053636,01,05000,48,1222017,1,20,1,5,19,0,1,7000,40,52,1.0,1,01,2752.0,7000,7000,1,2,2,Musicians and Singers
2020GQ0065771,01,03400,48,1222017,9,29,1,5,16,0,2,5000,30,8,6.0,2,01,2740.0,5000,5000,2,2,1,Dancers and Choreographers
2020GQ0066714,01,05306,48,1222017,12,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0068509,01,05309,48,1222017,14,29,1,5,16,0,2,5000,30,8,6.0,2,01,2740.0,5000,5000,2,2,1,Dancers and Choreographers
2020GQ0068987,01,02900,48,1222017,10,29,1,5,16,0,2,5000,30,8,6.0,2,01,2740.0,5000,5000,2,2,1,Dancers and Choreographers
2020GQ0081087,01,05910,48,1222017,17,21,1,5,19,0,1,1200,5,6,6.0,1,02,2752.0,1200,1200,1,2,8,Musicians and Singers
2020GQ0085957,01,00600,48,1222017,6,20,1,5,19,0,1,80,2,1,6.0,1,01,2752.0,80,80,1,2,1,Musicians and Singers
2020GQ0114947,01,01600,48,1222017,2,20,1,5,19,0,1,1400,30,1,6.0,1,01,2752.0,1400,1400,1,2,1,Musicians and Singers
2020GQ0118530,01,05902,48,1222017,13,21,1,5,19,0,1,1200,5,6,6.0,1,02,2752.0,1200,1200,1,2,8,Musicians and Singers
2020GQ0123067,01,02503,48,1222017,16,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0125287,01,05000,48,1222017,15,20,1,5,19,0,1,7000,40,52,1.0,1,01,2752.0,7000,7000,1,2,2,Musicians and Singers
2020GQ0133029,01,02510,48,1222017,9,30,1,5,16,0,1,0,,,6.0,1,01,2752.0,0,8500,2,1,2,Musicians and Singers
2020GQ0137344,01,02513,48,1222017,6,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0149338,01,02513,48,1222017,14,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0155923,01,05000,48,1222017,1,21,1,5,16,0,1,7000,40,52,1.0,1,01,2752.0,7000,7000,1,2,2,Musicians and Singers
2020GQ0162818,01,05902,48,1222017,3,21,1,5,19,0,1,1200,5,6,6.0,1,02,2752.0,1200,1200,1,2,8,Musicians and Singers
2020GQ0177766,01,05402,48,1222017,13,20,1,5,19,0,1,7000,40,52,1.0,1,01,2752.0,7000,7000,1,2,2,Musicians and Singers
2020GQ0180131,01,02513,48,1222017,12,19,2,5,19,0,1,2800,20,2,1.0,1,02,2752.0,2800,2800,1,2,1,Musicians and Singers
2020GQ0180663,01,05000,48,1222017,12,20,1,5,19,0,1,7000,40,52,1.0,2,01,2752.0,7000,7000,2,2,2,Musicians and Singers
2020HU0000688,01,05905,48,1222017,8,37,5,1,20,0,1,38300,40,52,4.0,1,01,2905.0,38300,38300,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2020HU0001394,02,02005,48,1222017,14,56,6,3,16,30000,1,0,40,52,1.0,2,01,2634.0,30000,30000,2,2,1,Graphic Designers
2020HU0001788,01,04629,48,1222017,41,38,1,5,21,0,1,55000,40,52,1.0,1,01,2710.0,55000,55000,1,2,2,Producers and Directors
2020HU0002053,01,02309,48,1222017,22,69,6,3,21,1900,1,0,40,52,1.0,1,01,2634.0,1900,29700,2,1,1,Graphic Designers
2020HU0003063,02,02002,48,1222017,20,56,6,3,16,30000,1,0,40,52,1.0,1,01,2634.0,30000,30000,1,2,1,Graphic Designers
2020HU0005123,01,05306,48,1222017,32,44,1,5,21,5000,2,50000,40,52,1.0,1,01,2634.0,55000,55000,1,2,1,Graphic Designers
2020HU0006054,03,05905,48,1222017,91,30,7,5,19,7000,1,30000,99,52,1.0,1,02,2905.0,37000,37000,1,2,9,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2020HU0009151,01,02312,48,1222017,121,61,6,3,21,5000,1,0,30,5,1.0,1,01,2710.0,5000,75000,1,2,1,Producers and Directors
