commodity,year,real_gross_output_millions_chained_2017usd
Total ACPSA,1998,809612.1779424944
Total ACPSA,1999,872203.1462751041
Total ACPSA,2000,942090.0275957764
Total ACPSA,2001,948775.7207733038
Total ACPSA,2002,959573.5149356673
Total ACPSA,2003,979823.4807417836
Total ACPSA,2004,1004600.918738373
Total ACPSA,2005,1030447.5475088482
Total ACPSA,2006,1066035.2418817768
Total ACPSA,2007,1102833.6154828502
Total ACPSA,2008,1112526.6775218972
Total ACPSA,2009,1047001.9451017717
Total ACPSA,2010,1084788.8710131685
Total ACPSA,2011,1113153.3851891423
Total ACPSA,2012,1155015.006133489
Total ACPSA,2013,1178315.0702621513
Total ACPSA,2014,1229355.4399694551
Total ACPSA,2015,1281686.0971309538
Total ACPSA,2016,1352823.5821237597
Total ACPSA,2017,1418460.8734169381
Total ACPSA,2018,1495622.9448951713
Total ACPSA,2019,1546859.530774719
Total ACPSA,2020,1508754.591793069
Total ACPSA,2021,1711498.2186041235
Total ACPSA,2022,1869729.987295711
Total ACPSA,2023,1927947.5702117737
Core Arts and Cultural Production,1998,435455.4632385784
Core Arts and Cultural Production,1999,464159.2537916545
Core Arts and Cultural Production,2000,504382.18602698727
Core Arts and Cultural Production,2001,508840.2331730523
Core Arts and Cultural Production,2002,511792.75491068594
Core Arts and Cultural Production,2003,519674.548592752
Core Arts and Cultural Production,2004,532797.2914739101
Core Arts and Cultural Production,2005,544588.5446522947
Core Arts and Cultural Production,2006,555593.8578008218
Core Arts and Cultural Production,2007,566187.7625224256
Core Arts and Cultural Production,2008,567112.4991209819
Core Arts and Cultural Production,2009,530399.4054548134
Core Arts and Cultural Production,2010,540356.9926238955
Core Arts and Cultural Production,2011,549024.9882198939
Core Arts and Cultural Production,2012,568345.4100539829
Core Arts and Cultural Production,2013,578556.1488350068
Core Arts and Cultural Production,2014,608733.4217788782
Core Arts and Cultural Production,2015,635791.0518538313
Core Arts and Cultural Production,2016,671400.8362001466
Core Arts and Cultural Production,2017,697006.47358545
Core Arts and Cultural Production,2018,741759.1099199941
Core Arts and Cultural Production,2019,776865.0157878809
Core Arts and Cultural Production,2020,755059.2627034052
Core Arts and Cultural Production,2021,854078.6872354306
Core Arts and Cultural Production,2022,943940.8818935086
Core Arts and Cultural Production,2023,974155.742927165
Performing Arts,1998,14111.638772898303
Performing Arts,1999,14991.021861001245
Performing Arts,2000,16355.109724198519
Performing Arts,2001,17835.248398663854
Performing Arts,2002,16806.007788030252
Performing Arts,2003,18310.51214302585
Performing Arts,2004,21444.381011480895
Performing Arts,2005,22916.093458565934
Performing Arts,2006,24716.497128733405
Performing Arts,2007,26676.81937513466
Performing Arts,2008,26640.349740890248
Performing Arts,2009,26986.922364203398
Performing Arts,2010,27619.71145695981
Performing Arts,2011,27354.622312058094
Performing Arts,2012,26776.540898640033
Performing Arts,2013,28777.423650183802
Performing Arts,2014,31611.726173913226
Performing Arts,2015,35202.769399713616
Performing Arts,2016,38109.199516631495
Performing Arts,2017,41650.161520083086
Performing Arts,2018,43431.44730345212
Performing Arts,2019,45760.190484378436
Performing Arts,2020,28007.044979626164
Performing Arts,2021,33181.53092719165
Performing Arts,2022,46524.41802520145
Performing Arts,2023,53827.712170963016
Performing Arts - Music Groups,1998,3189.2107617949664
Performing Arts - Music Groups,1999,3385.7749918133336
Performing Arts - Music Groups,2000,3694.466902506572
Performing Arts - Music Groups,2001,4029.680482643779
Performing Arts - Music Groups,2002,3784.4753365605575
Performing Arts - Music Groups,2003,3795.195034127349
Performing Arts - Music Groups,2004,4069.080122190864
Performing Arts - Music Groups,2005,3935.848680703684
Performing Arts - Music Groups,2006,3816.734207963012
Performing Arts - Music Groups,2007,3646.51595484757
Performing Arts - Music Groups,2008,3633.1559144225157
Performing Arts - Music Groups,2009,3667.7064972352123
Performing Arts - Music Groups,2010,3754.2907815528756
Performing Arts - Music Groups,2011,3705.420958367627
Performing Arts - Music Groups,2012,3635.054042322804
Performing Arts - Music Groups,2013,4210.487188953746
Performing Arts - Music Groups,2014,4952.723696628718
Performing Arts - Music Groups,2015,5880.0071970974495
Performing Arts - Music Groups,2016,6754.292947178814
Performing Arts - Music Groups,2017,7814.8741269108605
Performing Arts - Music Groups,2018,8147.939087949229
Performing Arts - Music Groups,2019,8581.95233135626
Performing Arts - Music Groups,2020,5260.38775141857
Performing Arts - Music Groups,2021,6218.33965704125
Performing Arts - Music Groups,2022,8716.457708460437
Performing Arts - Music Groups,2023,10056.45268413373
Performing Arts - Dance,1998,612.5631878423056
Performing Arts - Dance,1999,650.3179868660142
Performing Arts - Dance,2000,709.6095530242051
Performing Arts - Dance,2001,773.9952316744651
Performing Arts - Dance,2002,726.897796860989
Performing Arts - Dance,2003,731.5915572801002
Performing Arts - Dance,2004,787.7331969094487
