industry,year,real_value_added_millions_chained_2017usd
Total,1998,511618.43935
Total,1999,558499.99464
Total,2000,555415.46457
Total,2001,572570.89603
Total,2002,607747.67212
Total,2003,615694.80973
Total,2004,644686.83856
Total,2005,636975.92006
Total,2006,648346.65054
Total,2007,682934.75634
Total,2008,714191.62116
Total,2009,679229.55057
Total,2010,714648.74407
Total,2011,724448.50935
Total,2012,730651.51417
Total,2013,761298.81988
Total,2014,776321.4931
Total,2015,811334.31309
Total,2016,837995.8927
Total,2017,863994.98664
Total,2018,885070.06886
Total,2019,922960.62222
Total,2020,907476.91363
Total,2021,1008761.2862
Total,2022,1047321.0908
Total,2023,1116558.6453
Core Arts and Cultural Production,1998,116374.68866
Core Arts and Cultural Production,1999,120873.90479
Core Arts and Cultural Production,2000,126258.13989
Core Arts and Cultural Production,2001,128247.25741
Core Arts and Cultural Production,2002,135598.50312
Core Arts and Cultural Production,2003,139050.92301
Core Arts and Cultural Production,2004,142889.38475
Core Arts and Cultural Production,2005,139691.8887
Core Arts and Cultural Production,2006,142808.80083
Core Arts and Cultural Production,2007,141523.37764
Core Arts and Cultural Production,2008,154558.14578
Core Arts and Cultural Production,2009,146677.10128
Core Arts and Cultural Production,2010,152470.71847
Core Arts and Cultural Production,2011,160561.79057
Core Arts and Cultural Production,2012,170794.04092
Core Arts and Cultural Production,2013,169141.56619
Core Arts and Cultural Production,2014,178916.71731
Core Arts and Cultural Production,2015,178303.98392
Core Arts and Cultural Production,2016,180617.39331
Core Arts and Cultural Production,2017,186455.72717
Core Arts and Cultural Production,2018,199898.76721
Core Arts and Cultural Production,2019,207734.70197
Core Arts and Cultural Production,2020,184230.42745
Core Arts and Cultural Production,2021,206630.30268
Core Arts and Cultural Production,2022,233483.7157
Core Arts and Cultural Production,2023,246312.99685
Performing Arts,1998,42851.898135
Performing Arts,1999,43511.987354
Performing Arts,2000,44620.556252
Performing Arts,2001,46276.132887
Performing Arts,2002,49702.945398
Performing Arts,2003,53032.786037
Performing Arts,2004,54217.051808
Performing Arts,2005,52967.951428
Performing Arts,2006,55621.398392
Performing Arts,2007,52276.161813
Performing Arts,2008,56155.072423
Performing Arts,2009,58210.001899
Performing Arts,2010,59898.305465
Performing Arts,2011,63526.697647
Performing Arts,2012,68148.223106
Performing Arts,2013,66310.207874
Performing Arts,2014,68539.444052
Performing Arts,2015,66067.988896
Performing Arts,2016,66721.657958
Performing Arts,2017,67881.173787
Performing Arts,2018,72562.763666
Performing Arts,2019,74752.364643
Performing Arts,2020,54057.94873
Performing Arts,2021,61403.09083
