state,year,acpsa_value_added_thousands,acpsa_employment_jobs,acpsa_compensation_thousands,acpsa_va_share_of_state_gdp,state_total_value_added_thousands
United States,2001,472059000,5985000,270299000,0.044609923635844054,10581928000
United States,2002,506830000,5895000,270610000,0.04637432441879063,10929108000
United States,2003,518767000,5653000,273236000,0.045281657518835026,11456449000
United States,2004,550057000,5539000,279168000,0.0450231861751561,12217194000
United States,2005,553844000,5388000,281228000,0.042475315005977746,13039197000
United States,2006,575134000,5306000,290537000,0.04162936579445357,13815584000
United States,2007,615793000,5320000,307712000,0.042544099761313695,14474228000
United States,2008,652156000,5308000,314848000,0.04415450868802972,14769862000
United States,2009,627169000,5015000,300482000,0.04331855903139556,14478067000
United States,2010,663565000,4968000,306037000,0.04409370952381332,15048972000
United States,2011,679310000,4986000,317605000,0.04354626371441918,15599731000
United States,2012,696993000,5022000,332702000,0.042881411219883196,16253966000
United States,2013,735007000,5075000,348130000,0.04354130436894619,16880684000
United States,2014,756621000,5151000,367550000,0.04296995838117816,17608139000
United States,2015,798400000,5208000,383871000,0.043640293568429744,18295019000
United States,2016,835190000,5281000,396305000,0.044413393457337455,18804913000
United States,2017,863995000,5322000,417323000,0.04405417185223982,19612104000
United States,2018,889286000,5353000,439872000,0.04305110861375572,20656518000
United States,2019,931045000,5392000,457142000,0.043224041990753935,21539980000
United States,2020,919617000,4971000,465510000,0.04306511558316305,21354105000
United States,2021,1021667000,5147000,519341000,0.04314258966089936,23681170000
United States,2022,1087107000,5379000,534514000,0.04180073049872553,26006890000
United States,2023,1169754000,5395000,553894000,0.04219784149083932,27720707000
