state,year,acpsa_value_added_thousands,acpsa_employment_jobs,acpsa_compensation_thousands,acpsa_va_share_of_state_gdp,state_total_value_added_thousands
California,2001,92034666.0,752865,48071607,0.067,1373270815.0
California,2002,100927126.0,731584,47201195,0.071,1419321823.0
California,2003,103853929.0,715035,48898851,0.069,1498577965.0
California,2004,111363749.0,710796,51130680,0.07,1585081440.0
California,2005,106490990.0,687361,50990329,0.063,1698858388.0
California,2006,112178776.0,693143,53440742,0.062,1812161630.0
California,2007,126574182.0,720865,60099398,0.067,1900220369.0
California,2008,135248237.0,725133,61359139,0.069,1946241466.0
California,2009,132053017.0,672229,58060784,0.07,1879809513.0
California,2010,143038166.0,664588,60407246,0.074,1938603260.0
California,2011,149114875.0,680228,64960251,0.074,2014050287.0
California,2012,151545738.0,682365,68891304,0.072,2108873110.0
California,2013,172485936.0,711478,78863986,0.078,2223300903.0
California,2014,179050448.0,734623,83322423,0.076,2342218803.0
California,2015,194632047.0,758649,90029734,0.078,2487156418.0
California,2016,206494779.0,791496,93613477,0.08,2586485176.0
California,2017,222647260.0,795846,103255491,0.081,2740550256.0
California,2018,225872362.0,797271,109817435,0.078,2899530864.0
California,2019,237166225.0,809384,114400781,0.077,3068629663.0
California,2020,233911452.0,736840,118697522,0.076,3076755114.0
California,2021,271052280.0,791041,140491968,0.079,3423958296.0
California,2022,272142436.0,842925,134875543,0.074,3660415695.0
California,2023,288902344.0,821183,136233148,0.075,3870378947.0
Florida,2001,21975190.0,317500,12036665,0.042,519140736.0
Florida,2002,23585209.0,319550,12493527,0.043,553359870.0
Florida,2003,24835637.0,311087,12876854,0.042,590284751.0
Florida,2004,26972787.0,308993,13403011,0.042,647041811.0
Florida,2005,28303461.0,303366,13643937,0.04,704890327.0
Florida,2006,29377928.0,299760,13929443,0.039,749925034.0
Florida,2007,30289150.0,292188,14070044,0.039,781947333.0
Florida,2008,30344613.0,278568,13585772,0.04,767357775.0
Florida,2009,28625963.0,262610,12828622,0.039,739322391.0
Florida,2010,30164686.0,262214,13151943,0.04,752998398.0
Florida,2011,30488796.0,261033,13240868,0.04,761043106.0
Florida,2012,31070896.0,260514,13626293,0.04,784545944.0
Florida,2013,31594818.0,261221,13704493,0.039,819679764.0
Florida,2014,32733430.0,270531,14736242,0.038,860112628.0
Florida,2015,34923462.0,274575,15443696,0.038,918464307.0
Florida,2016,36120244.0,285573,16461100,0.037,964500842.0
Florida,2017,35801762.0,288882,17073997,0.035,1014866863.0
Florida,2018,35597544.0,290865,17601735,0.033,1072085590.0
Florida,2019,36470949.0,287892,18202046,0.032,1133718001.0
Florida,2020,35733069.0,270536,18328713,0.031,1142004410.0
Florida,2021,39626508.0,276590,20014108,0.031,1298631183.0
Florida,2022,45652317.0,291681,22487410,0.031,1465281113.0
Florida,2023,50847872.0,307615,24346037,0.032,1600810606.0
Georgia,2001,13125317.0,183140,7449822,0.041,316872709.0
Georgia,2002,13824526.0,180462,7430976,0.042,326017938.0
Georgia,2003,14052442.0,170045,7348486,0.041,339540505.0
Georgia,2004,15004211.0,168230,7510813,0.041,364530071.0
Georgia,2005,15573772.0,161087,7510019,0.04,388707203.0
Georgia,2006,15971566.0,155307,7607220,0.039,405664157.0
Georgia,2007,17167902.0,155175,8053896,0.041,419384832.0
Georgia,2008,17941767.0,154840,8016849,0.043,416303520.0
Georgia,2009,17359874.0,145733,7793097,0.042,409876205.0
Georgia,2010,18104163.0,142555,7777191,0.043,419013087.0
Georgia,2011,18522009.0,144174,8131581,0.043,433137062.0
Georgia,2012,19119407.0,144878,8594996,0.043,449375583.0
Georgia,2013,19624157.0,146342,8744715,0.042,467559538.0
Georgia,2014,20147530.0,153360,9422382,0.041,493370260.0
Georgia,2015,22707927.0,161799,10283312,0.043,525516840.0
Georgia,2016,24697879.0,164382,10796380,0.045,554903166.0
Georgia,2017,26088742.0,170056,11662231,0.045,583543340.0
Georgia,2018,25794907.0,169477,11798152,0.042,612803388.0
Georgia,2019,26358782.0,172446,12230801,0.041,646695802.0
Georgia,2020,24891263.0,157869,11790497,0.039,640223569.0
Georgia,2021,29022114.0,170229,14072929,0.041,705546734.0
Georgia,2022,31392841.0,173545,14540034,0.04,779684001.0
Georgia,2023,31218180.0,164919,13538119,0.038,831827747.0
Louisiana,2001,3290203.0,52326,1803858,0.024,138204294.0
Louisiana,2002,3490934.0,52452,1883311,0.025,140082830.0
Louisiana,2003,3650379.0,51432,1923105,0.024,155198693.0
Louisiana,2004,4024853.0,51692,2027724,0.024,170999627.0
Louisiana,2005,4206756.0,48567,1992818,0.021,199314180.0
Louisiana,2006,4422289.0,45198,2017593,0.021,207249786.0
Louisiana,2007,5222645.0,47181,2205521,0.026,203771306.0
Louisiana,2008,5607556.0,48256,2330346,0.026,213803512.0
Louisiana,2009,5312690.0,44655,2240734,0.026,206111505.0
Louisiana,2010,6214896.0,46049,2390140,0.027,226555639.0
Louisiana,2011,6078721.0,46066,2413545,0.026,230518675.0
Louisiana,2012,6317394.0,48193,2549262,0.027,235960885.0
Louisiana,2013,6698624.0,50185,2667842,0.029,231652750.0
Louisiana,2014,6445982.0,49918,2783578,0.027,240965026.0
Louisiana,2015,6751713.0,52507,2977637,0.029,234324242.0
Louisiana,2016,5927250.0,49085,2781813,0.026,227440267.0
Louisiana,2017,5539551.0,48375,2771141,0.023,239830737.0
Louisiana,2018,5831037.0,50142,3025942,0.023,256444430.0
Louisiana,2019,5964138.0,51215,3136450,0.023,257498990.0
Louisiana,2020,5330732.0,44756,2862475,0.023,236216320.0
Louisiana,2021,5827574.0,46523,3062941,0.022,267263558.0
Louisiana,2022,6789939.0,51299,3443628,0.023,298424460.0
Louisiana,2023,6558664.0,48591,3290190,0.021,314988600.0
New York,2001,58413914.0,512331,30400228,0.067,876285223.0
New York,2002,62299821.0,496868,29650217,0.07,885386163.0
New York,2003,63583677.0,468683,29570419,0.07,908535168.0
New York,2004,68667797.0,460654,30748332,0.072,958565330.0
New York,2005,69638295.0,453022,31814524,0.069,1009851006.0
New York,2006,74392061.0,444120,33434262,0.069,1072271784.0
New York,2007,79339488.0,447370,35196362,0.071,1116265310.0
New York,2008,87144803.0,459602,37399710,0.079,1107860207.0
New York,2009,85084723.0,438555,35882771,0.074,1155492252.0
New York,2010,93170872.0,448591,37160659,0.077,1217747974.0
New York,2011,97816556.0,457151,38966986,0.079,1245769442.0
New York,2012,103386187.0,467289,42252505,0.078,1324471339.0
New York,2013,109508892.0,477140,43670025,0.08,1364632910.0
New York,2014,112863247.0,489095,47342297,0.079,1434606285.0
New York,2015,116369714.0,489908,48685061,0.078,1498474663.0
New York,2016,123696745.0,493112,50437820,0.079,1556829961.0
New York,2017,124855729.0,491201,50714130,0.077,1624800665.0
New York,2018,129896142.0,484646,51771632,0.076,1710665609.0
New York,2019,136013076.0,489857,54361434,0.076,1787470891.0
New York,2020,132952732.0,443877,55467814,0.075,1773369808.0
New York,2021,144337273.0,454935,61472462,0.075,1923413303.0
New York,2022,152578332.0,479203,64287505,0.074,2052758842.0
New York,2023,164710427.0,482543,66060273,0.076,2172009629.0
Tennessee,2001,7545787.0,116998,4119568,0.041,185917242.0
Tennessee,2002,8192470.0,116559,4214434,0.042,195386060.0
Tennessee,2003,8842274.0,115795,4426007,0.043,204665883.0
Tennessee,2004,9597179.0,114415,4562890,0.044,219862405.0
Tennessee,2005,10204893.0,114918,4779266,0.044,231339046.0
Tennessee,2006,11112963.0,112897,5045998,0.046,243104414.0
Tennessee,2007,11617093.0,109346,4983183,0.047,248261564.0
Tennessee,2008,12213575.0,109335,5133992,0.048,255546700.0
Tennessee,2009,11500474.0,99900,4658091,0.045,252940709.0
Tennessee,2010,11890629.0,98554,4670312,0.046,258657565.0
Tennessee,2011,11677420.0,97423,4821951,0.043,270054952.0
Tennessee,2012,11942578.0,97204,4962626,0.042,285897496.0
Tennessee,2013,12146237.0,98879,5010693,0.041,296756297.0
Tennessee,2014,12553301.0,99456,5270443,0.041,307448495.0
Tennessee,2015,13554603.0,100018,5590606,0.042,326382457.0
Tennessee,2016,13709240.0,101988,5672084,0.04,339350225.0
Tennessee,2017,14232657.0,104821,6035029,0.04,355417465.0
Tennessee,2018,14037315.0,103850,6239884,0.038,369713198.0
Tennessee,2019,14613976.0,105149,6427988,0.038,385832988.0
Tennessee,2020,13660177.0,96909,6149965,0.035,391563211.0
Tennessee,2021,15889088.0,100894,6979423,0.036,441952481.0
Tennessee,2022,18698139.0,107842,7997154,0.038,488670145.0
Tennessee,2023,21182564.0,108773,8701660,0.04,523031560.0
Texas,2001,27437425.0,328825,14331820,0.035,780206165.0
Texas,2002,29300538.0,327089,14539081,0.037,796357278.0
Texas,2003,29042644.0,310991,14334701,0.035,840860776.0
Texas,2004,31409517.0,309676,14895502,0.034,921230705.0
Texas,2005,31127581.0,308972,15223042,0.031,1003745898.0
Texas,2006,32979640.0,318195,16476866,0.03,1108236508.0
Texas,2007,35310223.0,320711,17683749,0.029,1198565001.0
Texas,2008,37411781.0,317452,17934256,0.03,1253141987.0
Texas,2009,35821688.0,309275,17424961,0.03,1179168068.0
Texas,2010,37188177.0,311201,17764061,0.03,1255660779.0
Texas,2011,38055712.0,321552,18668706,0.028,1351776915.0
Texas,2012,38061720.0,320632,19122933,0.027,1429588040.0
Texas,2013,39238866.0,326635,19941819,0.026,1526781923.0
Texas,2014,40379433.0,332690,20989597,0.025,1592177622.0
Texas,2015,41843996.0,339716,21752788,0.026,1585985897.0
Texas,2016,45443563.0,344921,22609769,0.029,1582981519.0
Texas,2017,48398198.0,352456,23709851,0.029,1667313043.0
Texas,2018,51965911.0,369335,25821454,0.029,1808026912.0
Texas,2019,52782731.0,365764,26399059,0.028,1864872254.0
Texas,2020,51903461.0,343992,26690889,0.029,1802143711.0
Texas,2021,56233238.0,353960,28829279,0.027,2088972283.0
Texas,2022,60421675.0,368162,30380545,0.025,2436925022.0
Texas,2023,65569985.0,360964,31967212,0.025,2583866227.0
United States,2001,472059000.0,5985000,270299000,0.044609923635844054,10581928000.0
United States,2002,506830000.0,5895000,270610000,0.04637432441879063,10929108000.0
United States,2003,518767000.0,5653000,273236000,0.045281657518835026,11456449000.0
United States,2004,550057000.0,5539000,279168000,0.0450231861751561,12217194000.0
United States,2005,553844000.0,5388000,281228000,0.042475315005977746,13039197000.0
United States,2006,575134000.0,5306000,290537000,0.04162936579445357,13815584000.0
United States,2007,615793000.0,5320000,307712000,0.042544099761313695,14474228000.0
United States,2008,652156000.0,5308000,314848000,0.04415450868802972,14769862000.0
United States,2009,627169000.0,5015000,300482000,0.04331855903139556,14478067000.0
United States,2010,663565000.0,4968000,306037000,0.04409370952381332,15048972000.0
United States,2011,679310000.0,4986000,317605000,0.04354626371441918,15599731000.0
United States,2012,696993000.0,5022000,332702000,0.042881411219883196,16253966000.0
United States,2013,735007000.0,5075000,348130000,0.04354130436894619,16880684000.0
United States,2014,756621000.0,5151000,367550000,0.04296995838117816,17608139000.0
United States,2015,798400000.0,5208000,383871000,0.043640293568429744,18295019000.0
United States,2016,835190000.0,5281000,396305000,0.044413393457337455,18804913000.0
United States,2017,863995000.0,5322000,417323000,0.04405417185223982,19612104000.0
United States,2018,889286000.0,5353000,439872000,0.04305110861375572,20656518000.0
United States,2019,931045000.0,5392000,457142000,0.043224041990753935,21539980000.0
United States,2020,919617000.0,4971000,465510000,0.04306511558316305,21354105000.0
United States,2021,1021667000.0,5147000,519341000,0.04314258966089936,23681170000.0
United States,2022,1087107000.0,5379000,534514000,0.04180073049872553,26006890000.0
United States,2023,1169754000.0,5395000,553894000,0.04219784149083932,27720707000.0
Washington,2001,14877866.0,150264,9592794,0.063,237978177.0
Washington,2002,16364553.0,147306,9275550,0.067,245629810.0
Washington,2003,17320522.0,143110,9462035,0.068,254720198.0
Washington,2004,16849297.0,139110,8744784,0.063,267423939.0
Washington,2005,17550288.0,136970,8832359,0.06,293401990.0
Washington,2006,18669345.0,136791,9519553,0.059,314190840.0
Washington,2007,22041857.0,139071,10716009,0.065,341712300.0
Washington,2008,23076209.0,141738,10970208,0.065,352460709.0
Washington,2009,23078361.0,135675,10848362,0.066,349945415.0
Washington,2010,24614260.0,133841,11006990,0.068,363544220.0
Washington,2011,25412958.0,132662,11384459,0.067,377518830.0
Washington,2012,27473566.0,134453,12336068,0.069,398358522.0
Washington,2013,29426157.0,138101,12908296,0.071,416924127.0
Washington,2014,32487891.0,144720,14348996,0.074,439851230.0
Washington,2015,34693576.0,150230,15123727,0.074,467590624.0
Washington,2016,39584005.0,160454,16944522,0.081,489790215.0
Washington,2017,43520716.0,170727,19157012,0.083,527169356.0
Washington,2018,48059456.0,176971,21991529,0.084,570337763.0
Washington,2019,55781042.0,189562,24541208,0.092,608643403.0
