state,incl_lineitems_percapita,incl_lineitems_rank,excl_lineitems_percapita,excl_lineitems_rank,total_state_funds_percapita,total_state_funds_rank,total_agency_revenue_percapita,total_agency_revenue_rank
Alabama,1.58,20,1.32,20,1.62,23,1.81,26
Alaska,1.24,25,1.24,22,1.29,26,3.99,11
Arizona,0.26,48,0.26,47,0.41,47,0.6,47
Arkansas,0.48,42,0.48,39,0.48,43,0.81,43
California,0.82,32,0.82,29,0.82,33,0.86,40
Colorado,0.55,39,0.55,35,0.65,40,0.82,42
Connecticut,1.88,17,0.41,44,2.36,15,2.64,21
Delaware,5.62,4,5.62,2,5.62,4,6.62,4
Florida,1.31,23,0.03,50,1.31,25,1.36,30
Georgia,0.14,50,0.14,49,0.14,50,0.23,50
Hawai'i,11.1,1,4.53,4,11.1,1,11.73,1
Idaho,0.47,43,0.47,40,0.47,44,0.99,36
Illinois,2.71,11,1.55,17,2.71,13,2.8,18
Indiana,0.75,35,0.75,32,0.77,36,0.92,38
Iowa,0.69,38,0.35,46,0.69,39,0.96,37
Kansas,0.51,41,0.51,37,0.55,41,0.83,41
Kentucky,0.4,47,0.4,45,0.4,48,0.61,46
Louisiana,0.46,44,0.46,41,0.46,46,0.68,44
Maine,0.74,37,0.74,34,0.74,38,1.44,29
Maryland,5.47,5,5.32,3,5.47,5,5.63,6
Massachusetts,3.76,8,3.63,6,4.49,7,4.7,7
Michigan,1.1,27,0.94,28,1.1,30,1.2,34
Minnesota,10.07,2,10.07,1,10.07,2,10.25,2
Mississippi,3.38,9,3.38,8,3.38,11,3.76,14
Missouri,8.72,3,1.75,15,8.72,3,8.86,3
Montana,1.0,30,1.0,25,1.1,29,2.14,25
Nebraska,1.31,24,1.31,21,2.31,16,3.22,16
Nevada,0.75,36,0.75,33,0.76,37,1.06,35
New Hampshire,1.01,29,1.01,24,1.05,31,1.71,27
New Jersey,4.32,7,3.41,7,4.32,9,4.45,10
New Mexico,0.79,34,0.79,31,0.79,35,1.21,33
New York,4.39,6,4.17,5,4.39,8,4.45,9
North Carolina,1.12,26,1.11,23,1.12,27,1.25,32
North Dakota,1.65,19,1.64,16,1.66,22,2.84,17
Ohio,2.15,15,2.15,12,2.18,19,2.3,23
Oklahoma,1.06,28,0.97,27,2.9,12,3.23,15
Oregon,1.89,16,0.51,38,2.0,21,2.28,24
Pennsylvania,0.82,33,0.82,30,0.82,34,0.91,39
Rhode Island,2.15,14,1.79,14,5.14,6,5.98,5
South Carolina,2.24,12,2.2,10,2.45,14,2.66,19
South Dakota,1.52,21,1.52,18,1.52,24,2.66,20
Tennessee,2.22,13,2.17,11,2.22,17,2.44,22
Texas,0.46,46,0.46,43,0.46,45,0.51,48
Utah,3.09,10,3.09,9,3.66,10,3.98,12
Vermont,1.5,22,1.5,19,2.08,20,4.49,8
Virginia,0.52,40,0.52,36,0.53,42,0.64,45
Washington,0.98,31,0.98,26,1.11,28,1.26,31
West Virginia,0.46,45,0.46,42,0.97,32,1.56,28
Wisconsin,0.18,49,0.18,48,0.18,49,0.36,49
Wyoming,1.83,18,1.83,13,2.19,18,3.83,13
American Samoa,7.71,5,4.43,7,7.71,5,16.34,2
District of Columbia,67.21,1,67.21,1,67.21,1,68.61,1
Guam,2.49,17,2.22,15,2.49,19,4.71,12
Northern Marianas,3.68,12,3.68,9,3.68,13,10.54,4
Puerto Rico,5.82,6,4.71,5,5.82,6,6.74,8
Virgin Islands,3.59,13,3.59,11,3.59,15,7.18,7
