state,fy2025_legislative_appropriation_incl_lineitems,fy2026_legislative_appropriation_incl_lineitems,pct_change_fy25_fy26
Alabama,8158074.0,8467537.0,3.8
Alaska,940300.0,990500.0,5.3
American Samoa,338500.0,293500.0,-13.3
Arizona,2000000.0,2000000.0,0.0
Arkansas,1470904.0,1283091.0,-12.8
California,32392000.0,34804000.0,7.4
Colorado,3330259.0,3519038.0,5.7
Connecticut,6908696.0,9176774.0,32.8
Delaware,5906800.0,6434700.0,8.9
District of Columbia,46319805.0,44754343.0,-3.4
Florida,30670843.0,39980263.0,30.4
Georgia,1587150.0,1587150.0,0.0
Guam,421950.0,421950.0,0.0
Hawai'i,16050607.0,19000107.0,18.4
Idaho,933400.0,941300.0,0.8
Illinois,25728526.0,25348300.0,-1.5
Indiana,5197761.0,3278256.0,-36.9
Iowa,2220493.0,2220203.0,0.0
Kansas,1521173.0,1000000.0,-34.3
Kentucky,1833500.0,1804500.0,-1.6
Louisiana,2112377.0,2080617.0,-1.5
Maine,1041201.0,1195839.0,14.9
Maryland,34250622.0,33969051.0,-0.8
Massachusetts,26850000.0,26975152.0,0.5
Michigan,11129201.0,11335200.0,1.9
Minnesota,58321000.0,45484000.0,-22.0
Mississippi,9943577.0,9894957.0,-0.5
Missouri,54437132.0,17057686.0,-68.7
Montana,1129039.0,1385603.0,22.7
Nebraska,2628779.0,2668359.0,1.5
Nevada,2442670.0,2824179.0,15.6
New Hampshire,905307.0,165000.0,-81.8
New Jersey,41055000.0,35455000.0,-13.6
New Mexico,1689800.0,1709900.0,1.2
New York,86783651.0,82191485.0,-5.3
North Carolina,12408629.0,11725890.0,-5.5
North Dakota,1313524.0,1318768.0,0.4
Northern Marianas,188144.0,208937.0,11.1
Ohio,25563000.0,26710595.0,4.5
Oklahoma,4558907.0,4308180.0,-5.5
Oregon,8059487.0,14480737.0,79.7
Pennsylvania,10643000.0,10643000.0,0.0
Puerto Rico,18649000.0,19598000.0,5.1
Rhode Island,2412492.0,2414685.0,0.1
South Carolina,12250618.0,11603268.0,-5.3
South Dakota,1410250.0,1431204.0,1.5
Tennessee,16020600.0,16440977.0,2.6
Texas,14319358.0,18288573.0,27.7
Utah,10835100.0,8925700.0,-17.6
Vermont,973848.0,1096800.0,12.6
Virgin Islands,366475.0,366475.0,0.0
Virginia,7430398.0,4590173.0,-38.2
Washington,7813000.0,6793000.0,-13.1
West Virginia,811500.0,1085924.0,33.8
Wisconsin,1083000.0,1184238.0,9.3
Wyoming,1077773.0,1077773.0,0.0
