state,fy2025_legislative_appropriation_excl_lineitems,fy2026_legislative_appropriation_excl_lineitems,pct_change_fy25_fy26
Alabama,6833074.0,7057537.0,3.3
Alaska,940300.0,990500.0,5.3
American Samoa,194500.0,293500.0,50.9
Arizona,2000000.0,2000000.0,0.0
Arkansas,1470904.0,1283091.0,-12.8
California,32392000.0,34804000.0,7.4
Colorado,3330259.0,3519038.0,5.7
Connecticut,1497298.0,1497298.0,0.0
Delaware,5906800.0,6434700.0,8.9
District of Columbia,41534805.0,43754343.0,5.3
Florida,742293.0,21210797.0,2757.5
Georgia,1587150.0,1587150.0,0.0
Guam,376950.0,376950.0,0.0
Hawai'i,6550607.0,9500107.0,45.0
Idaho,933400.0,941300.0,0.8
Illinois,20876500.0,21338000.0,2.2
Indiana,5197761.0,3278256.0,-36.9
Iowa,1150000.0,1450000.0,26.1
Kansas,1521173.0,1000000.0,-34.3
Kentucky,1833500.0,1804500.0,-1.6
Louisiana,2112377.0,2080617.0,-1.5
Maine,1041201.0,1195839.0,14.9
Maryland,33325622.0,33709051.0,1.2
Massachusetts,25895000.0,26045152.0,0.6
Michigan,9507825.0,10963644.0,15.3
Minnesota,58321000.0,45484000.0,-22.0
Mississippi,9943577.0,9894957.0,-0.5
Missouri,10948798.0,10118952.0,-7.6
Montana,1129039.0,1385603.0,22.7
Nebraska,2628779.0,2668359.0,1.5
Nevada,2442670.0,2824179.0,15.6
New Hampshire,905307.0,165000.0,-81.8
New Jersey,32355000.0,32355000.0,0.0
New Mexico,1689800.0,1709900.0,1.2
New York,82283651.0,81191485.0,-1.3
North Carolina,12289672.0,11606933.0,-5.6
North Dakota,1308524.0,1308768.0,0.0
Northern Marianas,188144.0,208937.0,11.1
Ohio,25563000.0,26710595.0,4.5
Oklahoma,3952325.0,4308180.0,9.0
Oregon,2179194.0,2205737.0,1.2
Pennsylvania,10643000.0,10643000.0,0.0
Puerto Rico,15072000.0,16021000.0,6.3
Rhode Island,2012492.0,2014685.0,0.1
South Carolina,12050618.0,11603268.0,-3.7
South Dakota,1410250.0,1431204.0,1.5
Tennessee,15715600.0,16215977.0,3.2
Texas,14319358.0,18288573.0,27.7
Utah,10835100.0,8925700.0,-17.6
Vermont,973848.0,1096800.0,12.6
Virgin Islands,366475.0,366475.0,0.0
Virginia,7430398.0,4590173.0,-38.2
Washington,7813000.0,6793000.0,-13.1
West Virginia,811500.0,381424.0,-53.0
Wisconsin,1083000.0,1184238.0,9.3
Wyoming,1077773.0,1077773.0,0.0
