state,fy2025_total_agency_revenue,fy2026_total_agency_revenue,pct_change_fy25_fy26
Alabama,9367230.0,9768075.0,4.3
Alaska,3376426.0,2795064.0,-17.2
American Samoa,717150.0,697700.0,-2.7
Arizona,4667828.0,4560916.0,-2.3
Arkansas,2503929.0,2376074.0,-5.1
California,33911591.0,36422689.0,7.4
Colorado,4940043.0,4624107.0,-6.4
Connecticut,9687068.0,11533811.0,19.1
Delaware,6965250.0,7649763.0,9.8
District of Columbia,47296705.0,45756881.0,-3.3
Florida,31825013.0,41286126.0,29.7
Georgia,2616575.0,2736533.0,4.6
Guam,798900.0,824065.0,3.1
Hawaii,16963107.0,20014845.0,18.0
Idaho,1982633.0,1967598.0,-0.8
Illinois,26874726.0,26544938.0,-1.2
Indiana,6357775.0,4656894.0,-26.8
Iowa,3098493.0,3142566.0,1.4
Kansas,2483070.0,2064920.0,-16.8
Kentucky,2818225.0,2887283.0,2.5
Louisiana,3115277.0,3108155.0,-0.2
Maine,2020726.0,2240422.0,10.9
Maryland,35246422.0,35017789.0,-0.6
Massachusetts,33565012.0,33765631.0,0.6
Michigan,12128326.0,12455453.0,2.7
Minnesota,59406600.0,46571138.0,-21.6
Mississippi,11053077.0,11054795.0,0.0
Missouri,55354477.0,18074309.0,-67.3
Montana,2508223.0,2630290.0,4.9
Nebraska,6473912.0,5603316.0,-13.4
Nevada,3448713.0,3962657.0,14.9
New Hampshire,1898763.0,759000.0,-60.0
New Jersey,42250200.0,36752538.0,-13.0
New Mexico,2576402.0,2731060.0,6.0
New York,87878351.0,82191485.0,-6.5
North Carolina,13838029.0,13224928.0,-4.4
North Dakota,2260199.0,2363439.0,4.6
Northern Marianas,538944.0,585037.0,8.6
Ohio,27358500.0,28565333.0,4.4
Oklahoma,11616827.0,9901991.0,-14.8
Oregon,9733126.0,16165051.0,66.1
Pennsylvania,11887000.0,11912338.0,0.2
Puerto Rico,21602450.0,22449512.0,3.9
Rhode Island,7587317.0,9371068.0,23.5
South Carolina,14599734.0,14048823.0,-3.8
South Dakota,2459550.0,2593642.0,5.5
Tennessee,17068021.0,17631400.0,3.3
Texas,16115358.0,20205111.0,25.4
Utah,13883429.0,12992438.0,-6.4
Vermont,3017457.0,3274940.0,8.5
Virgin Islands,741625.0,741790.0,0.0
Virginia,8472183.0,5658015.0,-33.2
Washington,10059648.0,9180135.0,-8.7
West Virginia,2758399.0,2984762.0,8.2
Wisconsin,2166000.0,2368476.0,9.3
Wyoming,2247861.0,2557429.0,13.8
