state,state_general_fund_expenditures_fy2026,saa_legislative_appropriation_fy2026,pct_of_general_fund
Alabama,13667000000.0,8467537.0,0.062
Alaska,5993000000.0,990500.0,0.017
Arizona,17571000000.0,2000000.0,0.011
Arkansas,6494000000.0,1283091.0,0.02
California,228366000000.0,34804000.0,0.015
Colorado,17284000000.0,3519038.0,0.02
Connecticut,24036000000.0,9176774.0,0.038
Delaware,7261000000.0,6434700.0,0.089
Florida,55301000000.0,39980263.0,0.072
Georgia,35948000000.0,1587150.0,0.004
Hawai'i,11257000000.0,421950.0,0.004
Idaho,5624000000.0,941300.0,0.017
Illinois,56259000000.0,25348300.0,0.045
Indiana,22925000000.0,3278256.0,0.014
Iowa,9418000000.0,2220203.0,0.024
Kansas,11372000000.0,1000000.0,0.009
Kentucky,16967000000.0,1804500.0,0.011
Louisiana,12213000000.0,2080617.0,0.017
Maine,5808000000.0,1195839.0,0.021
Maryland,27011000000.0,33969051.0,0.126
Massachusetts,49611000000.0,26975152.0,0.054
Michigan,14115000000.0,11335200.0,0.08
Minnesota,32991000000.0,45484000.0,0.138
Mississippi,7141000000.0,9894957.0,0.139
Missouri,15737000000.0,17057686.0,0.108
Montana,3385000000.0,1385603.0,0.041
Nebraska,5485000000.0,2668359.0,0.049
Nevada,6660000000.0,2824179.0,0.042
New Hampshire,1958000000.0,165000.0,0.008
New Jersey,57687000000.0,35455000.0,0.061
New Mexico,13625000000.0,1709900.0,0.013
New York,125512000000.0,82191485.0,0.065
North Carolina,31870000000.0,11725890.0,0.037
North Dakota,3128000000.0,1318768.0,0.042
Ohio,30828000000.0,26710595.0,0.087
Oklahoma,10381000000.0,4308180.0,0.042
Oregon,18288000000.0,14480737.0,0.079
Pennsylvania,,10643000.0,
Rhode Island,5809000000.0,2414685.0,0.042
South Carolina,14136000000.0,11603268.0,0.082
South Dakota,2470000000.0,1431204.0,0.058
Tennessee,25788000000.0,16440977.0,0.064
Texas,95884000000.0,18288573.0,0.019
Utah,11839000000.0,8925700.0,0.075
Vermont,2502000000.0,1096800.0,0.044
Virginia,32918000000.0,4590173.0,0.014
Washington,35537000000.0,6793000.0,0.019
West Virginia,5808000000.0,1085924.0,0.019
Wisconsin,22723000000.0,1184238.0,0.005
Wyoming,1962000000.0,1077773.0,0.055
