fiscal_year,revenue_source,amount_usd,pct_of_total,notes
2025,General Revenue,16264060,90.06,"FY24 carryover included (~$1.94M, incl FMCAC $1.75M); enacted GR appropriation was $14320385 before carryover"
2025,Federal Funds,1377000,7.62,NEA partnership agreement
2025,Appropriated Receipts,269000,1.49,"TCT - Young Masters, Texas Women for the Arts"
2025,License Plate Trust Fund (Acct 0802),150000,0.83,State of the Arts license plate revenue
2025,TOTAL REVENUE,18060060,100,Per TCA FY25 Budget Summary as of 7/31/2025
2026,General Revenue,18289600,91.2,Enacted GR appropriation for FY2026
2026,Federal Funds,1514538,7.55,NEA partnership agreement
2026,Appropriated Receipts,0,0,None budgeted as of 10/31/2025
2026,License Plate Trust Fund (Acct 0802),250000,1.25,State of the Arts license plate revenue
2026,TOTAL REVENUE,20054138,100,Per TCA FY26 Budget Summary as of 10/31/2025
