                  FY 2019 CREATIVE SPACE ASSISTANCE PROGRAM


Organization Name                          Award Amounts   Type of Funding


Ground Floor Theatre                       $39,000         Other space-related needs

The City Theatre Company                   $50,000         Other space-related needs

Flamingo Cantina Inc.                      $22,950         Rent stipend

Salvage Vanguard Theater                   $48,750         Other space-related needs

Puerto Rican Folkloric Dance               $6,248          Rent stipend

Cheer Up Charlies LLC                      $23,855         Rent stipend

Santa Cruz Collective LLC                  $47,500         Other space-related needs

First Street Studio                        $11,524         Rent stipend

Antone's Nightclub LLC                     $20,697         Rent stipend

Motion Media Arts Center                   $37,999         Rent stipend

Imagine Art                                $19,380         Rent stipend

MASS Gallery, Inc.                         $30,210         Rent stipend

VORTEX Repertory Co                        $45,917         Other space-related needs

Mosaic Sound Collective Foundation         $46,876         Other space-related needs

Austin Book Arts Center                    $16,256         Rent stipend

Rally In The Alley LTD                     $47,500         Gap Financing

Latinitas Inc.                             $13,015         Rent stipend

Creative Action                            $47,500         Other space-related needs

Visions in Rhythm dba Tapestry Dance Co.   $15,697         Rent stipend

