fund,fiscal_year,revenue_actual,revenue_budget,expense_actual,expense_budget
Live Music Fund,2021,1485269,2230829,4284,3000000
Live Music Fund,2022,3699512,1907911,50000,2550000
Live Music Fund,2023,4665105,2956967,4089031,4100000
Live Music Fund,2024,4816545,4152170,5148606,5575000
Live Music Fund,2025,4773754,4833679,5424210,5575000
Live Music Fund,2026,4145514,4812407,5488616,5575000
Live Music Fund,2027,0,5051453,0,5179350
Iconic Venue Fund,2021,2400097,2400000,2400000,2400000
Iconic Venue Fund,2022,2523258,2500000,0,2500000
Iconic Venue Fund,2023,2679692,2500000,2750000,2500000
Iconic Venue Fund,2024,2547507,2500000,4750000,5130000
Iconic Venue Fund,2025,2551734,2600000,2500000,2550000
Iconic Venue Fund,2026,4614,2604446,2900000,2900000
Cultural Arts Fund,2021,5199495,7820403,7077327,7234262
Cultural Arts Fund,2022,17729745,11465189,1189085,4183038
Cultural Arts Fund,2023,16346353,10342485,11491348,12894655
Cultural Arts Fund,2024,16644313,14585594,15802574,16000000
Cultural Arts Fund,2025,16391168,16817879,16134020,17000000
Cultural Arts Fund,2026,15657835,16868425,15056844,17000000
Cultural Arts Fund,2027,0,17355087,0,17000000
Historic Preservation Fund,2021,6699850,10076232,5882728,16079216
Historic Preservation Fund,2022,16655196,8623100,2708679,11425015
Historic Preservation Fund,2023,21155183,13357352,12067387,20771677
Historic Preservation Fund,2024,21514980,18875764,20197931,31723887
Historic Preservation Fund,2025,21105159,21826558,22274686,32748586
Historic Preservation Fund,2026,19546565,21505832,12708195,31379499
Historic Preservation Fund,2027,0,21656540,0,20416767
Hotel Occupancy Tax Fund,2021,71493522,81613748,54395102,81613748
Hotel Occupancy Tax Fund,2022,144652111,69773408,134772191,69773408
Hotel Occupancy Tax Fund,2023,162715483,108348799,163839774,108348799
Hotel Occupancy Tax Fund,2024,160313732,152172894,162989669,152172894
Hotel Occupancy Tax Fund,2025,164619667,169901585,161513110,169901585
Hotel Occupancy Tax Fund,2026,157698465,167288265,153920971,167288265
Hotel Occupancy Tax Fund,2027,0,172386619,0,141043597
Music Venue Assistance Program Fund,2021,98,0,6006,7121
Music Venue Assistance Program Fund,2022,225,0,0,0
Music Venue Assistance Program Fund,2023,0,0,84768,0
