"row_id","fy","agency","dept_nm","fund","fund_nm","type_nm","cat_cd","cat_nm","cls_cd","cls_nm","unit_cd","unit_nm","obj_cd","rsrc_nm","act","bud","cye"
"20235000100020Z020ZZ91004034","2023","5000","Nondepartmental Revenue/Expenses","1000","General Fund","Franchise Fees","20Z0","Miscellaneous Franchise Fees","20ZZ","Miscellaneous Franchise Fees","9100","Finance General Revenues","4034","Bluebonnet Electric Coop","96758.58","137983","152816"
"20252200502050G050GA90204613","2025","2200","Austin Water","5020","Austin Water Water Utility Operating Fund","Charges for Services/Goods","50G0","Water/Wastewater Revenue","50GA","Water/Wastewater Revenue","9020","Wholesale Customers - Wtr Svc","4613","Marsha water supply corp.","53480.24","52461","53574"
"20252200502560A060AA90504219","2025","2200","Austin Water","5025","Austin Water Reclaimed Water Utility Operating Fund","Use of Money & Property","60A0","Interest","60AA","Interest","9050","Miscellaneous Revenue","4219","CIP interest income","469353.47","453092","427167"
"20212200502060A060AA90504228","2021","2200","Austin Water","5020","Austin Water Water Utility Operating Fund","Use of Money & Property","60A0","Interest","60AA","Interest","9050","Miscellaneous Revenue","4228","Other Interest Income","0","79895","1000"
"20225000100040Z040ZZ91004057","2022","5000","Nondepartmental Revenue/Expenses","1000","General Fund","Licenses, Permits, Inspections","40Z0","Other Licenses/Permits","40ZZ","Other Licenses/Permits","9100","Finance General Revenues","4057","Other Permits","0","2000","0"
"20211100501080Z080ZZ91704894","2021","1100","Austin Energy","5010","Austin Energy Fund","Other Revenue","80Z0","Other Revenue","80ZZ","Other Revenue","9170","Transmission Infrastructure Rv","4894","Infrastructure misc revenue","566805","48720","48720"
"20212200503080Z080ZZ90504655","2021","2200","Austin Water","5030","Austin Water Wastewater Utility Operating Fund","Other Revenue","80Z0","Other Revenue","80ZZ","Other Revenue","9050","Miscellaneous Revenue","4655","WW meter application fee","5980","4600","6617"
"20268600100060E060EA58144231","2026","8600","Austin Parks & Recreation","1000","General Fund","Use of Money & Property","60E0","Use of Property","60EA","Building Rental/Lease","5814","South Austin Senior Activity Center","4231","Building rental","4310","6056","6056"
"20265300509040Z040ZZ77324057","2026","5300","Austin Development Services","5090","Development Services Fund","Licenses, Permits, Inspections","40Z0","Other Licenses/Permits","40ZZ","Other Licenses/Permits","7732","Public Projects Land Development Review","4057","Other Permits","9566.23","61090","14349"
"20271100501055F055FA91074460","2027","1100","Austin Energy","5010","Austin Energy Fund","Charges for Services/Goods","55F0","Other Electric Utility Revenue","55FA","Other Utility Revenue","9107","Primary Service 1 revenue","4460","Comm Benefit - CAP","0","660162","0"
"20218200543150I050IA44004230","2021","8200","Austin Convention Center","5431","Convention Center Palmer Events Center Revenue Fund","Charges for Services/Goods","50I0","Convention Center Facility Revenue","50IA","Facility Revenue","4400","Pec Revenues","4230","Convention Center Space Rental","1600050","1209600","510350"
"20229100100080Z080ZZ41114187","2022","9100","Austin Public Health","1000","General Fund","Other Revenue","80Z0","Other Revenue","80ZZ","Other Revenue","4111","Community & Consumer Protectio","4187","Miscellaneous  revenue-general","25150","27391","22050"
