"division","catalog_of_work_activity","jobs_supported","fiscal_year_reported"
"Cultural Arts","Cultural Arts Grantmaking","14620","2020-09-30T00:00:00.000"
"Cultural Arts","Cultural Arts Grantmaking","14912","2021-09-30T00:00:00.000"
"Cultural Arts","Cultural Arts Grantmaking","0","2022-09-30T00:00:00.000"
"Cultural Arts","African American Cultural and Heritage Facility","0","2020-09-30T00:00:00.000"
"Cultural Arts","African American Cultural and Heritage Facility","63","2021-09-30T00:00:00.000"
"Cultural Arts","African American Cultural and Heritage Facility","58","2022-09-30T00:00:00.000"
"Cultural Arts","UNESCO City of Media Arts Designation","12","2020-09-30T00:00:00.000"
"Cultural Arts","UNESCO City of Media Arts Designation","1","2021-09-30T00:00:00.000"
"Cultural Arts","UNESCO City of Media Arts Designation","4","2022-09-30T00:00:00.000"
"Music & Entertainment","Creative Industry Ombudsman","38","2020-09-30T00:00:00.000"
"Music & Entertainment","Creative Industry Ombudsman","0","2021-09-30T00:00:00.000"
"Music & Entertainment","Creative Industry Ombudsman","0","2022-09-30T00:00:00.000"
"Global Business Expansion","Business Expansion Incentive Program","19120","2020-09-30T00:00:00.000"
"Global Business Expansion","Business Expansion Incentive Program","19000","2021-09-30T00:00:00.000"
"Global Business Expansion","Business Expansion Incentive Program","19120","2022-09-30T00:00:00.000"
"Global Business Expansion","Texas Enterprise Zone","1090","2020-09-30T00:00:00.000"
"Global Business Expansion","Texas Enterprise Zone","0","2021-09-30T00:00:00.000"
"Global Business Expansion","Texas Enterprise Zone","0","2022-09-30T00:00:00.000"
"Redevelopment Services","Oversight of City Property Repositioning Agreements","8094","2020-09-30T00:00:00.000"
"Redevelopment Services","Oversight of City Property Repositioning Agreements","10694","2021-09-30T00:00:00.000"
"Redevelopment Services","Oversight of City Property Repositioning Agreements","13659","2022-09-30T00:00:00.000"
"Redevelopment Services","Placebased Economic Development","5048","2020-09-30T00:00:00.000"
"Redevelopment Services","Placebased Economic Development","5324","2021-09-30T00:00:00.000"
"Redevelopment Services","Placebased Economic Development","5864","2022-09-30T00:00:00.000"
"Small Business","Family Business Loan Program","0","2020-09-30T00:00:00.000"
"Small Business","Family Business Loan Program","1","2021-09-30T00:00:00.000"
"Small Business","Family Business Loan Program","2","2022-09-30T00:00:00.000"
