"budget_fiscal_year","thru_quarter","dept_rollup","dept_rollup_name","department_code","department_name","fund_code","fund_name","program_code","program_name","activity_code","activity_name","unit_code","unit_name","expense_code","expense_name","budget","expenditures","key"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5006","Temporary employees","0","0","2026311110050101PSM1GEN11245006"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5020","Vacation pay","0","2347.66","2026311110050101PSM1GEN11245020"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5022","Accident pay","0","0","2026311110050101PSM1GEN11245022"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5023","Sick pay","0","3353.8","2026311110050101PSM1GEN11245023"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5026","Stability pay","500","500","2026311110050101PSM1GEN11245026"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5032","Personal holiday pay","0","1006.14","2026311110050101PSM1GEN11245032"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5033","Jury leave","0","0","2026311110050101PSM1GEN11245033"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5034","Bad weather pay","0","0","2026311110050101PSM1GEN11245034"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5035","Administrative leave","0","335.38","2026311110050101PSM1GEN11245035"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5036","Emergency leave","0","0","2026311110050101PSM1GEN11245036"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5051","Personnel savings","-7865","0","2026311110050101PSM1GEN11245051"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","6361","Awards and Recognition","0","0","2026311110050101PSM1GEN11246361"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","6452","Printing/binding/photo/repr","600","0","2026311110050101PSM1GEN11246452"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","6632","Memberships","4500","0","2026311110050101PSM1GEN11246632"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","6633","Subscriptions","3800","0","2026311110050101PSM1GEN11246633"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","5590","Services-engineering","75000","1071.1","2026311110050101PSM1GEN13075590"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","5600","Services-hazardous mat disp","770000","466849.02","2026311110050101PSM1GEN13075600"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","5860","Services-other","60000","0","2026311110050101PSM1GEN13075860"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","6175","Garbage/refuse collection","385000","145213.95","2026311110050101PSM1GEN13076175"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1124","Energy Products","5021","Holiday pay","0","3689.18","2026311110050101PSM1GEN11245021"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","6382","Maintenance-grounds","190000","114172.5","2026311110050101PSM1GEN13076382"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","6388","Maintenance-computer software","113000","129742.62","2026311110050101PSM1GEN13076388"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","6558","Professional registration","1000","0","2026311110050101PSM1GEN13076558"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","6843","Government permits and fees","28000","27094.9","2026311110050101PSM1GEN13076843"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1307","Environmental Projects","7482","Food/Ice","400","0","2026311110050101PSM1GEN13077482"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5005","Overtime","0","0","2026311110050101PSM1GEN13225005"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5022","Accident pay","0","0","2026311110050101PSM1GEN13225022"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5026","Stability pay","2000","2100","2026311110050101PSM1GEN13225026"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5031","Military leave","0","8590","2026311110050101PSM1GEN13225031"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5032","Personal holiday pay","0","10295.96","2026311110050101PSM1GEN13225032"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5033","Jury leave","0","0","2026311110050101PSM1GEN13225033"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5034","Bad weather pay","0","0","2026311110050101PSM1GEN13225034"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5035","Administrative leave","0","3415.69","2026311110050101PSM1GEN13225035"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5036","Emergency leave","0","0","2026311110050101PSM1GEN13225036"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5051","Personnel savings","-47276","0","2026311110050101PSM1GEN13225051"
"2026","3","11","Austin Energy","1100","Austin Energy","5010","Austin Energy Fund","1PSM","Power Generation, Market Operations & Resource Planning","1GEN","Power Generation","1322","Energy Market Systems","5260","Consulting-information technology","143600","0","2026311110050101PSM1GEN13225260"
