"name_common","councildistrict","address_provided","assettype","assettype_notes","live_music","event_venue","capacity","discipline","discp_note","website","web_notes","zip","camp_id","year_updated","location_1"
"Gallarieint Wax","0","no","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78723","1675","2014","
Austin, TX 78723
(0.0, 0.0)"
"Smith Road Studios","3","yes","Artist Studios/ Workshops","Coworking"," ","Event Venue"," ","Multidisciplinary"," "," ","0","0","151","2016","1407 Smith Rd
,  0
(30.256654, -97.678836)"
"Vortex Theater","1","yes","Theater","Theater"," ",," ","Theater Arts"," Theater"," "," ","78722","1608","2014","2307 Manor Rd
Austin, TX 78722
(30.284373, -97.718096)"
"Vessel Coworking","4","yes","Artist Studios/ Workshops","Coworking"," ",," ","Multidisciplinary"," ","https://www.vesselcoworking.com/","A creative, productive environment, Vessel offers freelancers, entrepreneurs, remote workers, small startups, and everything in between the space and amenities needed to get going or keep going. ","78752","2681","2016","500 East St Johns Ave
Austin, TX 78752
(30.333641, -97.70575)"
"Austin Originals Intl","1","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Textile/Apparel"," Textile/Apparel"," "," ","78723","1681","2014","1606 Chatham Ave
Austin, TX 78723
(30.315629, -97.69306)"
"Tiny Park Gallery","1","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," ","<strong style=""font-family: Garamond, Baskerville, Georgia, 'Times New Roman', Times, serif; font-size: 16px; line-height: 24px; "">Tiny Park</strong><span style=""font-family: Garamond, Baskerville, Georgia, 'Times New Roman', Times, serif; font-size: 16p","78702","745","2016","1101 Navasota
Austin, TX 78702
(30.268463, -97.72661)"
"L. Nowlin Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.lnowlingallery.com","L. Nowlin Gallery, owned and operated by local photographer Lesley Nowlin, (www.lesleynowlinphoto.com) opened its doors in the spring of 2009 in Austin's artistic West End District. L. Nowlin Gallery strives to provide a unique space to expose photograph","78703","941","2016","1202 West 6Th Street
Austin, TX 78703
(30.27307, -97.757145)"
"Catfish Concerts | House Concerts","5","yes","Event/ Festival","House Concerts","Live Music",," ","Music","Americana, Folk/Acoustic","http://catfishconcerts.com/","Held once a month, hosted by Brian T. Atkinson and presented by Jenni Finlay Promotions, the Catfish Concert series provides incredible Americana music in an intimate setting. Come out, relax, and enjoy some of the best of the best songs and stories.","78745","2262","2016","2506 Lazy Oaks Drive
Austin, TX 78745
(30.205081, -97.812978)"
"BiRDHOUSE","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.birdhousegallery.com","BiRDHOUSE is an independent gallery space owned and run by independent artists that is dedicated to supporting our eclectic and emerging independent art scene here in AUSTIN and globally.","78702","748","2016","1304 E Cesar Chavez
Austin, TX 78702
(30.259778, -97.731412)"
"Pioneer Farms","0","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Other"," ","http://www.pioneerfarms.org","An outdoor living history museum, Pioneer Farms presents the story of rural life in central Texas during the 1880's.  Using historically correct farm animals, crops, clothing, furnishings, buildings, implements and food, costumed interpreters offer a com","78754","2829","2014","10621 Pioneer Farms Dr
Austin, TX 78754
(30.345825, -97.661056)"
"Jones Auditorium","3","yes","Theater","Theater"," ",," ","Theater Arts"," "," ","Performing Arts Auditorium on the St. Edwards University Campus","78704","1315","2016","3001 South Congress Avenue
Austin, TX 78704
(30.232938, -97.758051)"
"Institution Theater","3","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.theinstitutiontheater.com/","The Institution Theater is a fully operational school on Improvisation, Sketch Writing, and Comedic Acting with 8-week programs available for different levels of experience (listed below). In addition, we occasionally offer one-off classes with easier ti","78704","1314","2016","3708 Woodbury Drive
Austin, TX 78704
(30.225688, -97.75985)"
"Tinka's Dance Studio","0","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78728","1823","2014","2013 Wells Branch Pkwy
Austin, TX 78728
(30.435135, -97.682312)"
"Flamencura Music And Dance Studio","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance","http://flamencura.org","Classes & events","78757","2954","2014","7113 Burnet Rd
Austin, TX 78757
(30.347434, -97.735879)"
"Russell Collection Fine Art Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.russell-collection.com","The Russell Collection is a World Class gallery filled with museum quality art. They set out to offer something different to the serious art collector in central Texas. 

The current collection includes the works of Rembrandt, Mary Cassatt, Marc Chagall,","78703","944","2014","1137 W 6Th St
Austin, TX 78703
(30.272404, -97.756957)"
"Peckerheads on Sixth","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music","Americana, Country, Rock"," ","Come party with us on Historic 6th Street in Austin, Texas. Cheap drinks, great music.","78701","325","2016","402 East Sixth Street
Austin, TX 78701
(30.267298, -97.739012)"
"Evangeline Cafe","8","yes","Restaurant","Restaurant","Live Music",,"75","Music","Blues, Cajun/Zydeco, Folk/Acoustic","http://www.evangelinecafe.com/","Evangeline Cafe is Austin's most authentic Cajun Restaurant featuring a wide variety of music & many of the city's most beloved musicians are regular performers at Evangeline. Friday and Saturday, music starts at 10:00 p.m.. Monday thru Thursday we have","0","3374","2016","8106 Brodie Lane
Austin, TX 0
(30.202507, -97.838374)"
"Austin 360 Amphitheater","2","yes","Theater","Theater","Live Music",,"14000","Music","Country, Pop, Rock","http://austin360amphitheater.com/","The Austin 360 Amphitheater is Austin's new destination to see the brightest stars in a world-class, open-air amphitheater. The venue, which is situated within Circuit of The Americas’ 1,300-acre sports and entertainment complex, has room for up to 14,","78767","3352","2016","9201 Circuit of the Americas Blvd.
Austin, TX 78767
(30.134165, -97.638429)"
"Winship Drama Building, Texas Performing Arts, The University of Texas at Austin","9","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.finearts.utexas.edu/tad/index.cfm","The Department of Theatre and Dance at The University of Texas at Austin exists as a diverse educational community of artists and scholars who are committed to excellence in teaching, research, creative practice and service. The UTPAC trains students to","78705","1422","2016","300 East 23Rd Street
Austin, TX 78705
(30.285422, -97.734)"
"Bass Concert Hall, Texas Performing Arts, University Of Texas At Austin","9","yes","Theater","Theater"," ",,"2913","Theater Arts"," Theater","http://www.texasperformingarts.org/","The Bass Concert Hall is the flagship theater of the UT Performing Arts Center. It is a 3,000 seat proscenium theatre suitable for large presentations as Broadway, symphony orchestra and ballet, as well as recitals by major classical artists, pop and roc","78712","1485","2014","2350 Robert Dedman Dr
Austin, TX 78712
(30.28513, -97.737776)"
"Polka Lovers Club Of Texas Museum","0","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Dance"," Dance"," "," ","78746","2413","2014","515 Yaupon Valley Rd
Austin, TX 78746
(30.292674, -97.807316)"
