"respondent_id","start_date","end_date","which_of_the_following_would","which_of_the_following_would_1","which_of_the_following_would_2","which_of_the_following_would_3","which_of_the_following_would_4","which_of_the_following_would_5","which_of_the_following_would_6","which_of_the_following_would_7","which_of_the_following_would_8","which_of_the_following_would_9","which_of_the_following_would_10","which_of_the_following_would_11","which_of_the_following_would_12","which_of_the_following_would_13","which_of_the_following_would_14","which_of_the_following_would_15","which_of_the_following_would_16","which_of_the_following_would_17","which_of_the_following_would_18","which_of_the_following_would_19","which_of_the_following_would_20","which_of_the_following_would_21","which_of_the_following_would_22","which_of_the_following_would_23","which_of_the_following_would_24","which_of_the_following_would_25","which_of_the_following_would_26","which_of_the_following_would_27","which_of_the_following_would_28","what_percentage_of_your_income","which_best_describes_your","in_your_opinion_do_you_have","what_do_you_currently_pay","how_often_do_you_use_access","zipcode_your_current_creative","how_do_your_monthly_payments","what_is_the_minimum_square","what_is_the_maximum_price","of_the_following_workspace","of_the_following_workspace_1","of_the_following_workspace_2","of_the_following_workspace_3","of_the_following_workspace_4","of_the_following_workspace_5","of_the_following_workspace_6","of_the_following_workspace_7","which_of_the_following_would_29","which_of_the_following_would_30","which_of_the_following_would_31","which_of_the_following_would_32","which_of_the_following_would_33","which_of_the_following_would_34","which_of_the_following_would_35","which_of_the_following_would_36","which_of_the_following_would_37","which_of_the_following_would_38","which_of_the_following_would_39","which_of_the_following_would_40","which_of_the_following_would_41","which_of_the_following_would_42","which_of_the_following_would_43","which_of_the_following_would_44","which_of_the_following_would_45","which_of_the_following_would_46","which_of_the_following_would_47","which_of_the_following_would_48","which_of_the_following_would_49","which_of_the_following_would_50","which_of_the_following_would_51","which_of_the_following_would_52","which_of_the_following_would_53","which_of_the_following_would_54","which_of_the_following_would_55","which_of_the_following_would_56","which_of_the_following_would_57","which_of_the_following_would_58","which_of_the_following_would_59","which_of_the_following_would_60","which_of_the_following_would_61","which_of_the_following_would_62","which_of_the_following_would_63","which_of_the_following_would_64","which_of_the_following_would_65","which_of_the_following_would_66","which_of_the_following_would_67","please_write_your_top_3_zip","please_write_your_top_3_zip_1","please_write_your_top_3_zip_2","have_space_related_issues","have_space_related_issues_1","have_space_related_issues_2","have_space_related_issues_3","have_space_related_issues_4","have_space_related_issues_5","have_space_related_issues_6","have_space_related_issues_7","have_space_related_issues_8","have_space_related_issues_9","have_space_related_issues_10","which_of_the_following_city","which_of_the_following_city_1","are_you_currently_a_city","how_did_you_find_out_about","how_did_you_find_out_about_1"
"10421737951","2018-12-15T12:29:58.000","2018-12-15T12:43:00.000",,,,"Comedy or Improv","Dance/Choreography",,,,,,,,"Installation or Public Art",,,,,,,"Performing/Theatre Arts",,,,,"Textile/Fiber Arts",,,,,"15","I don't currently have the space I need for my art or creative work","No","Not relevant to me/ I do not have a workspace separate from my home","Daily, less than 5 hours","78702","Increased by 6-10%","200 - 350 sq. feet","$100","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,,,"Rehearsal Space, less than 1,000 sq. feet",,"Mirrors/mirrored wall",,,,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces",,,,"Photo Studio",,,,,,"High ceilings",,,,"Shared basic tools such as a drill, heat gun, etc","78702","78705","78701",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,"Stopped you from expanding your operations",,"The room I rent at my current residence doubles as my art studio. More of an art studio with a bed in it less of a bedroom. My bed is against the wall and I have a found giant mirror as well as 4+ bins of materials. While it is easy to come home and work, I would prefer a separate space where I can fully sprawl out and get my work done instead of it clashing with everyday basic things like laundry and general storage. I believe that if I had a proper studio space I would be able to get a lot more done, have more mental clarity, and be able to collect the amount of material that I need instead of limiting how much I can have since it's limited to my room.","Professional development workshops or events for creatives and artists",,"Don't Know","Word of mouth",
"10413150860","2018-12-11T20:08:37.000","2018-12-11T20:14:18.000",,,,,,,,,,,,,,,,,,,,,,,,"Sculpture",,,,,,"10","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","$150- $300","Weekly, at least a few days/hours a week","78757","Stayed the same","200 - 350 sq. feet","$1","Work at home in a private workspace within my home",,"Work in a private workspace, but in a larger complex with other artists",,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,,"Air-Conditioned Storage Space",,,,,,,,,,,"Individual Artist Workspace",,"Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)","Ceramics Studio, Kiln",,,,"Oversized Doors and/or Freight Elevator","Ramps/loading dock","Floor Drains",,"High ceilings","Live/Work Space",,,,"78757","78703","78704",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"No","City of Austin Website",
"10401668472","2018-12-06T10:36:55.000","2018-12-06T10:50:13.000",,,,,,,,,,,,,,,,,,,,,"Photography",,,"Sculpture",,,,,"Mixed Media","25","I RENT studio or other work space separate from my home","No","Over $1,500","Daily, 5 or more hours","78702","Increased 26-50%","801 - 1,000 sq. feet","$0.50","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,"Retail Space, Storefront",,"Air-Conditioned Storage Space",,,,,,,,,,,,"Multiple Artist Workspaces","Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)","Ceramics Studio, Kiln",,,,,,,,"High ceilings","Live/Work Space",,,,"78702","78704","78701",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state","Canceled a performance or production",,"Paid for space you could not afford",,,"Stopped you from expanding your operations",,,"I do not utilize any of the above City services",,"No","City of Austin Newsletters",
"10363654067","2018-11-19T13:47:15.000","2018-11-19T14:03:28.000",,,,,,,,,,,,,"Installation or Public Art",,,,,,"Painting, Illustration",,,"Printmaking",,,"Textile/Fiber Arts",,,,"Painting, Textile, Curatorial, Art Consulting, Estate Management","100","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","Yes","Not relevant to me/ I do not have a workspace separate from my home","Daily, 5 or more hours","78745","Stayed the same","200 - 350 sq. feet","1","Work at home in a private workspace within my home",,"Work in a private workspace, but in a larger complex with other artists",,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,"Raked Seats",,,"Multiple Artist Workspaces",,,,,,,,,,,"Live/Work Space",,,,"78745","78704","78748",,,"Considered permanently leaving Austin for another city or state",,,,,,,,"We bought our house in 2013 knowing the rising studio prices would eventually oust us from our studio space at Artpost on East Cesar Chavez. We converted our 2-car garage to a studio after losing our space in 2014 (the building was bought and the new landlord doubled the rent and gave us a month notice.","Professional development workshops or events for creatives and artists",,"Yes","Other (please specify)","COA CORE pre-contract materials"
"10360768778","2018-11-17T18:17:27.000","2018-11-17T18:20:19.000",,,"Ceramics",,,,,,,,,,,,,"Metalworking",,,"Painting, Illustration",,"Photography","Printmaking",,,,,"Woodworking",,,"70","I RENT studio or other work space separate from my home","No","Over $1,500","Rarely, less than 4 days per month","78722","Increased 26-50%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10356016091","2018-11-15T11:56:38.000","2018-11-15T11:59:57.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"100","I RENT studio or other work space separate from my home","Yes","Over $1,500","Daily, 5 or more hours","78702","Increased by 5% or less","More than 2,000 sq. feet","$2.00",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Individual Artist Workspace",,,,,"Photo Studio","Soundproofing, Recording Studio",,,,,,,,,,"78702","78722","78723",,,,,,"Paid for space you could not afford",,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","Other (please specify)","FY19 COA Cultural Funding App"
"10350626476","2018-11-13T16:18:35.000","2018-11-13T16:29:56.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"16","My work space is provided free of charge to me (e.g., member of dance troupe, university student, etc.)","Don't know","$0 - I have space free of charge","Weekly, at least a few days/hours a week","78712","Not relevant to me/ I do not pay for a space","351 - 500 sq. feet","0.5","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,,,,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,,,"Individual Artist Workspace",,,,,,"Soundproofing, Recording Studio",,,,,,,,,,"78745","78739","78731",,,,,,,,,,"None of the Above",,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10338234676","2018-11-09T10:49:30.000","2018-11-09T15:57:22.000",,,,,"Dance/Choreography",,,,,,,,,,,,,,,,,,,,,,,,,"5","I need space occassionaly and rent on an as needed basis","No","$301- $700","Weekly, at least a few days/hours a week","N/A","Stayed the same","200 - 350 sq. feet","$1.00",,,,"Rent workspace on a temporary, as needed basis (by the hour or day)",,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,"Outdoor Performance Space with amplified sound","Fly System, Fly Space","Rehearsal Space, less than 1,000 sq. feet","Rehearsal Space, more than 1,000 sq. feet","Mirrors/mirrored wall",,,,,,,"Running Water",,,,,,"Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)",,"Projection, Movie Theater",,,,,,,,,,,"Wheelchair accessibility","High ceilings",,,,,"78704","78741","78723","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state","Canceled a performance or production",,"Paid for space you could not afford",,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Don't Know","City staff",
"10336990270","2018-11-08T22:50:00.000","2018-11-08T22:57:25.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"100","I RENT studio or other work space separate from my home","Yes","$301- $700","Daily, 5 or more hours","78702","Decreased","801 - 1,000 sq. feet","$0.50",,,"Work in a private workspace, but in a larger complex with other artists",,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources","Share/Sublet my studio part time when I am not using it",,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,"Classroom, teaching space","Air-Conditioned Storage Space",,"Running Water","Office Space, less than 5 employees","Office Space, more than 5 employees","Serving Alcohol","Serving Food","Commercial kitchen",,,"Projection, Movie Theater","Individual Artist Workspace","Multiple Artist Workspaces",,,,,"Soundproofing, Recording Studio","Oversized Doors and/or Freight Elevator","Ramps/loading dock",,,"High ceilings",,,,,"78702","78704","78722",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,"Been forced to close and/or discontinue your creative practice",,,,,"Receiving funding through the Cultural Funding Program",,"Yes","Other (please specify)","FY19 Pre Contract Materials Application Page"
"10336945938","2018-11-08T22:12:17.000","2018-11-08T22:21:54.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,,,,,,,,,,,"100","I RENT studio or other work space separate from my home","No","$301- $700","Weekly, at least a few days/hours a week","78746","Increased 50-75%","1,001 - 1,500 sq. feet","$0.10",,,,,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,"Indoor Performance Space, Auditorium, Thrust Stage, Proscenium","Outdoor Performance Space without amplified sound",,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78746","78703","78735",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,"Canceled a performance or production",,"Paid for space you could not afford",,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","Other (please specify)","Part of Core PreContract Materials"
