"fiscal_year","contractor","award"
"1986-09-30T00:00:00.000","La Peña","8082"
"2020-09-30T00:00:00.000","Sightlines","5063"
"2021-09-30T00:00:00.000","Dance Waterloo","6185"
"2023-09-30T00:00:00.000","MAS Cultura","5000"
"1982-09-30T00:00:00.000","Austin Choral Union","3266"
"1982-09-30T00:00:00.000","Chorus Austin","8028"
"1982-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","61551"
"1983-09-30T00:00:00.000","Ballet East Dance Company","4391"
"1983-09-30T00:00:00.000","Austin Choral Union","4640"
"1983-09-30T00:00:00.000","Austin Creative Alliance","5579"
"1983-09-30T00:00:00.000","Sharir + Bustamante Danceworks","6873"
"1983-09-30T00:00:00.000","Chorus Austin","6957"
"1983-09-30T00:00:00.000","Austin Visual Arts Association","10455"
"1983-09-30T00:00:00.000","Texas Circuit","12787"
"1983-09-30T00:00:00.000","Capitol City Playhouse","16503"
"1983-09-30T00:00:00.000","Dance Umbrella","17639"
"1983-09-30T00:00:00.000","Austin Federation of Musicians","20873"
"1983-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","22095"
"1983-09-30T00:00:00.000","Center For Women & Their Work","26940"
"1983-09-30T00:00:00.000","Ballet Austin, Inc.","41613"
"1983-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","53426"
"1983-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","64089"
"1983-09-30T00:00:00.000","Zachary Scott Theatre Center","402469"
"1984-09-30T00:00:00.000","Austin Civic Orchestra Society","1300"
"1984-09-30T00:00:00.000","Chorus Austin","4305"
"1984-09-30T00:00:00.000","Austin Creative Alliance","4900"
"1984-09-30T00:00:00.000","Ballet East Dance Company","5086"
"1984-09-30T00:00:00.000","Sharir + Bustamante Danceworks","8000"
"1984-09-30T00:00:00.000","Austin Choral Union","10650"
"1984-09-30T00:00:00.000","Texas Circuit","11888"
"1984-09-30T00:00:00.000","Austin Visual Arts Association","12384"
"1984-09-30T00:00:00.000","Dance Umbrella","15974"
"1984-09-30T00:00:00.000","Capitol City Playhouse","20000"
"1984-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","23167"
"1984-09-30T00:00:00.000","Austin Federation of Musicians","27794"
"1984-09-30T00:00:00.000","Center For Women & Their Work","28325"
"1984-09-30T00:00:00.000","Ballet Austin, Inc.","43275"
"1984-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","56000"
"1984-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","66653"
"1984-09-30T00:00:00.000","Zachary Scott Theatre Center","400632"
"1985-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","1109"
"1985-09-30T00:00:00.000","Austin Civic Orchestra Society","1294"
"1985-09-30T00:00:00.000","La Peña","1560"
"1985-09-30T00:00:00.000","Austin Symphonic Band","1571"
"1985-09-30T00:00:00.000","Chorus Austin","4252"
"1985-09-30T00:00:00.000","Texas Circuit","4622"
"1985-09-30T00:00:00.000","Austin Creative Alliance","10167"
"1985-09-30T00:00:00.000","Sharir + Bustamante Danceworks","10167"
"1985-09-30T00:00:00.000","Austin Choral Union","11552"
"1985-09-30T00:00:00.000","Ballet East Dance Company","12333"
"1985-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","17300"
"1985-09-30T00:00:00.000","Austin Visual Arts Association","19268"
"1985-09-30T00:00:00.000","Dance Umbrella","22066"
"1985-09-30T00:00:00.000","Capitol City Playhouse","24029"
"1985-09-30T00:00:00.000","Austin Federation of Musicians","26962"
