LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
4466007201,04/27/2020,0681,PPP,SXSW LLC,1400 Lavaca St. Suite 1100,AUSTIN,TX,78701,01/04/2023,Paid in Full,31,100,5000000,5000000,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-0001,TX-37,294,711310,White,Not Hispanic or Latino,,5000000,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Unanswered,,3899935.17,12/22/2021
3536217305,04/29/2020,0681,PPP,AUSTIN THEATRE ALLIANCE,713 Congress Ave.,AUSTIN,TX,78701,03/19/2021,Paid in Full,24,100,880023,880023,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-0001,TX-37,63,711310,Unanswered,Unknown/NotStated,1000,878023,1000,,,,,Non-Profit Organization,760,First Source Federal Credit Union,Rome,NY,Unanswered,Unanswered,Y,886745.4,02/04/2021
1641177908,06/10/2020,0681,PPP,BENELUX CORPORATION,501 E BEN WHITE,AUSTIN,TX,78704-7307,07/26/2022,Paid in Full,60,100,789157,789157,0,,509316,"Harvest Small Business Finance, LLC",24422 Avenida de la Carlota Suite 400,Laguna Hills,CA,92653,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78704-7307,TX-21,68,722410,Unanswered,Unknown/NotStated,,789157,,,,,,Corporation,509316,"Harvest Small Business Finance, LLC",Laguna Hills,CA,Unanswered,Unanswered,,758633.72,12/15/2021
3110118603,03/16/2021,0681,PPS,GREATER AUSTIN PERFORMING ARTS CENTER INC,701 W Riverside Dr,Austin,TX,78704-1269,12/04/2021,Paid in Full,60,100,712500,712500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78704-1269,TX-21,81,711310,White,Not Hispanic or Latino,1,712496,,,,,,Non-Profit Organization,70134,Horizon Bank SSB,Austin,TX,Female Owned,Unanswered,Y,717210.42,11/17/2021
3782657205,04/27/2020,0681,PPP,"GREATER AUSTIN PERFORMING ARTS CENTER, INC.",701 W. Riverside Dr,AUSTIN,TX,78704,12/05/2020,Paid in Full,24,100,712500,712500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,N,Unanswered,AUSTIN,TRAVIS,TX,78704-0001,TX-21,47,711310,White,Not Hispanic or Latino,,712500,,,,,,Non-Profit Organization,70134,Horizon Bank SSB,Austin,TX,Female Owned,Unanswered,Y,716201.04,11/03/2020
3826958309,01/22/2021,0681,PPS,JESTER KING CRAFT BREWERY LLC,13187 Fitzhugh Rd,Austin,TX,78736-6508,10/13/2021,Paid in Full,60,100,689195,689195,0,,111233,Texas Regional Bank,6770 W Expy 83,HARLINGEN,TX,78552,R,N,N,Existing or more than 2 years old,Austin,HAYS,TX,78736-6508,TX-25,42,722410,Unanswered,Unknown/NotStated,1,689193,,,,,,Limited  Liability Company(LLC),111233,Texas Regional Bank,HARLINGEN,TX,Unanswered,Unanswered,,693670.05,09/17/2021
3290428304,01/21/2021,0681,PPS,STEAMPUNK LLC,700 W 6th St,Austin,TX,78701-2708,09/15/2021,Paid in Full,60,100,565200,565200,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-2708,TX-37,37,722410,Unanswered,Not Hispanic or Latino,1,565194,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,568669.7,08/31/2021
7276048310,01/28/2021,0681,PPS,KPG HOSPITALITY GROUP INC.,1221 W 6th St Ste C,Austin,TX,78703-5276,01/15/2022,Paid in Full,60,100,497560,497560,0,,71653,Vista Bank,5840 W Northwest Hwy,DALLAS,TX,75225-3201,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78703-5276,TX-37,22,722410,Unanswered,Unknown/NotStated,1,497557,,,,,,Corporation,71653,Vista Bank,DALLAS,TX,Unanswered,Unanswered,,501922.17,12/21/2021
7400687000,04/07/2020,0681,PPP,"JESTER KING CRAFT BREWERY, LLC",13187 FITZHUGH RD,AUSTIN,TX,78736-6508,06/15/2021,Paid in Full,24,100,492280,492280,0,,111233,Texas Regional Bank,6770 W Expy 83,HARLINGEN,TX,78552,R,N,N,Existing or more than 2 years old,AUSTIN,HAYS,TX,78736-6508,TX-25,20,722410,Unanswered,Unknown/NotStated,,492280,,,,,,Limited  Liability Company(LLC),111233,Texas Regional Bank,HARLINGEN,TX,Male Owned,Unanswered,,497701.82,05/21/2021
9391738702,04/08/2021,0681,PPP,ABRAHAM TAHA,1901 CROSSING PLACES 3203,AUSTIN,TX,78741,11/09/2022,Charged Off,40,100,469637,469637,0,,29805,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808-5529,U,N,Y,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78741,TX-21,26,711130,Asian,Not Hispanic or Latino,1,469631,,,,,,Sole Proprietorship,29805,"TD Bank, National Association",WILMINGTON,DE,Male Owned,Non-Veteran,,,
