total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
10000000,"Alamo South Lamar, L.P.","Alamo South Lamar, L.P. - SVOG",1120 South Lamar Blvd,Austin,TX,78704,Motion picture theater operator,2021-07-20
10000000,"Circuit of the Americas, LLC dba Germania Insurance Amphitheater","Circuit of the Americas, LLC dba Germania Insurance Amphitheater - SVOG",9201 Circuit of the Americas Blvd.,Austin,TX,78617,Live venue operator or promoter,2021-10-30
10000000,Flix Entertainment LLC,Flix Entertainment LLC - SVOG,2000 S Interstate 35 STE Q11,Round Rock,TX,78681,Motion picture theater operator,2021-07-26
10000000,"Messina Touring Group, LLC","Messina Touring Group, LLC - SVOG","6836 Bee Cave Rd Bldg III, Ste 300",Austin,TX,78746,Live venue operator or promoter,2021-07-30
10000000,The University of Texas at Austin,The University of Texas at Austin - SVOG,"3925 West Braker Lane Office of Sponsored Projects, Building 156, Suite 3.340, MC: A9000",Austin,TX,78759,Live venue operator or promoter,2021-07-19
9271606.05,CINESTARZ ENTERTAINMENT LLC,CINESTARZ ENTERTAINMENT LLC - SVOG,1250 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,Motion picture theater operator,2021-08-24
9203317.2,Alamo Lakeline LLC,Alamo Lakeline LLC - SVOG,"14028 North U.S. Highway 183, Building F",Austin,TX,78717,Motion picture theater operator,2021-07-16
8249694.85,Double Feature Partners LP,Double Feature Partners LP - SVOG,2603 Berenson Lane,Austin,TX,78746,Motion picture theater operator,2021-06-30
8000000,SXSW LLC,SXSW LLC - SVOG,1400 Lavaca Street,Austin,TX,78701,Live venue operator or promoter,2021-07-23
7736376.15,BuenaVista Music LLC,BuenaVista Music LLC - SVOG,1403 Rio Grande St,Austin,TX,78701,Live venue operator or promoter,2021-08-18
7437578.63,"Alamo Mueller, LLC","Alamo Mueller, LLC - SVOG","1911 Aldrich, Ste 120",Austin,TX,78723,Motion picture theater operator,2021-07-20
7323378.15,FLIX BREWHOUSE IOWA LLC,FLIX BREWHOUSE IOWA LLC - SVOG,2000 S. Interstate Hwy. 35 Ste Q11,Round Rock,TX,78681,Motion picture theater operator,2021-07-30
6995141.1,Flix Brewhouse Indiana LLC,Flix Brewhouse Indiana LLC - SVOG,2000 S. Interstate 35 Suite Q11,Round Rock,TX,78726,Motion picture theater operator,2021-08-04
6946739.36,Flix Brewhouse LLC,Flix Brewhouse LLC - SVOG,2000 South IH 35 STE Q-11,Round Rock,TX,78681,Motion picture theater operator,2021-08-01
6554852.15,Austin Theatre Alliance,Austin Theatre Alliance - SVOG,713 Congress Avenue,Austin,TX,78701,Live venue operator or promoter,2021-07-19
5458875.4,Texas Cinema Corporation,Texas Cinema Corporation - SVOG,1250 WONDER WORLD DRIVE,San Marcos,TX,78666,Motion picture theater operator,2021-09-02
5018895.58,"Stubbs Austin Restaurant Co.,LC","Stubbs Austin Restaurant Co.,LC - SVOG",801 Red River St.,Austin,TX,78701,Live venue operator or promoter,2021-07-27
4899897.33,Flix Brewhouse Texas V LLC,Flix Brewhouse Texas V LLC - SVOG,"2000 S Interstate 35, STE Q11",Round Rock,TX,78681,Motion picture theater operator,2021-08-01
4724513.33,Violet Crown Cinemas LLC,Violet Crown Cinemas LLC - SVOG,1614 W. 5th Street,Austin,TX,78703,Motion picture theater operator,2021-07-10
4279730.6,Zachary Scott Theatre Center,Zachary Scott Theatre Center - SVOG,1510 Toomey Road,Austin,TX,78704,Live performing arts organization operator,2021-07-08
3668587.74,"The Bob Bullock Texas State History Museum, a division of the Texas St","The Bob Bullock Texas State History Museum, a division of the Texas St - SVOG",PO Box 12874,Austin,TX,78711,Museum Operator,2021-07-17
3171870.53,"Greater Austin Performing Arts Center, Inc","Greater Austin Performing Arts Center, Inc - SVOG",701 W Riverside Dr,Austin,TX,78704,Live venue operator or promoter,2021-07-03
3056045.19,Hometown Cinemas LLC,Hometown Cinemas LLC - SVOG,3801 N Capital of Tx hwy E240-60,Austin,TX,78746,Motion picture theater operator,2021-06-12
3037265.1,"Sky Cinema Dripping Springs, LLC","Sky Cinema Dripping Springs, LLC - SVOG",166 Hargraves Dr,Austin,TX,78703,Motion picture theater operator,2021-07-21
2915053.93,SPRINGTOWN ENTERTAINMENT LLC,SPRINGTOWN ENTERTAINMENT LLC - SVOG,1250 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,Motion picture theater operator,2021-07-22
2840077.67,"FF Entertainment, LLC","FF Entertainment, LLC - SVOG",411 Radam Lane,Austin,TX,78745,Live venue operator or promoter,2021-09-21
