total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
10000000,"ACE SL, LLC","ACE SL, LLC - SVOG",18111 Lexington Boulevard,Sugar Land,TX,77479,Live venue operator or promoter,2021-11-19
10000000,"Alamo South Lamar, L.P.","Alamo South Lamar, L.P. - SVOG",1120 South Lamar Blvd,Austin,TX,78704,Motion picture theater operator,2021-07-20
10000000,"ATG San Antonio, LLC","ATG San Antonio, LLC - SVOG",208 E Houston St,San Antonio,TX,78205,Live venue operator or promoter,2021-11-19
10000000,"California Cinema Investments, LLC","California Cinema Investments, LLC - SVOG","14951 N Dallas Pkwy, Ste 300",Dallas,TX,75254,Motion picture theater operator,2021-08-20
10000000,"Center Operating Company, L.P.","Center Operating Company, L.P. - SVOG",2500 Victory Avenue,Dallas,TX,75219,Live venue operator or promoter,2021-07-16
10000000,"CINERGY ENTERTAINMENT ODESSA, INC.","CINERGY ENTERTAINMENT ODESSA, INC. - SVOG",5720 Lyndon B Johnson SUite 625,Dallas,TX,75240,Motion picture theater operator,2021-08-03
10000000,"Circuit of the Americas, LLC dba Germania Insurance Amphitheater","Circuit of the Americas, LLC dba Germania Insurance Amphitheater - SVOG",9201 Circuit of the Americas Blvd.,Austin,TX,78617,Live venue operator or promoter,2021-10-30
10000000,Flix Entertainment LLC,Flix Entertainment LLC - SVOG,2000 S Interstate 35 STE Q11,Round Rock,TX,78681,Motion picture theater operator,2021-07-26
10000000,Florida Cinema Investments LLC,Florida Cinema Investments LLC - SVOG,"14951 N Dallas Pkwy, Suite 300",Dallas,TX,75254,Motion picture theater operator,2021-08-25
10000000,Fort Worth Zoological Association,Fort Worth Zoological Association - SVOG,1989 Colonial Parkway,Fort Worth,TX,76110,Museum Operator,2021-07-12
10000000,"Gary Osier Presents, Inc","Gary Osier Presents, Inc - SVOG",5020 Park Ln,Dallas,TX,75220,Talent representative,2021-07-02
10000000,"G-Squared Event Holdings, LLC","G-Squared Event Holdings, LLC - SVOG",1742 York Creek Drive,Houston,TX,77014,Live venue operator or promoter,2021-06-19
