"museums_and_cultural_centers","address","zip_code","phone","location1"
"Asian American Resource Center","8401 Cameron Road
Austin, TX 78754","78754","512-974-1700","POINT (-97.680989028 30.339856991)"
"Elisabet Ney Museum","304 East 44th Street
Austin, 78751","78751","512-974-1625","POINT (-97.726264967 30.306644999)"
"Umlauf Sculpture Garden and Museum","605 Azie Morton Rd.
Austin, TX 78704","78704","512-445-5582","POINT (-97.766152014 30.263281013)"
"Dougherty Arts Center","1110 Barton Springs Rd.
Austin, TX 78704","78704","512-974-4000","POINT (-97.75601603 30.260982989)"
"O. Henry Museum","409 East 5th Street
Austin, TX 78701","78701","512-974-1398","POINT (-97.739336965 30.265538008)"
"Susana Dickinson Museum","411 East 5th Street
Austin, TX 78701","78701","512-974-3830","POINT (-97.738884007 30.265711011)"
"Zilker Hillside Theater","2206 William Barton Dr.
Austin, TX 78746","78746","512-974-4000","POINT (-97.771415999 30.264477145)"
"Oakwood Cemetery Chapel","1601 Navasota Street
Austin, 78702","78702","512-978-2310","POINT (-97.727700033 30.276570981)"
"Emma S. Barrientos Mexican American Cultural Center","600 River St.
Austin, TX, 78701","78701","512-974-3772","POINT (-97.740327035 30.25839298)"
"Old Bakery and Emporium","1006 Congress Avenue
Austin, TX 78701","78701","512-974-1300","POINT (-97.741737961 30.272188001)"
"George Washington Carver Museum, Cultural and Genealogy Center","1165 Angelina Street
Austin, TX 78702","78702","512-974-4926","POINT (-97.724019036 30.270005018)"
