"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"¡ Mira ! by Will Larson","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","3","COA","3399","2016","xy","AIPP","31-39 Robert Martinez Jr St
Austin, TX 78702
(30.249944, -97.723376)"
"12th Street Books","Business","Bookstore, Book Dealers"," "," ","Literary Arts"," "," ","9"," ","9100","2014","xy","SIAP","827 W 12Th St
Austin, TX 78701
(30.275862, -97.748952)"
"12th Street Sound","Business","Recording Studio"," "," ","Music"," "," ","1"," ","1284","2016","xy","Srempe","2205 E 12th St
Austin, TX 78702
(30.274004, -97.716424)"
"1st Baptist Church","House of Worship","House of Worship"," "," ","Other"," Part of 1st Baptist downtown","http://www.fbcaustin.org/","9"," ","9027","2016","addrs","D3 Meeting","901 Trinity St
Austin, TX 78701
(30.270222, -97.737585)"
"1st Unitarian Universalist Church of Austin","House of Worship","House of Worship"," "," ","Other","1st Unitarian Universalist Church of Austin has a flexible space that can be used by many different art forms. Paradox Players is based out of this performance space.","http://austinuu.org/wp2011/visitors/room-reservations/","9"," ","9632","2016","xy","NPA_ven","4700 Grover Avenue
Austin, TX 78757
(30.317626, -97.738381)"
"23rd Street Artists' Market, City of Austin, Parks & Recreation","Event/ Festival","Event/ Festival"," "," ","Multidisciplinary","The 23rd Street Artists' Market is a hand crafted artists' market meaning that everything that is sold is make by the artists themselves.","http://www.austinartistsmarket.com","9","COA","9530","2014","xy","SIAP","401 W. 23rd Street
Austin, TX 78712
(30.286491, -97.741936)"
"26-Music Fine Arts Center","Education","Education, Creative Learning, Professional Development"," "," ","Music"," "," ","0"," ","354","2014","xy","SIAP","4300 N Quinlan Park Rd
Austin, TX 78732
(30.377488, -97.88454)"
"289 West","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Open Monday through Saturday. Friday and Saturday open until 2 am. Features mainly rock; country music. Very large and friendly open mic.","http://www.the290westclub.com/","0"," ","406","2016","xy","TMO_16","12013 US Highway 290 West
Austin, TX 78737
(30.210637, -97.969371)"
"3 Day Startup","Organization","Education, Creative Learning, Professional Development"," "," ","Technology","Entrepreneurial capabilities/cultures, w/graphic design etc/creatives","http://austin.3daystartup.org","7"," ","7278","2014","xy","SIAP","3925 W Braker Ln
Austin, TX 78759
(30.397749, -97.737629)"
"311 Club","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","The 311 presents live R&B, rock, and blues music."," ","9"," ","9030","2016","xy","TMO_16","311 East Sixth Street
Austin, TX 78701
(30.267001, -97.740078)"
"4th Tap Brewing","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Poetry Slams
Wrestling
Rotating Art Exhibition","www.4thtap.coop","4"," ","4150","2016","xy","Wikimap","10615 Metric Blvd
Austin, TX 78758
(30.385139, -97.71193)"
"512 Studios","Business","Recording Studio"," "," ","Music"," "," ","5"," ","5211","2016","xy","Srempe","2228 S Lamar Blvd
Austin, TX 78704
(30.247826, -97.773243)"
"54 Seconds","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","3"," ","3164","2014","xy","SIAP","501 Pedernales St
Austin, TX 78702
(30.258066, -97.714718)"
"-56”-    (Fifty-six Inches) by Sandra Fiedorek, David Heymann","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","10","COA","10243","2016","xy","AIPP","2704 Bowman Ave
Austin, TX 78703
(30.298241, -97.767602)"
"5th Street Studios","Business","Recording Studio"," "," ","Music"," "," ","9"," ","9658","2016","xy","Srempe","407 Baylor St
Austin, TX 78703
(30.270129, -97.755938)"
"7 Stones","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","9"," ","9492","2014","xy","SIAP","403 W 37Th St
Austin, TX 78705
(30.300822, -97.73685)"
"7 to 10 Theater","Organization","Theater Company"," "," ","Theater Arts","The 7 to 10 Theater is committed to creating works of theater, which reveal a transformation and illustration of people's common condition in the most compelling manner they can."," ","0"," ","12","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"7 Towers Theatre Company","Organization","Theater Company"," "," ","Theater Arts","7 Towers began in 2010 as a collaboration between an actor and a dramaturg, both interested in the basic relationship between story, performer, and audience. Placing a particular emphasis on honest communication, we value fundamental methods of storytell","http://www.facebook.com/7Towers","0"," ","13","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"A & A In Da Mix Entertainment","Business","Service & Support Business"," "," ","Music"," "," ","1"," ","1191","2014","xy","SIAP","7223 Northeast Dr
Austin, TX 78723
(30.322779, -97.679959)"
"A Cappella Texas","Organization","Band, Musical Group, Ensemble"," "," ","Music","ACappella Texas are a group of men of all ages who enjoy singing and performing together in a cappella four-part harmony.  They perform what is known as ""Barbershop Harmony,"" which is one of the four truly unique American-born styles of music a","http://www.chordrangers.org","0"," ","262","2016","list","NPA_org","
Austin, TX 78718
(0.0, 0.0)"
"A Chick & A Dude Productions","Organization","Theater Company"," "," ","Theater Arts","About A Chick & A Dude Productions Founded in 2001, A Chick & A Dude productions, a sponsored project of The Austin Circle of Theatres non-profit organization, is an Austin, Texas-based theatre company aiming to ""Keep Austin Weird by Keeping Austin","http://www.myspace.com/chickanddude","10"," ","10088","2016","xy","NPA_org","3560 Rr 2222
Austin, TX 78731
(30.340056, -97.759474)"
"A Day in the Park by Holli Brown, Pascal Simon","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9682","2016","xy","AIPP","4400 Avenue G
Austin, TX 78751
(30.307424, -97.727335)"
"A Dream by Courtney Enriquez","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","2","COA","2081","2016","xy","AIPP","5801 Ainez Dr
Austin, TX 78744
(30.187861, -97.739403)"
"A Girl Creative Design Studio","Business","Service & Support Business"," "," ","Technology"," "," ","8"," ","8123","2014","xy","SIAP","6011 Cannon Mountain Dr
Austin, TX 78749
(30.222222, -97.867681)"
"A Ha Design","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","0"," ","157","2014","list","SIAP","
Austin, TX 78703
(0.0, 0.0)"
"A Mano Hecho Productions","Business","Video Production"," "," ","Film/TV/Media"," "," ","5"," ","5134","2014","xy","SIAP","2507 Cockburn Dr
Austin, TX 78745
(30.21038, -97.810369)"
"A Plus Screen Printing","Business","Screen Printing"," "," ","Graphic Design, Printmaking"," "," ","7"," ","7104","2014","xy","SIAP","2116 White Horse Trl
Austin, TX 78757
(30.338943, -97.740878)"
"A R Music","Education","Education, Creative Learning, Professional Development"," "," ","Music"," "," ","0"," ","550","2014","list","SIAP","
Austin, TX 78759
(0.0, 0.0)"
"A River Runs Thru Us by Freddie McCoo","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","1","COA","1296","2016","xy","AIPP","1400-1498 Rosewood Ave
Austin, TX 78702
(30.269565, -97.724044)"
