"name_common","assettype","assetnote","discipline","discipline_note","live_music","event_venue","coa_facili","web_notes","website","zip","councildistrict","date_updat","map_list","source","location_1"
"Groover’s Paradise","Business","Record Store","Music"," "," "," "," "," "," ","78732","0","2016","map","Srempe","6550 Comanche Trl
Austin, TX 
(30.405899, -97.873952)"
"Imagine That Productions","Organization","Theater Company","Theater Arts"," "," "," "," "," Imagine That Productions is dedicated to exposing new voices of American theatre to the stage.   By seeking out new plays by emerging writers, Imagine That hopes to help bridge the gap between the page and the stage for artists who are at the start of t","http://www.it-productions.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Thompson Conference Center","Event Venue","Event Venue","Multidisciplinary"," "," ","Event Venue"," "," "," ","78713","1","2016","map","NPA_ven","2405 Robert Dedman Dr
Austin, TX 
(30.287747, -97.729626)"
"Westlake High School Black Box Theater","Theater","Black Box/ Flex Space","Theater Arts"," "," "," "," ","This facility located at Westlake High School, is a great venue for community and school events including music and theatre performances."," ","78746","0","2016","map","Srempe","4100 Westbank Drive
Austin, TX 
(30.276775, -97.817074)"
"Women's Community Center of Central Texas","Recreation/Community Center","Recreation/ Community Center","Other"," "," "," "," ","We are a new organization that focuses on providing resources, referrals, and education to women and girls in central Texas.
","http://womenctx.org/","78765","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Ken's Universal Photos Inc","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78701","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Wesley United Methodist Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","The mission of Wesley United Methodist Church is to exalt the name of Jesus Christ, evangelize the lost, and equip believers for ministry through stewardship and Bible study, as we extend Christ's love to the world.","http://www.wesleyunited.org","78702","1","2016","map","NPA_org","1164 San Bernard
Austin, TX 
(30.269849, -97.726203)"
"Reel Women","Organization","Societies, Alliances, Professional Associations","Film/TV/Media"," "," "," "," ","Reel Women is a non-profit organization in Austin, Texas that provides a local support system for women at all levels of experience in the film and video industries. In pursuit of their mission they are aiding and directly promoting the education, networ","http://www.reelwomen.org","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Bonnie Berry Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78729","0","2014","map","SIAP","7505 Napier Trl
Austin, TX 
(30.449775, -97.756112)"
"Austin Amateur Radio Club","Organization","Societies, Alliances, Professional Associations","Film/TV/Media"," a/v"," "," "," "," ","http://www.austinhams.org","78765","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Mobile Film School","Education","Education, Creative Learning, Professional Development","Film/TV/Media"," "," "," "," ","Recently recognized as Movie Maker Magazine's ""Film School of the Week,"" Mobile Film School (MFS) is a highly collaborative, multi-disciplined film and video arts program. Administered and led by industry professionals, they’ll take film/video e","http://www.mobilefilmschool.org","78762","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Westlake High School Uncommon Space Gallery","Gallery/ Museum","Gallery","Visual Arts"," "," "," "," "," "," ","78746","0","2016","map","Srempe","4100 Westbank Drive
Austin, TX 
(30.276775, -97.817074)"
"Brett Buchanan Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78724","0","2014","list","SIAP","5357 Agatha Cir
Austin, TX 
(0.0, 0.0)"
"Zonana, Deborah M","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78734","0","2014","map","SIAP","5706 Rittenhouse Shore Dr
Austin, TX 
(30.418733, -97.922278)"
"Friends Of The Library","Organization","Support, ""Friends of"" Organizations,  Booster Clubs","Literary Arts"," "," "," "," "," ","http://www.wblibrary.org","78728","0","2014","map","SIAP","15001 Wells Port Dr
Austin, TX 
(30.44161, -97.674871)"
"Austin Theatre Project","Organization","Theater Company","Theater Arts"," "," "," "," ","New Austin theatre group","http://www.austintheatreproject.org","78720","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Austin Center for Photography","Business","Photographer/ Photo Studio","Photography"," "," "," "," ","ACP is a non-profit that brings quality photography to the Austin community.  Our audience ranges from every level of photographer--fine art, commercial, editorial, documentary, photojournalism, hobby-- to the collector and simple appreciator. We host le","http://visitacp.org","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"ProArts Collective","Organization","Arts Advocacy & Support Orgs","Multidisciplinary"," "," "," "," ","ProArts Collective envisions a community where art is accessible, enriching, and transformative. ProArts Collective is an incubator of artistic expression representing the African Diaspora.  In keeping with that goal, they seek to produce exemplary works","http://www.proartsaustin.org","78702","1","2016","map","NPA_org","1010 Lydia Street
Austin, TX 
(30.268008, -97.72842)"
"Planet Texas Studios Inc","Business","Video Production","Film/TV/Media"," CAD"," "," "," "," "," ","78737","0","2014","map","SIAP","14615 Echo Blf
Austin, TX 
(30.165788, -97.953629)"
"Rosewood Neighborhood Park, Bandstand","Landmark","Landmark","Other"," "," "," ","COA"," "," ","78702","1","0","map","COA_datamart","1182 N Pleasant Valley Rd.
Austin, TX 
(30.272122, -97.71405)"
"Round About Players","Organization","Theater Company","Theater Arts"," "," "," "," ","Student Theatre Organization within the University of Texas' Department of Theatre and Dance","roundaboutplayers.webs.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Electronic Arts","Business","Game Designers","Technology","Game Designers (Mfrs)"," "," "," "," "," ","78729","0","2014","map","SIAP","7700 W Parmer Ln
Austin, TX 
(30.460533, -97.754199)"
"Austin Friends Of Traditional Music","Organization","Historical Societies & Historic Preservation","Music"," Music"," "," "," ","The purpose for which the corporation is organized is to encourage performance and appreciation of traditional music, by sponsoring meetings, music competitions, workshops, concerts, dances, and newsletters, as well as other educational and entertainment","http://aftm.us/contact.shtml","78765","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Austin Art Weekly","Publication","Website","Visual Arts"," "," "," "," "," A free and comprehensive guide and the best arts resource in Austin.","https://www.artallianceaustin.org/calendar","0","0","0","list","KMoon","
Austin, TX 
(0.0, 0.0)"
"Lannaya Drum & Dance","Organization","Dance Company","Dance"," "," "," "," ","Austin-based nonprofit dedicated to performing, teaching and celebrating drum and dance of the African Diaspora. Lannaya’s mission is to expose and educate audiences to authentic and progressive interpretations of drum and dance of the African Diaspora","http://lannaya.org/","78704","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"TexARTS Kam and James Morris Theater","Theater","Black Box/ Flex Space","Multidisciplinary"," "," "," "," ","TexARTS promotes, educates, produces, and presents visual and performing arts events of the highest caliber for Austin's Lake Region.","www.tex-arts.org","78734","0","2016","map","NPA_ven","2300 Lohmans Spur
Austin, TX 
(30.343479, -97.973394)"
"Sunday Drum Circles at Mother Pecan Tree","Event/ Festival","Event/ Festival","Other"," ","Live Music"," "," "," "," ","78746","0","2016","map","D1 Meeting","S Entrance Barton Springs Pool
Austin, TX 
(30.210637, -97.969371)"
"Public Access Community Television Inc aka Channel Austin","Publication","TV Show/ Station","Film/TV/Media"," Film/TV"," "," "," ","Media institute, studio","http://channelaustin.org","78702","1","2014","map","SIAP","1143 Northwestern Ave
Austin, TX 
(30.269042, -97.715769)"
"WIGI Austin","Organization","Societies, Alliances, Professional Associations","Technology"," "," "," "," ","WIGI Austin is the Austin Chapter of Women In Games International.  Women In Games International made up of both female and male professionals, works to promote the inclusion and advancement of women in the global games industry.
WIGI promotes diversity","http://wigiaustin.tumblr.com/","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Salinas Event Center","Event Venue","Event Venue","Music"," "," ","Event Venue"," ","Our beautiful indoor 4,200 square feet event center is perfect for your special event. Indoor amenities include a stage, sound system, kitchen area and bar, and upscale men's and ladies restrooms. A private room equipped with flat screen TV, cable and lu"," ","78660","1","2016","map","TMO_16","1900 East Howard Lane
Austin, TX 
(30.401784, -97.633392)"
" Sixth Square Office of Arts and Cultural Resources","Organization","Arts Advocacy & Support Orgs","Multidisciplinary"," "," "," "," "," ","http://austinartsandculturalresources.com/","78702","1","2016","map","D9 Meeting","912-B E 11th St
Austin, TX 
(30.26987, -97.730821)"
"Cinematic Symphony","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","Non-profit, community ensemble performing the music of film, television, and video games.
","http://www.cinematicsymphony.com","78715","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Roots & Rhythms Austin","Education","Education, Creative Learning, Professional Development","Music"," Music"," "," "," ","Roots & Rhythms is cultural arts and music education program fostering positive ties to local communities. Through drum making and playing workshops, and utilizing language, culture, arts, and performance to develop a strong sense of self-worth, the prog","http://www.rootsandrhythms.org/","78744","0","2014","list","SIAP","5106 Peppertree Parkway
Austin, TX 
(0.0, 0.0)"
"Texas Choral Consort","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," "," "," ","78755","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Grammatikos Books","Business","Bookstore, Book Dealers","Literary Arts"," Literature"," "," "," "," "," ","78702","1","2014","map","SIAP","2003 E 17Th St
Austin, TX 
(30.27778, -97.71929)"
"Mannette Musical Instruments","Business","Supplier, Retail","Music"," Music"," "," "," "," "," ","0","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Coliseum","Bar/Club/Venue","Bar/Club/Venue","Music","Country, Latin/Spanish, Rock","Live Music"," "," ","The Coliseum is Austin&#39;s newest concert venue featuring R&B, Country, Rock, Pop and Latin performers.
","https://www.facebook.com/ColiseumAustin","78719","0","2016","map","NPA_org","9111 Fm 812
Austin, TX 
(30.16181, -97.688581)"
"Folklore Y Ritmos De Panama","Organization","Dance Company","Dance"," Ethnic Heritage Group"," "," "," ","Folklore y Ritmos de Panamá of Austin is a non-profit projection ballet. Its members perform authentic Panamanian dances and dramatizations with the goal of sharing its love of culture with others.","http://panamaenaustin.org","0","0","2018","list","Brownk","(0.0, 0.0)"
