"project","project_description","production_company","date_approved","city_council_ordinance_resolution","agreement","amendment_documents","status","agreement_effective_date","agreement_termination_date","austin_area_residents_employed","total_paid_to_austin_area_residents","incentive_basis","total_estimated_incentive","total_payments_issued","location","final_report","independent_reviewer_report"
"Austin City Limits","Television Production","Austin PBS","2025-03-26T00:00:00.000","City Manager's Spending Authority (https://datahub.austintexas.gov/dataset/CCIP-Austin-City-Limits-Approval/5aji-4qfe/about_data)","Austin City Limits Agreement (https://datahub.austintexas.gov/dataset/CCIP-Austin-City-Limits/um4y-px3f/about_data)",,"Active",,,,,"0.75% of wages paid to residents of Austin MSA for work performed in Texas","19675.30",,"Austin, TX",,
"1923 Season 2","Television Production","King Street Productions, Inc.","2024-05-30T00:00:00.000","Resolutions 20240530-013  (https://services.austintexas.gov/edims/document.cfm?id=432869)","1923 Season 2 Agreement (https://datahub.austintexas.gov/dataset/1923-Agreement-Season-2/puta-26fb/about_data)",,"Active",,,,,"0.5% of wages paid to residents of Austin MSA for work performed in Texas","75000.00",,"Austin, TX",,
"Walker Season 4","Television Production","Eye Productions, Inc.","2023-11-30T00:00:00.000","Resolution 202301130-012 (https://services.austintexas.gov/edims/document.cfm?id=421360)","Walker Season 4 Agreement (https://datahub.austintexas.gov/dataset/Walker-Season-4-Agreement/qgkt-6vnw/about_data)",,"Active",,,,,"0.75% of wages paid to residents of Austin MSA for work performed in Texas","179090.00",,"Austin, TX",,
"Walker Season 3","Television Production","Eye Productions, Inc.","2022-07-28T00:00:00.000","Resolution 20220728-016 (https://datahub.austintexas.gov/dataset/20220728-016/w45n-9ktu)","Walker Season 3 Agreement (https://datahub.austintexas.gov/dataset/Walker-Season-3-Agreement/q7ze-6cyr)",,"Active",,,,,"0.75% of wages paid to residents of Austin MSA for work performed in Texas","245472.00",,"Austin, TX",,
"Walker Season 2","Television Production","Eye Productions, Inc.","2021-09-02T00:00:00.000","Resolution 20210902-013 (https://data.austintexas.gov/dataset/Resolution-20210902-013/6k7g-a8kt)","Walker Season 2 Agreement (https://data.austintexas.gov/dataset/Walker-Season-2-Agreement/vg57-v3h4)","Walker Season 2 - Amendent 1 (https://datahub.austintexas.gov/dataset/Walker-Season-2-Amendment-1/wi3x-s3ss)","Completed",,,"491","20383897.34","0.75% of wages paid to residents of Austin MSA for work performed in Texas","213910.25","$152,879.23  (https://datahub.austintexas.gov/dataset/Expense-History-Walker-S2/utkd-26ia/about_data)","Austin, TX","Walker Season 2 Final Report (https://datahub.austintexas.gov/dataset/Walker-S2-Final-report/hrdu-xm9t/about_data)","Walker Season 2 (https://datahub.austintexas.gov/dataset/Walker-S2-Independent-Report/iw3t-9wab/about_data)"
"Apollo 10 Â½: A Space Age Adventure","Feature Film","Space Age 1969, LLC","2020-12-13T00:00:00.000","Ordinance 20140515-008 (http://www.austintexas.gov/edims/document.cfm?id=210410)","Apollo 10 Â½  Agreement (https://www.austintexas.gov/sites/default/files/files/EGRSO/CcipAgreementApollo10.5_SpaceAgeAdventure.pdf)",,"Completed",,,"156","2835673.88","0.75% of wages paid to residents of Austin MSA for work performed in Texas","57750.00","21,267.55 (https://www.austintexas.gov/sites/default/files/files/EGRSO/7916_ExpenseHistorySpaceAge1969_2021.pdf)","Austin, TX","Apollo 10 Â½ Final Report (https://www.austintexas.gov/sites/default/files/files/EGRSO/FinalReportAmendedApollo.pdf)","2021 City of Austin Apollo 10 Â½ AUP (https://www.austintexas.gov/sites/default/files/files/EGRSO/2020%20City%20of%20Austin%20Apollo%20AUP.pdf)"
"Walker, Season 1","Television Production","Eye Productions, Inc.","2020-10-15T00:00:00.000","Resolution 20201015-006 (https://www.austintexas.gov/sites/default/files/files/EGRSO/Minutes20201015_Item006.pdf)","Walker Season1 Agreement (https://www.austintexas.gov/sites/default/files/files/EGRSO/WalkerSeason1_CcipAgreement.pdf)","Walker Season 1 - Amendent 1 (https://datahub.austintexas.gov/dataset/Walker-Season-1-Amendment-1/jxxk-7cb4)","Completed",,,"447","17205176.45","0.75% of wages paid to residents of Austin MSA for work performed in Texas","141326.00","129,038.82 (https://datahub.austintexas.gov/dataset/7916-Expense-History-2023-06-10-Walker-Season-1/5jwy-gfm5)","Austin, TX","Walker Season 1 - Final Report (https://datahub.austintexas.gov/dataset/Walker-Season-1-Final-Report/md2p-yjvu)","Walker Season 1 AUP (https://datahub.austintexas.gov/dataset/Walker-Season-1-Agreed-Upon-Procedures-Report/cqdg-bi29)"
"Call of Duty: Modern Warfare Remastered (Project Bacon)","Digital Media Produciton","Certain Affinity","2016-02-25T00:00:00.000","Ordinance 20140515-008 (http://austintexas.gov/sites/default/files/files/EGRSO/document_580A9103-E16F-6E19-D66D82E70B079E0E.pdf)","Certain Affinity Agreement (http://austintexas.gov/sites/default/files/files/EGRSO/DOC16040613_12_13.pdf)",,"Completed",,,"93","8002688.00","0.5% of wages paid to residents of Austin MSA for work performed in Texas","44000.00","40,013.44 (http://austintexas.gov/sites/default/files/files/7916_ExpenseHistory20180927_60.pdf)","Austin, TX","Project Bacon Final Report (http://www.austintexas.gov/sites/default/files/files/ProjectBaconFinalReport.pdf)","2016 City of Austin Project Bacon AUP (http://www.austintexas.gov/sites/default/files/files/2016_City_of_Austin_Project_Bacon_AUP.pdf)"
"American Crime, Season 2","Television Production","Touchstone Television Productions, LLC","2015-09-10T00:00:00.000","Ordinance 20140515-008 (http://draft.austintexas.gov:8080/sites/default/files/files/EGRSO/document_580A9103-E16F-6E19-D66D82E70B079E0E.pdf)","American Crime Season 2 Agreement (http://austintexas.gov/sites/default/files/files/EGRSO/CcipAgreementAmericanCrimeSeason2.pdf)",,"Completed",,,"446","5875080.18","0.5% of wages paid to residents of Austin MSA for work performed in Texas","51966.09","29,375.40 (http://austintexas.gov/sites/default/files/files/7916_ExpenseHistory20180927_59.pdf)","Austin, TX","American Crime Season 2 Final Report (http://www.austintexas.gov/sites/default/files/files/FinalReportAmericanCrimeSeason2.pdf)","2015 City of Austin American Crime AUP (http://www.austintexas.gov/sites/default/files/files/2015_City_of_Austin_American_Crime_AUP.pdf)"
"American Crime, Season 1","Television Production","Touchstone Television Productions, LLC","2014-08-09T00:00:00.000","Ordinance 20140515-008 (http://www.austintexas.gov/edims/document.cfm?id=210410)","American Crime Season 1 Agreement (http://austintexas.gov/sites/default/files/files/American_Crime_Season_1_-_Incentive_Program_City_of_Austin.pdf)",,"Completed",,,"526","7477682.87","0.5% of wages paid to residents of Austin MSA for work performed in Texas","50768.09","37,388.41 (http://austintexas.gov/sites/default/files/files/7916_ExpenseHistory20180927_58.pdf)","Austin, TX","American Crime Report (http://www.austintexas.gov/sites/default/files/files/EGRSO/American_Crime_Final_Report.pdf)","2014 City of Austin American Crime AUP (http://www.austintexas.gov/sites/default/files/files/EGRSO/2014_City_of_Austin_American_Crime_AUP.pdf)"
