dataset_id,name,description_short,updated_at,row_count,downloaded_filename,url,relevance_note
p7ky-riuq,2022 Music Census ZIP Codes,The 2022 Music Census Details is the underlying geographic dataset for the 2022 Music Census administered by Sound Music Cities. This data is comprehensive of the respondent feedba,2026-02-23,2150,austin_music_census_2022_zipcodes_p7ky-riuq.csv,https://datahub.austintexas.gov/d/p7ky-riuq,"2022 Music Census respondent home ZIP codes, 2,150 rows. Geographic companion to an3p-3yqx; supports displacement analysis."
an3p-3yqx,2022_MusicCensus_Details,The 2022 Music Census Details is the underlying dataset for the 2022 Music Census administered by Sound Music Cities. This data is comprehensive of the respondent feedback; with th,2026-04-06,2227,austin_music_census_2022_details_an3p-3yqx.csv,https://datahub.austintexas.gov/d/an3p-3yqx,"CORE for musician economics. 2022 Austin Music Census respondent-level microdata, 2,227 rows x 107 vars: income from live performance, sector, business structure, years experience, intent to stay in Austin, workspace/lease status, health coverage. Administered by Sound Music Cities."
teth-r7k8,ACE Events,"City of Austin Open Data Terms of Use https://data.austintexas.gov/stories/s/ranj-cccq  This data set corresponds to the requirements of the ordinance passed on April 20, 2023.  Th",2026-04-30,54169,austin_ace_events_teth-r7k8.csv,https://datahub.austintexas.gov/d/teth-r7k8,"ACE Events permit file, 54,169 rows. Has amplified_sound and alcohol_served flags, tier_type, road closures, lat/long. Large; useful for event-volume trends rather than venue identification."
w2pp-ceu8,ACME Museums and Cultural Centers,"List of Austin Arts, Culture, Music, and Entertainment (ACME) Department's Museums and Cultural Centers.   For more information, please visit -  https://www.austintexas.gov/departm",2026-04-06,11,austin_acme_museums_cultural_centers_w2pp-ceu8.csv,https://datahub.austintexas.gov/d/w2pp-ceu8,"ACME (Arts, Culture, Music & Entertainment Dept) museums and cultural centers, 11 rows. City-owned facilities only; not commercial venues."
xjsy-32ku,Arts & Cultural Facilities- CAMP: Cultural Asset Mapping Project Directory,This directory was compiled through a 2016 community mapping process as part of The City of Austin Cultural Arts Division's Cultural Asset Mapping Project (CAMP). The directory is ,2026-04-06,3696,austin_camp_arts_cultural_facilities_2017_xjsy-32ku.csv,https://datahub.austintexas.gov/d/xjsy-32ku,"CAMP 2017 directory version, 3,696 rows. Retained for vintage comparison with 8kxv-xaqc."
8kxv-xaqc,Arts & Cultural Facilities- CAMP: Cultural Asset Mapping Project Directory 2018,This directory was compiled through a 2016 community mapping process as part of The City of Austin Cultural Arts Division's Cultural Asset Mapping Project (CAMP) and updated throug,2026-04-06,3560,austin_camp_arts_cultural_facilities_2018_8kxv-xaqc.csv,https://datahub.austintexas.gov/d/8kxv-xaqc,"Broader CAMP cultural-asset directory, 2018 update. 3,560 rows; live_music flag on 236; Bar/Club/Venue 140. Superset of qxfh-ycp7 but fewer venue attributes (no capacity)."
qwjz-np8k,Creative Content Incentive Program Agreements,"Texas Code, Chapter 380 Creative content Incentive Agreements",2026-04-06,10,austin_creative_content_incentive_agreements_qwjz-np8k.csv,https://datahub.austintexas.gov/d/qwjz-np8k,"Creative Content Incentive Program (Ch.380) agreements, 10 rows. Film/creative production incentives with Austin-area residents employed and total paid. Small, but a rare incentive-outcome file."
mbwg-yjpy,"Creative Sector Industry Codes, 2016",This data was used to create the Economic Development Department's 2016 Creative Economy Snapshot Report available at http://www.austintexas.gov/page/creative-development.  Data wa,2026-04-06,51,austin_creative_sector_industry_codes_2016_mbwg-yjpy.csv,https://datahub.austintexas.gov/d/mbwg-yjpy,"Creative Sector Industry Codes 2016: 51 NAICS rows with sales, jobs, earnings, earnings per job, location quotient, plus race/ethnicity/sex/age composition. Basis of Austin's 2016 Creative Economy Snapshot."
qxfh-ycp7,"Creative Workspaces, Performance Venues, Galleries & Museums","This is a listing of creative workspaces, performance venues, and exhibition venues collected through CAMP: The Cultural Asset Mapping Project. CAMP is an initiative of the Economi",2026-02-23,679,austin_creative_workspaces_performance_venues_qxfh-ycp7.csv,https://datahub.austintexas.gov/d/qxfh-ycp7,"CORE. CAMP-derived registry of creative workspaces/performance venues. 679 rows; assettype includes Bar/Club/Venue (162), Theater (82), Performance Venue (4); live_music flag = 'Live Music' on 263 rows; has capacity, council district, ZIP, geo. Snapshot vintage 2016 (rowsUpdatedAt 2016-11-11)."
x6aj-qng8,Cultural Funding Awards,"The City of Austin receives 7% of the Hotel Occupancy Tax. The City, by ordinance, divides this tax revenue among cultural arts, live music, heritage preservation and the Austin Co",2026-02-23,6476,austin_cultural_funding_awards_x6aj-qng8.csv,https://datahub.austintexas.gov/d/x6aj-qng8,"CORE for funding history. Cultural Funding Awards, 6,476 rows, FY1982-FY2023, contractor + award amount. Hotel Occupancy Tax funded (cultural arts, live music, heritage). Only 3 columns; no program/discipline split, so Live Music Fund cannot be isolated from this file alone."
