calendar_year,omv_permits,distinct_venue_names,sixth_street_district,warehouse_district,within_600ft_residential,other,coverage
2009,28,27,1,1,0,26,full_year
2010,80,78,12,8,0,57,full_year
2011,84,82,9,10,0,65,full_year
2012,87,84,6,9,0,71,full_year
2013,104,102,18,10,0,76,full_year
2014,138,131,41,10,0,87,full_year
2015,126,124,36,10,1,79,full_year
2016,123,120,26,16,5,76,full_year
2017,138,135,42,14,11,71,full_year
2018,121,121,32,11,20,58,full_year
2019,99,99,31,10,19,39,full_year
2020,90,89,24,3,22,41,full_year
2021,89,89,23,6,12,48,full_year
2022,108,104,24,8,22,52,full_year
2023,92,92,23,5,17,45,full_year
2024,108,108,18,7,27,56,full_year
2025,94,93,8,7,21,58,full_year
2026,42,42,4,3,10,25,partial_through_Jul
