venue_name,news_closed_year,news_status,news_reason,receipts_venue,receipts_last_month,agreement,interpretation
"Emo's (original, Red River)",2011,closed_relocated,sale_of_property,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Ethics Music Lounge,2018,closed,sale_of_property,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Kingdom,2018,closed,sale_of_property,Kingdom Nightclub,2026-06,receipts_continue_later,
Antone's Nightclub (E. Riverside),2013,closed_relocated,,Antone's,2026-06,receipts_continue_later,
Holy Mountain,2015,closed,rent_increase,Holy Mountain,2015-10,agrees,
Red 7,2015,closed,rent_increase,Red 7,2015-10,agrees,
Red Eyed Fly,2015,closed,unknown,Red Eyed Fly,2015-02,agrees,
The Sidewinder,2018,closed,permit_regulatory,Sidewinder,2018-05,agrees,
Barracuda,2020,closed,covid,Barracuda,2021-03,agrees,
Scratchouse,2020,closed,covid,Scratchouse (617 E 7th successor),2022-06,receipts_continue_later,
Rio Rita,2016,closed_relocated,rent_increase,Rio Rita,2022-11,receipts_continue_later,
Threadgill's World Headquarters (Riverside),2018,closed,rent_increase,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Beerland,2019,closed,financial,Beerland,2020-02,agrees,
Threadgill's Old No. 1,2020,closed,covid,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Shady Grove,2020,closed,covid,Shady Grove,2020-10,agrees,
Plush,2020,closed,covid,Plush,2021-03,agrees,
The North Door,2020,closed,covid,The North Door / ND Austin,2023-06,receipts_continue_later,
One-2-One Bar,2020,closed,covid,One-2-One Bar,2023-02,receipts_continue_later,
B.D. Riley's (E. Sixth),2020,closed,covid,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Dirty Dog Bar,2020,closed,covid,Dirty Dog Bar,2022-03,receipts_continue_later,
The Townsend,2020,closed,covid,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Buffalo Billiards,2020,closed,covid,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Unit 108,2020,closed,covid,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Spider House Cafe,2020,closed,covid,Spider House Ballroom,2025-06,receipts_continue_later,
Green Jay,2022,closed,unknown,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Nutty Brown Cafe & Amphitheatre,2021,closed_relocated,,Nutty Brown Cafe,2026-06,receipts_continue_later,
Long Play Lounge East,2023,closed_relocated,,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
The Parlor,2024,closed,sale_of_property,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Hi Hat Public House,2024,closed,unknown,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Giddy Ups,2024,closed_relocated,lease_expiration,Giddy Ups,2026-06,receipts_continue_later,
The Lost Well (Webberville),2024,closed_relocated,sale_of_property,The Lost Well,2026-06,receipts_continue_later,
Stars Cafe,2024,closed_relocated,redevelopment,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
Club Eternal,2024,closed,lease_expiration,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
The Coral Snake,2025,closed,permit_regulatory,The Coral Snake / Steely's Lodge,2026-06,agrees,
Outer Heaven,2025,closed,redevelopment,Dozen Street / Outer Heaven,2025-07,agrees,
Hideout Theatre,2026,closed,unknown,,,no_receipts_match,"Not in the mixed-beverage panel (BG permit, out of county, or not separately permitted)"
