year,coverage,venues_with_receipts,total_nominal,total_real_2026_06usd,total_nominal_ex_festival,total_real_ex_festival,core_live_music_real_ex_festival,core_venues_with_receipts
2007,full_year,44,30243434.0,48683774.34,30243434.0,48683774.34,30793780.54,33
2008,full_year,48,34133143.0,52910156.89,34133143.0,52910156.89,34047227.97,35
2009,full_year,53,36527806.0,56858014.77,36527806.0,56858014.77,36766899.92,39
2010,full_year,54,39303387.0,60193265.0,39303387.0,60193265.0,39613628.47,40
2011,full_year,62,43060577.0,63911417.02,43060577.0,63911417.02,42498180.32,46
2012,full_year,64,48364337.0,70328802.79,48364337.0,70328802.79,47967593.4,47
2013,full_year,72,56457528.0,80927412.41,56457528.0,80927412.41,49415048.73,52
2014,full_year,76,67607008.0,95345283.04,66751554.0,94135546.16,56446625.47,53
2015,full_year,82,72493295.0,102127559.48,71697971.0,101008470.76,61742328.86,58
2016,full_year,80,74650802.0,103901531.06,74650802.0,103901531.06,62515007.35,55
2017,full_year,79,76261613.0,103905191.47,76261613.0,103905191.47,59591209.56,53
2018,full_year,81,79906681.0,106267412.35,79906681.0,106267412.35,57443002.24,53
2019,full_year,79,83499764.0,109043435.87,83499764.0,109043435.87,54717069.72,50
2020,full_year,80,26822213.0,34590965.62,26822213.0,34590965.62,13608225.27,51
2021,full_year,74,67725187.0,82935353.92,67725187.0,82935353.92,38338978.32,46
2022,full_year,79,113795488.0,129619522.01,113795488.0,129619522.01,54964328.09,48
2023,full_year,77,120504613.0,132070504.07,117344902.0,128592189.94,52607221.2,48
2024,full_year,76,129124467.0,137346491.68,108991840.0,115995912.03,47099025.52,47
2025,full_year,77,112115549.0,116187975.72,97845694.0,101480359.61,44536912.63,47
2026,partial_Jan-Jun,74,59102723.0,59585830.61,55024740.0,55486515.48,22193194.79,44
