month,venues_reporting,total_nominal,total_real_2026_06usd,total_real_ex_festival,cover_charge_nominal,cpi_u,cpi_imputed,travis_austin_all_MB_permits_total,travis_austin_all_MB_permits_n
2007-01,41,1740076.0,2870829.68,2870829.68,0.0,202.416,0,25637203.0,718
2007-02,40,2101784.0,3449132.28,3449132.28,0.0,203.499,0,29066471.0,721
2007-03,40,3441329.0,5596432.96,5596432.96,0.0,205.352,0,36306950.0,734
2007-04,40,2289601.0,3699412.8,3699412.8,40.0,206.686,0,30635034.0,736
2007-05,40,2608376.0,4188875.07,4188875.07,90.0,207.949,0,33596443.0,730
2007-06,41,2601685.0,4170048.33,4170048.33,10.0,208.352,0,32798991.0,738
2007-07,43,2521087.0,4041891.92,4041891.92,0.0,208.299,0,30655494.0,742
2007-08,43,2522913.0,4052250.86,4052250.86,30.0,207.917,0,31620290.0,744
2007-09,43,2833979.0,4539368.58,4539368.58,0.0,208.49,0,33073903.0,740
2007-10,43,2625618.0,4196645.78,4196645.78,0.0,208.936,0,32304502.0,746
2007-11,44,2435647.0,3870019.97,3870019.97,0.0,210.177,0,30335083.0,747
2007-12,43,2521339.0,4008866.11,4008866.11,0.0,210.036,0,33163000.0,742
2008-01,43,2104138.0,3328979.98,3328979.98,0.0,211.08,0,28484538.0,749
2008-02,44,2577447.0,4065999.26,4065999.26,0.0,211.693,0,32887805.0,751
2008-03,46,3708346.0,5799752.55,5799752.55,0.0,213.528,0,37488651.0,754
2008-04,47,2776495.0,4316186.15,4316186.15,0.0,214.823,0,33468762.0,758
2008-05,47,3158032.0,4868307.09,4868307.09,0.0,216.632,0,36593523.0,758
2008-06,47,2971807.0,4535524.95,4535524.95,0.0,218.815,0,33896702.0,767
2008-07,47,2738761.0,4158020.01,4158020.01,0.0,219.964,0,32319384.0,776
2008-08,47,2870062.0,4374825.16,4374825.16,0.0,219.086,0,34477072.0,778
2008-09,48,2995835.0,4572864.85,4572864.85,0.0,218.783,0,32749898.0,775
2008-10,48,3096859.0,4775305.59,4775305.59,0.0,216.573,0,35222247.0,783
2008-11,48,2632343.0,4138289.79,4138289.79,0.0,212.425,0,31526798.0,790
2008-12,48,2503018.0,3976101.5,3976101.5,0.0,210.228,0,32404997.0,798
2009-01,48,2541142.0,4019169.25,4019169.25,0.0,211.143,0,31369785.0,788
2009-02,48,2531006.0,3983328.93,3983328.93,0.0,212.193,0,31612408.0,791
2009-03,49,3922782.0,6158746.9,6158746.9,0.0,212.709,0,37510149.0,800
2009-04,49,3188220.0,4993024.04,4993024.04,0.0,213.24,0,34468839.0,797
2009-05,49,3315552.0,5177480.27,5177480.27,0.0,213.856,0,36903223.0,800
