name,category,directory_type,city,county,address,phone,website,msa_region,source_url,retrieved,provenance
21st Century Media & Marketing,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Aces Media Solutions,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,https://acesmediasolutions.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Adlucent,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.adlucent.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
AMFM Studios,COMMERCIAL MUSIC - Advertising agencies,Music Business,Facebook,,,,http://www.amfmstudios.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Amy Wick Marketing & Communications,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.wickmarketing.com,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Andrew Sigler Music,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.andrewsigler.com,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Archuleta Group,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,https://archuletagroup.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Arrow At Work,COMMERCIAL MUSIC - Advertising agencies,Music Business,Facebook,,,,http://www.arrowatwork.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Arsenal Advertising and Public Relations,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://mightyarsenal.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Big Gorilla Design,COMMERCIAL MUSIC - Advertising agencies,Music Business,Facebook,,,,http://biggorilladesign.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Blitz Media Labs | ideality.com,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.ideality.com,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
BoothEasy,COMMERCIAL MUSIC - Advertising agencies,Music Business,Instagram,,,,https://bootheasy.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Charlieuniformtango,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://charlieuniformtango.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Cohn & Wolfe,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.cohnwolfe.com,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Cold Shower Design,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.coldshowerdesign.com/,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Collin Anderson Music and Sound,COMMERCIAL MUSIC - Advertising agencies,Music Business,,,,,http://www.collin-anderson.com,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
Complete Web Resources,COMMERCIAL MUSIC - Advertising agencies,Music Business,Facebook,,,,http://www.completewebresources.com,Austin,https://web.archive.org/web/20250413230745id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=S,2026-08-01,Internet Archive snapshot 2025-04-13; first results page only (50-row cap)
KRVL-FM 94.3,ALTERNATIVE - *,Radio Stations,Kerrville,,,,https://jambroadcasting.com/radio/rev/,Austin Area,https://web.archive.org/web/20250417195841id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=B,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
KVET-HD2 FM 103.1,ALTERNATIVE - *,Radio Stations,Austin,,,,https://1031austin.iheart.com/,Austin Area,https://web.archive.org/web/20250417195841id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=B,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
KROX-FM 101.5,ALTERNATIVE - *,Radio Stations,Austin,,,,http://www.krox.com/,Austin Area,https://web.archive.org/web/20250417195841id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=B,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
KDRP-FM 100.1,AMERICANA - *,Radio Stations,Austin,,,,http://www.sunradio.com,Austin Area,https://web.archive.org/web/20250417195841id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=B,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
KUT-FM 90.5,AMERICANA - *,Radio Stations,Austin,,,,http://www.kut.org/,Austin Area,https://web.archive.org/web/20250417195841id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=B,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
KGSR-FM 93.3,AMERICANA - *,Radio Stations,Austin,,,,https://www.acl-radio.com/,Austin Area,https://web.archive.org/web/20250417195841id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=B,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Adam Carroll,BLUEGRASS - Traditional Bluegrass,Musicians,,,,,http://www.adamcarroll.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Andrea Marie and the Magnolia Band,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,http://www.magnoliamusicaustin.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Anna La Mare,BLUEGRASS - Traditional Bluegrass,Musicians,,,,,https://annalamare.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Austin Lounge Lizards,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,https://bluecornmusic.com/artist/austin-lounge-lizards/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Barbara Bergin,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,https://barbaraberginmusic.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Bottom Dollar String Band,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,http://www.facebook.com/bottomdollarstringband/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Boxcar Preachers,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,http://www.boxcarpreachers.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Brennen Leigh,BLUEGRASS - Traditional Bluegrass,Musicians,San Marcos,,,,http://www.brennenleigh.net/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Cara Cooke,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Caroline Herring,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,http://www.carolineherring.com,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Christy & the Plowboys,BLUEGRASS - Traditional Bluegrass,Musicians,,,,,http://www.reverbnation.com/christyandtheplowboys,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Clyde and Clem's Whiskey Business,BLUEGRASS - Traditional Bluegrass,Musicians,,,,,http://www.clydeandclem.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
Danny Santos,BLUEGRASS - Traditional Bluegrass,Musicians,Austin,,,,http://www.dannysantosmusic.com/,Austin,https://web.archive.org/web/20250417210718id_/https://texasmusic.reel-scout.com/crew_directorylist_content.aspx?type=M,2026-08-01,Internet Archive snapshot 2025-04-17; first results page only (50-row cap)
