venue_key,canonical_venue_name,district,tier,match_status,n_permit_entities_matched,matched_location_names,matched_addresses,taxpayers,first_month,last_month,n_months,total_receipts_nominal,total_receipts_nominal_ex_festival,cover_charge_total,still_reporting_2026_06,note
mohawk,Mohawk,Red River Cultural District,core_live_music,matched,1,THE MOHAWK,912 RED RIVER ST,LOADED DICE L.L.C.,2007-01,2026-06,234,21461839.0,21461839.0,0.0,yes,
stubbs,Stubb's Bar-B-Q,Red River Cultural District,core_live_music,matched,2,SARC INC | STUBB'S BAR-B-Q,801 RED RIVER ST,"SARC, INC. | STUBB'S AUSTIN RESTAURANT COMPANY LC",2007-01,2026-06,234,51733024.0,51733024.0,0.0,yes,
cheerup,Cheer Up Charlies,Red River Cultural District,core_live_music,matched,2,CHEER UP CHARLIES,1104 E 6TH ST | 900 RED RIVER ST,CHEER UP CHARLIES LLC,2010-12,2026-06,187,18209083.0,18209083.0,0.0,yes,
clubdeville,Club de Ville,Red River Cultural District,core_live_music,matched,1,THE CLUB DE VILLE,900 RED RIVER ST,"BACCHUS, LLC",2007-01,2013-12,84,3378273.0,3378273.0,167.0,no,
elysium,Elysium,Red River Cultural District,core_live_music,matched,1,ELYSIUM,705 RED RIVER ST,"DEI GRATIA, INC.",2007-01,2026-06,234,8943462.0,8943462.0,0.0,yes,
valhalla,Valhalla (711 Red River),Red River Cultural District,core_live_music,matched,1,VALHALLA,710 RED RIVER ST,"RED RIVER TAVERN, INC.",2009-12,2026-06,199,3886924.0,3886924.0,0.0,yes,
room710,Room 710,Red River Cultural District,core_live_music,matched,1,ROOM 710,710 RED RIVER ST,"CHICOSNABBY, INC.",2007-01,2009-09,33,936534.0,936534.0,0.0,no,
swandive,Barbarella / Swan Dive,Red River Cultural District,core_live_music,matched,1,BARBARELLA/SWAN DIVE,615 RED RIVER ST,"BARBARELLA, LLC",2009-12,2026-06,199,38458123.0,38458123.0,13541.0,yes,
plush,Plush,Red River Cultural District,core_live_music,matched,1,PLUSH,617 RED RIVER ST,RED PLUSH INCORPORATED,2007-01,2021-03,171,3167385.0,3167385.0,0.0,no,
chessclub,Chess Club,Red River Cultural District,core_live_music,matched,1,CHESS CLUB,617 RED RIVER ST,FLYING HOUSES LLC,2022-08,2026-06,47,730842.0,730842.0,2500.0,yes,
sidewinder,Sidewinder,Red River Cultural District,core_live_music,matched,1,SIDEWINDER,715 RED RIVER ST,"CETERUM CENSEO, INC.",2015-02,2018-05,40,1932795.0,1137471.0,0.0,no,
redeyedfly,Red Eyed Fly,Red River Cultural District,core_live_music,matched,1,RED EYED FLY BAR,715 RED RIVER ST,RED EYED FLY LTD CO,2007-01,2015-02,98,3185383.0,3185383.0,0.0,no,
