venue_key,venue_name,district,tier,obligation_month,obligation_end_date,location_name,location_address,location_zip,taxpayer_name,taxpayer_number,location_number,tabc_permit_number,responsibility_begin_date,responsibility_end_date,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts,total_receipts_real_2026_06usd,cpi_u_month,cpi_imputed,venue_median_month_nominal,ratio_to_median,festival_spike_flag,extreme_outlier_flag
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-03,2016-03-31,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB104705402,2016-03-09,2023-01-03,20883,2901,10079,0,33863,47488.86,238.132,0,52456.0,0.65,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-04,2016-04-30,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,22210,2385,12584,0,37179,51893.13,239.261,0,52456.0,0.71,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-05,2016-05-31,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,19490,12221,3263,0,34974,48618.76,240.229,0,52456.0,0.67,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-06,2016-06-30,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,30406,4049,12377,0,46832,64889.93,241.018,0,52456.0,0.89,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-07,2016-07-31,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,10393,3806,10651,0,24850,34487.7,240.628,0,52456.0,0.47,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-08,2016-08-31,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,12511,3398,12870,0,28779,39903.86,240.849,0,52456.0,0.55,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-09,2016-09-30,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,35481,3975,16212,0,55668,77002.0,241.428,0,52456.0,1.06,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-10,2016-10-31,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,26336,6408,13485,0,46229,63866.01,241.729,0,52456.0,0.88,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-11,2016-11-30,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,12095,2423,6988,0,21506,29757.13,241.353,0,52456.0,0.41,0,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-12,2016-12-31,"FARACE BEVERAGES, LLC",310 W 2ND ST STE 1A,78701,"FARACE BEVERAGES, LLC",32042645997,2,MB937370,2016-03-09,2023-01-03,23964,5590,12710,0,42264,58460.14,241.432,0,52456.0,0.81,0,0
