venue_key,venue_name,district,tier,first_month,last_month,n_months,still_reporting_2026_06,real_2013,real_2019,real_2024,real_2025,pct_change_real_2019_2025,pct_change_real_2019_2024,total_real_all_years_ex_festival,cover_charge_share_pct
blindpig,Blind Pig Pub,Downtown/6th,live_music_adjacent,2007-01,2026-06,234,yes,5699453.47,5327744.36,3293571.6,2498695.67,-53.1,-38.2,81797912.47,0.11
moodycenter,Moody Center (UT),UT/Campus,large_venue,2022-03,2026-06,52,yes,0,0,19285295.42,5113537.68,,,68781552.94,1.23
stubbs,Stubb's Bar-B-Q,Red River Cultural District,core_live_music,2007-01,2026-06,234,yes,4125638.83,4191488.42,3008853.51,2843844.4,-32.2,-28.2,68593170.26,0.0
swandive,Barbarella / Swan Dive,Red River Cultural District,core_live_music,2009-12,2026-06,199,yes,2548334.24,3532204.64,3340766.74,3337256.29,-5.5,-5.4,48678993.94,0.04
hotelvegas,Hotel Vegas / Volstead Lounge,East Austin,core_live_music,2011-03,2026-06,184,yes,2014973.82,3520261.96,4002808.93,4993323.22,41.8,13.7,46558883.89,0.07
speakeasy,Speakeasy,Downtown,core_live_music,2007-01,2026-06,234,yes,2054293.29,1948967.89,2018477.01,2148755.56,10.3,3.6,44931972.73,0.0
maggiemaes,Maggie Mae's,Downtown/6th,live_music_adjacent,2007-01,2026-06,234,yes,3172352.33,2676899.2,467561.61,279863.17,-89.5,-82.5,44426495.84,0.0
moontower,Moon Tower Saloon,South Austin,live_music_adjacent,2012-04,2026-06,171,yes,4345714.22,3399608.68,1872722.42,1729901.36,-49.1,-44.9,43206520.06,0.0
containerbar,Container Bar,Rainey Street,live_music_adjacent,2013-12,2024-01,122,no,0.0,6132146.11,0.0,0,,,37863421.38,0.0
whitehorse,The White Horse,East Austin,core_live_music,2011-12,2026-06,175,yes,3068908.0,2823044.41,2719061.33,2747452.77,-2.7,-3.7,36321397.62,0.01
continental,The Continental Club,South Congress,core_live_music,2007-01,2026-06,234,yes,2298621.78,1905621.03,1689643.53,1580297.46,-17.1,-11.3,36256075.94,0.0
clivebar,Clive Bar,Rainey Street,live_music_adjacent,2009-09,2026-06,186,yes,2364919.27,2318449.23,1302178.75,678452.58,-70.7,-43.8,34093311.46,0.0
mohawk,Mohawk,Red River Cultural District,core_live_music,2007-01,2026-06,234,yes,1904060.48,1976670.37,1294790.38,1259873.28,-36.3,-34.5,28561701.19,0.0
haymaker,Haymaker,Manor Rd,live_music_adjacent,2013-08,2026-06,155,yes,694736.95,2637645.78,2045600.4,1641624.3,-37.8,-22.4,28372529.28,0.0
spiderhouse,Spider House Ballroom,UT/North Campus,core_live_music,2007-01,2025-06,222,no,2125574.48,1640109.66,352296.31,200597.61,-87.8,-78.5,27793840.76,0.0
emoseast,Emo's East,Southeast Austin,large_venue,2011-10,2026-06,177,yes,1687226.43,2231435.07,1349768.37,2020403.35,-9.5,-39.5,27091220.99,0.0
yellowjacket,Yellow Jacket Social Club,East Austin,live_music_adjacent,2010-06,2026-06,193,yes,1935308.3,2002136.16,1450079.8,1398148.43,-30.2,-27.6,26419255.55,0.0
littledarlin,The Little Darlin',South Austin,live_music_adjacent,2016-04,2026-06,123,yes,0,2654563.81,2575417.09,2386734.15,-10.1,-3.0,24922530.28,0.0
thegatsby,The Gatsby / Mala Vida (708 E 6th),Downtown/6th,live_music_adjacent,2013-06,2026-06,157,yes,225649.98,1204845.55,4161623.65,3482127.88,189.0,245.4,24616041.74,16.45
cosmic,Cosmic Coffee & Beer Garden,South Austin,live_music_adjacent,2014-05,2026-06,146,yes,0,3303533.97,2265715.69,1641599.1,-50.3,-31.4,24407252.98,0.0
saxon,The Saxon Pub,South Lamar,core_live_music,2007-01,2026-06,234,yes,1420318.18,1275298.72,1215319.05,1113378.18,-12.7,-4.7,23997701.68,0.0
belmont,The Belmont,Downtown,live_music_adjacent,2007-01,2026-04,227,no,1441899.59,624514.52,312983.59,211633.65,-66.1,-49.9,23925888.75,0.0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,2016-03,2026-06,124,yes,0,667719.97,5638958.09,5227663.54,682.9,744.5,23730819.69,0.0
bartonsprings,Barton Springs Saloon,South Central,live_music_adjacent,2007-01,2026-06,234,yes,1244573.25,1251961.14,1715571.09,1770481.53,41.4,37.0,23708811.54,0.0
elephantroom,Elephant Room,Downtown,core_live_music,2007-01,2026-06,234,yes,1029053.21,1270679.31,2053225.47,2088357.8,64.3,61.6,23587609.76,8.52
shadygrove,Shady Grove,South Central,live_music_adjacent,2007-01,2020-10,166,no,1765645.4,1517341.09,0,0,,,23573038.0,0.0
antones,Antone's,Downtown,core_live_music,2007-01,2026-06,208,yes,278057.95,1638285.37,1467207.32,1437513.06,-12.3,-10.4,23264817.18,0.0
halfstep,Half Step,Rainey Street,live_music_adjacent,2012-08,2026-06,167,yes,0.0,2728018.82,1912808.04,1943766.39,-28.7,-29.9,23257087.59,0.01
cheerup,Cheer Up Charlies,Red River Cultural District,core_live_music,2010-12,2026-06,187,yes,1668226.85,1908853.32,1748452.5,1352801.85,-29.1,-8.4,22985780.5,0.0
holeinwall,Hole in the Wall,UT/Guadalupe,core_live_music,2007-01,2026-06,234,yes,1601223.15,1052380.67,776202.05,759793.36,-27.8,-26.2,22714592.25,0.0
longcenter,Long Center for the Performing Arts,South Central,large_venue,2008-04,2026-06,219,yes,1045523.42,930734.73,1319506.43,1281156.76,37.7,41.8,19246515.74,0.0
nuttybrown,Nutty Brown Cafe,Hill Country / W Travis,core_live_music,2007-01,2026-06,234,yes,490612.21,700312.23,546008.72,276887.58,-60.5,-22.0,19122452.13,0.0
donns,Donn's Depot,Central/West,core_live_music,2007-01,2026-06,234,yes,877916.26,1012338.32,1254554.22,1475664.61,45.8,23.9,18709066.36,0.0
lalas,Lala's Little Nugget,North Austin,live_music_adjacent,2007-01,2026-06,234,yes,402434.4,1683518.53,1478603.64,1438981.8,-14.5,-12.2,18122665.66,0.0
concourse,The Concourse Project,Southeast Austin,large_venue,2021-05,2026-06,62,yes,0,0,4422671.96,5292507.36,,,17948338.66,0.0
summit,Summit (120 W 5th),Downtown,core_live_music,2013-09,2020-06,82,no,720930.38,1732693.42,0,0,,,17802156.3,0.0
nomad,Nomad Bar,Northeast/Corona,core_live_music,2008-03,2026-06,220,yes,1168608.92,1248290.04,338261.08,288749.99,-76.9,-72.9,17475649.75,0.0
shoalcreek,Shoal Creek Saloon,Central,live_music_adjacent,2007-01,2026-06,234,yes,874994.72,775523.02,881909.09,958858.58,23.6,13.7,17093770.79,0.0
paramount,Paramount Theatre,Downtown,large_venue,2007-01,2026-06,234,yes,631421.18,1120037.46,1519283.47,1584037.3,41.4,35.6,17028605.96,0.0
brokenspoke,Broken Spoke,South Lamar,core_live_music,2007-01,2026-06,234,yes,926011.12,1000727.79,891829.97,911783.92,-8.9,-10.9,16960265.94,0.02
sevengrand,Seven Grand,Downtown/East,live_music_adjacent,2015-03,2026-06,136,yes,0,2121542.65,2424255.25,2022662.03,-4.7,14.3,16847187.71,0.0
empire,Empire Control Room & Garage,East Austin,core_live_music,2013-05,2026-06,158,yes,255377.76,1333918.04,953911.95,870416.93,-34.7,-28.5,16333111.49,0.06
