fiscal_year,area_label,county_name,fips_cousub,hud_metro_code,hud_area_name_as_published,percentile_basis,br0,br1,br2,br3,br4
1983,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,306,366,421,518,576
1985,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,317,378,434,531,590
1986,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,317,381,448,560,627
1987,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,326,391,460,575,644
1988,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,336,403,474,593,664
1989,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,341,409,482,603,675
1990,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,348,418,493,616,690
1991,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,357,429,506,632,708
1992,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,369,444,523,654,732
1993,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,380,457,538,673,753
1994,"Austin, TX (Travis County)",Travis County,4845399999,640,,45,381,460,613,851,1006
1995,"Austin, TX (Travis County)",Travis County,4845399999,640,,40,387,467,623,865,1022
1996,"Austin, TX (Travis County)",Travis County,4845399999,640,,40,405,489,652,905,1069
1997,"Austin, TX (Travis County)",Travis County,4845399999,640,,40,416,503,670,930,1099
1998,"Austin, TX (Travis County)",Travis County,4845399999,640,,40,427,516,687,954,1128
1999,"Austin, TX (Travis County)",Travis County,4845399999,640,,40,434,525,699,970,1147
2000,"Austin, TX (Travis County)",Travis County,4845399999,640,,40,435,526,700,972,1149
2001,"Austin, TX (Travis County)",Travis County,4845399999,640,,50,533,645,858,1192,1409
2002,"Austin, TX (Travis County)",Travis County,4845399999,640,,50,551,667,887,1233,1457
2003,"Austin, TX (Travis County)",Travis County,4845399999,640,,50,565,684,911,1265,1496
2004,"Austin, TX (Travis County)",Travis County,4845399999,640,,50,567,686,914,1269,1501
2005,"Austin, TX (Travis County)",Travis County,4845399999,640,,50,656,747,912,1240,1435
2006,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,50,578,658,804,1093,1265
2007,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,50,601,685,836,1137,1315
2008,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,50,672,766,935,1272,1471
2009,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,658,749,912,1228,1398
2010,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,688,783,954,1284,1462
2011,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,694,791,963,1296,1476
2012,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,50,713,812,989,1331,1516
2013,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,50,681,834,1050,1421,1723
2014,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,50,696,853,1074,1454,1762
2015,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,681,834,1050,1421,1723
2016,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,740,902,1126,1523,1845
2017,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,799,968,1195,1619,1948
2018,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,860,1023,1251,1679,2018
2019,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,931,1086,1315,1734,2099
2020,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,988,1134,1356,1763,2128
2021,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,,40,1059,1212,1434,1848,2207
2022,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,"Austin-Round Rock, TX MSA",40,1092,1236,1451,1867,2194
2023,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,"Austin-Round Rock, TX MSA",40,1253,1386,1626,2088,2416
2024,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,"Austin-Round Rock, TX MSA",,1519,1635,1924,2470,2840
2025,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,"Austin-Round Rock, TX MSA",,1549,1650,1949,2484,2882
2026,"Austin, TX (Travis County)",Travis County,4845399999,METRO12420M12420,"Austin-Round Rock-San Marcos, TX MSA",,1474,1562,1852,2347,2760
1983,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,267,316,366,450,496
1985,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,285,335,387,472,520
1986,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,285,350,410,515,575
1987,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,290,356,417,523,584
1988,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,296,364,427,535,598
1989,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,292,359,421,528,590
1990,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,368,448,527,658,737
1991,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,369,450,529,661,740
1992,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,380,463,545,681,762
1993,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,398,485,571,713,798
1994,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,45,386,444,570,788,931
1995,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,40,383,440,565,782,924
1996,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,40,397,456,586,811,959
1997,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,40,411,472,606,839,992
1998,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,40,471,541,694,961,1136
1999,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,40,487,560,718,994,1175
2000,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,40,508,584,749,1036,1225
2001,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,50,562,647,830,1148,1358
2002,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,50,548,631,810,1120,1325
2003,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,50,575,662,850,1176,1391
2004,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,50,589,678,871,1205,1425
2005,"Dallas, TX (Dallas County)",Dallas County,4811399999,1920,,50,633,713,868,1147,1412
2006,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,548,607,733,954,1129
2007,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,50,591,658,798,1059,1283
2008,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,50,645,718,871,1156,1401
2009,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,50,670,746,905,1201,1455
2010,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,669,740,894,1164,1377
2011,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,666,738,891,1160,1372
2012,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,649,719,868,1130,1337
2013,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,585,701,887,1183,1429
2014,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,602,722,913,1218,1471
2015,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,607,728,921,1229,1484
2016,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,667,796,986,1337,1692
2017,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,689,837,1031,1390,1774
2018,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,730,878,1077,1447,1856
2019,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,836,989,1201,1600,2080
2020,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,957,1093,1314,1727,2262
2021,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,,40,1029,1134,1352,1746,2309
2022,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",40,1076,1150,1362,1736,2280
2023,"Dallas, TX (Dallas County)",Dallas County,4811399999,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",40,1259,1326,1565,1972,2572
