venue_key,addr_in,match_status,match_type,addr_matched,coords,tigerline_id,side
"thegatsby","708 E 6TH ST, Austin, TX, 78701","Match","Exact","708 E 6TH ST, AUSTIN, TX, 78701","-97.735663453725,30.266120848168","63946549","L"
"vortex","2307 MANOR RD, Austin, TX, 78722","Match","Exact","2307 MANOR RD, AUSTIN, TX, 78722","-97.718044425471,30.284416157224","63946934","R"
"threadgills_n","6416 N LAMAR BLVD, Austin, TX, 78752","Match","Exact","6416 N LAMAR BLVD, AUSTIN, TX, 78752","-97.722670666761,30.331852262169","63931588","L"
"threadgills_s","301 W RIVERSIDE DR, Austin, TX, 78704","Match","Exact","301 W RIVERSIDE DR, AUSTIN, TX, 78704","-97.748223258728,30.258346252318","63944823","L"
"elephantroom","315 CONGRESS AVE # 10, Austin, TX, 78701","Match","Exact","315 CONGRESS AVE, AUSTIN, TX, 78701","-97.743728689944,30.265415226667","64016834","R"
"lalas","2207 JUSTIN LN, Austin, TX, 78757","Match","Exact","2207 JUSTIN LN, AUSTIN, TX, 78757","-97.73589999096,30.34464869466","63930968","L"
"marchesa","6406 N INTERSTATE 35 STE 3100, Austin, TX, 78752","Match","Non_Exact","6406 N I- 35 SVC RD, AUSTIN, TX, 78752","-97.707304996913,30.32382843235","63987834","L"
"empire","606 E 7TH ST, Austin, TX, 78701","Match","Exact","606 E 7TH ST, AUSTIN, TX, 78701","-97.736677108233,30.267422253603","63946538","L"
"o4lounge","3808 S CONGRESS AVE, Austin, TX, 78704","Match","Non_Exact","3808 CONGRESS AVE S, AUSTIN, TX, 78704","-97.762504306406,30.225538030468","63945199","R"
"acl_moody","310 W 2ND ST, Austin, TX, 78701","Match","Exact","310 W 2ND ST, AUSTIN, TX, 78701","-97.746727058887,30.265094309399","63943391","R"
"cosmic","121 PICKLE RD STE D, Austin, TX, 78704","Match","Non_Exact","121 PICKLE RD, AUSTIN, TX, 78704","-97.761784315159,30.227320102311","63945174","R"
"esthers","525 E 6TH ST, Austin, TX, 78701","Match","Exact","525 E 6TH ST, AUSTIN, TX, 78701","-97.737976376897,30.266640231528","63946506","R"
"o4center","2701 S LAMAR BLVD, Austin, TX, 78704","Match","Exact","2701 S LAMAR BLVD, AUSTIN, TX, 78704","-97.779854046688,30.245269194774","63943676","L"
"clubdeville","900 RED RIVER ST, Austin, TX, 78701","Match","Exact","900 RED RIVER ST, AUSTIN, TX, 78701","-97.736194412081,30.269371858445","63946523","L"
"austinmusichall","208 NUECES ST, Austin, TX, 78701","Match","Exact","208 NUECES ST, AUSTIN, TX, 78701","-97.749825335762,30.266009905395","64093793","L"
"lazonarosa","612 W 4TH ST, Austin, TX, 78701","Match","Exact","612 W 4TH ST, AUSTIN, TX, 78701","-97.749286225745,30.267887383619","63943360","R"
"sabg","10700 MENCHACA RD, Austin, TX, 78748","Match","Non_Exact","10700 MANCHACA RD, AUSTIN, TX, 78748","-97.830094729293,30.164140771621","63940248","R"
"shoalcreek","909 N LAMAR BLVD, Austin, TX, 78703","Match","Exact","909 N LAMAR BLVD, AUSTIN, TX, 78703","-97.752649689716,30.274061555472","63943147","R"
