puma20_5ce,cbsa_code,cbsa_title,metro_short,n_tracts_total,n_tracts_in_cbsa,share_tracts_in_cbsa,assigned,source
05100,12420,"Austin-Round Rock-San Marcos, TX",Austin,45,32,0.7111,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05201,12420,"Austin-Round Rock-San Marcos, TX",Austin,38,38,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05202,12420,"Austin-Round Rock-San Marcos, TX",Austin,31,31,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05203,12420,"Austin-Round Rock-San Marcos, TX",Austin,25,25,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05204,12420,"Austin-Round Rock-San Marcos, TX",Austin,41,41,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05301,12420,"Austin-Round Rock-San Marcos, TX",Austin,33,33,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05302,12420,"Austin-Round Rock-San Marcos, TX",Austin,28,28,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05303,12420,"Austin-Round Rock-San Marcos, TX",Austin,38,38,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05304,12420,"Austin-Round Rock-San Marcos, TX",Austin,34,34,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05305,12420,"Austin-Round Rock-San Marcos, TX",Austin,26,26,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05306,12420,"Austin-Round Rock-San Marcos, TX",Austin,37,37,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05307,12420,"Austin-Round Rock-San Marcos, TX",Austin,33,33,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05308,12420,"Austin-Round Rock-San Marcos, TX",Austin,25,25,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05309,12420,"Austin-Round Rock-San Marcos, TX",Austin,36,36,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05401,12420,"Austin-Round Rock-San Marcos, TX",Austin,22,22,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
05402,12420,"Austin-Round Rock-San Marcos, TX",Austin,24,24,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
00600,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,47,16,0.3404,0,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
00900,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,50,50,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01400,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,27,27,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01901,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,42,42,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01902,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,31,31,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01903,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,24,24,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01904,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,28,28,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01905,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,32,32,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
01907,19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth,31,31,1.0,1,2020 Census Tract to 2020 PUMA relationship file (www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt) crossed with OMB/Census 2023 CBSA delineation list1_2023.xlsx; retrieved 2026-08-01
