key,value,formatted,unit,source,note,module,macroname
census_also_presents_gigs,47.17636837532581,47.2%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives who also present or promote gigs, casually or professionally, of 1151 who answered. THIS IS NOT WORK OUTSIDE MUSIC: the Socrata dictionary names the variable CREATIVES Work Also as Gig Presenter and Data Appendix slide 47 confirms the reading. See census_no_outside_work_item. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusAlsoPresentsGigs
census_caveat_2014comparison,1,2014 comparisons are directional,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Where the 2014 census asked a comparable question, the comparison runs between two different self-selected samples eight years apart, with response falling from 3,968 to about 2,260 and 2022 outreach running through established community partners. The 2022 report itself calls these directional shifts, not estimates.",census,NCensusCaveatTwoZeroOneFourcomparison
census_caveat_nodollarincome,1,no dollar income variable,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"The instrument contains no dollar-denominated income question of any kind - annual, monthly or per gig. The share-of-income scale used in section 3 is ordinal and within-music. The only dollar quantity collected from creatives is business spending, which is a cost.",census,NCensusCaveatNodollarincome
census_caveat_nofollowup,1,single 2022 snapshot,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"One cross-section with no comparable follow-up. Austin appears in the Sound Music Cities 2023-24 cohort roster but published no later report, so nothing here can speak to change since 2022.",census,NCensusCaveatNofollowup
census_caveat_notacs,1,not comparable with ACS or PUMS,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Do not set these percentages beside the ACS, PUMS, OEWS or QCEW figures elsewhere in this report as though they measure the same population. The census population is self-defined participation in the Austin music ecosystem; the federal series measure occupation or industry in probability samples of households and establishments.",census,NCensusCaveatNotacs
census_caveat_noweights,1,no survey weights,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"The release carries no design or post-stratification weights, so no statistic here is a population estimate, and no standard error or margin of error is computed anywhere in this module. Chi-squared tests and logits describe association among respondents; their p-values assume simple random sampling, which does not hold.",census,NCensusCaveatNoweights
census_caveat_rowcount,2227,"2,227 rows, not 2,260",flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"The published microdata file carries 2,227 respondent rows; the Summary Report and Data Appendix headline 2,260. The 33-row difference is undocumented in the release. All shares in this module use the 2,227-row file, so they can sit a few tenths of a point away from a published percentage even where the underlying counts agree.",census,NCensusCaveatRowcount
census_caveat_selfselected,1,self-selected convenience sample,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"The 2022 Greater Austin Music Census recruited online through community partners between 15 July and 12 September 2022. It is not a probability sample of any population. Every percentage in this module is a share of the respondents who answered a given item, and nothing more.",census,NCensusCaveatSelfselected
census_caveat_slide41,1,published slide 41 mislabels four bars,flag,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Two published sources disagree about which income source goes with which value. The microdata, the Socrata column dictionary for dataset an3p-3yqx and the five-segment distributions on Data Appendix slide 40 all agree that the 2022 shares reporting any income from a source are: local live 92.4, touring 75.3, recordings and royalties 70.7, studio work 57.8, merchandise 56.1, songwriting 51.0, teaching 41.0. Data Appendix slide 41 plots the same seven values but labels four of them differently, reading merchandise 71.0, recordings 58.0, teaching 56.0 and studio 41.0. This module follows the microdata and slide 40, which are two independent sources against slide 41 alone. Anyone quoting a 2014-to-2022 change in these shares should note that the 2014 bars appear only on slide 41 and cannot be checked against microdata.",census,NCensusCaveatSlideFourOne
census_closures_property_share,36.11111111111111,36.1%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/venue_timeline.csv,"Share of the 36 dated Austin venue closures in the 30_venues tracking panel attributed to a real-estate cause - sale of the property, a rent increase, lease expiration or redevelopment. It equals the pandemic share (13 closures) and it AGREES with the census ranking, in which presenters put property tax first. Regulatory causes account for only 2 closures, which also matches the mid-pack rank the census gives ordinances and permitting. The one item that does not line up is talent costs, ranked second by presenters but recorded as the cause of no closure at all - the receipts panel has no talent-cost field, so that is untested rather than contradicted. Both sources are small and neither is a probability sample.",census,NCensusClosuresPropertyShare
census_gig_guarantee_mean,54.27255985267035,54.3%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Mean self-reported percent of gigs paying a base guarantee rather than a door or bar percentage, 1086 creatives. Replicates the published 54 percent. The median is 50 percent and the distribution is close to bimodal at 0 and 100, so the mean describes no typical musician. No dollar amount was ever collected for a gig. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigGuaranteeMean
census_gigs_any,86.0036832412523,86.0%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share reporting at least one paid local performance a month, of 1086 who answered. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsAny
census_gigs_by_experience_chi2,19.963,"chi-squared(15) = 20.0, p = 0.173",Pearson chi-squared,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Test of independence between the monthly paid-gig band and years of experience among music creatives. Not distinguishable: gig volume looks flat across career stage in this sample, which cuts against a story in which experience buys work. The p-value assumes simple random sampling, which a self-selected convenience sample is not, so read it as a descriptive discriminant among respondents. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsByExperienceChiTwo
census_gigs_item_from_creatives,99.8158379373849,99.8%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of the gig-volume respondents whose primary sector is Music Creative. Because it is essentially 100 percent, a sector cross-tabulation of any creatives-block item carries no information and none is published here. Years of experience and business structure are the usable splits inside that block. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsItemFromCreatives
census_gigs_over10,8.931860036832411,8.9%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share reporting more than 10 paid local performances a month, of 1086 who answered. A working-musician week is four or more gigs; this is the share at something close to full-time performing. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsOverOneZero
census_gigs_over3,34.8987108655617,34.9%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share reporting more than 3 paid local performances a month - the 4-to-6, 7-to-10, 11-to-15 and 16-or-more bands - of 1086 who answered. Replicates the published 35 percent against 43 percent in 2014, again two different self-selected samples. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsOverThree
census_gigs_over3_restored,37.85234899328859,37.9%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share reporting more than 3 paid local performances a month among the 745 creatives who also said their music work has returned to pre-pandemic levels. The published pandemic-adjusted comparison figure is 38 percent. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsOverThreeRestored
census_gigs_zero,13.9963167587477,14.0%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives reporting zero paid local performances a month, of 1086 who answered. Replicates the published 14 percent (Data Appendix p.42) against 7.6 percent in the 2014 census - but that is a comparison of two different self-selected samples eight years apart, not a measured change. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusGigsZero
census_incshare_allmost_live_performance_local,50.75960679177837,50.8%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Live performance, local. Denominator 1119 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostLivePerformanceLocal
census_incshare_allmost_live_performance_touring,12.0253164556962,12.0%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Live performance, touring. Denominator 948 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostLivePerformanceTouring
census_incshare_allmost_merchandise,3.933253873659118,3.9%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Merchandise. Denominator 839 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostMerchandise
census_incshare_allmost_recordings_and_royalties,5.603448275862069,5.6%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Recordings and royalties. Denominator 928 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostRecordingsAndRoyalties
census_incshare_allmost_songwriting_and_mechanicals,3.841676367869616,3.8%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Songwriting and mechanicals. Denominator 859 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostSongwritingAndMechanicals
census_incshare_allmost_studio_and_session_work,7.857911733046286,7.9%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Studio and session work. Denominator 929 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostStudioAndSessionWork
census_incshare_allmost_teaching,13.62126245847176,13.6%,percent of the denominator named in the note,01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv,"Share of music creatives saying ALL or MOST of their music income comes from Teaching. Denominator 903 creatives who answered this item. Within-music share only: the instrument never asked what fraction of TOTAL income comes from music, so this cannot be read as a share of a livelihood. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.",census,NCensusIncshareAllmostTeaching
