occ,lab,nunw_pos,nunw_emp,wtd_emp,medpernp,mp_moe,medpincp,mi_moe
2700,Actors,76,76,1596,12276.50881164971,10500.07434773298,23980.80350206388,12606.52644444961
2740,Dancers and choreographers,66,66,1883,24508.74421730026,6923.569576692796,24508.74421730026,8376.928689469398
2752,Musicians and singers,498,500,12081,25099.79298581981,2690.317702177011,28022.46095453403,5463.290426687696
2910,Photographers,580,584,12173,36763.1163259504,1773.365651867171,37649.68947872971,3643.262362481487
9999,All Texas workers 18-64,,,13595139,50046.89426517679,40.41248229053919,51468.36285633055,125.2078726212178
2634,Graphic designers,1028,1030,21370,52132.18152622582,1897.677241975306,52132.18152622582,1869.338890616781
2905,"Media, AV and sound equipment workers",389,390,9547,53551.60611480107,7738.605032781799,56302.75604832389,5874.245031747043
2850,Writers and authors,646,654,15584,53889.34798948851,5655.186364501099,55972.53835837817,3434.067153009267
2710,Producers and directors,478,479,10446,61956.21269430694,3139.10597440425,64250.88723854053,5703.071957951739
2751,Music directors and composers,122,122,3013,64667.21758738622,7754.721544975116,67769.44106171347,7432.995192105341
