occ,lab,nunw_emp,wtd_emp,selfemp,se_moe
9999,All Texas workers 18-64,,13595139,.0984220904251144,.0010418759932175
2905,"Media, AV and sound equipment workers",390,9547,.1669634440138263,.0373341895604451
2634,Graphic designers,1030,21370,.2298081422554984,.0257412214070786
2710,Producers and directors,479,10446,.257131916523071,.0377845038691107
2751,Music directors and composers,122,3013,.2973780285429804,.1076124703049365
2740,Dancers and choreographers,66,1883,.3329792883696229,.1239206210924707
2850,Writers and authors,654,15584,.3393865503080082,.0470805126286337
2700,Actors,76,1596,.443609022556391,.1123798831558406
2752,Musicians and singers,500,12081,.5152719145766079,.0485664254111764
2910,Photographers,584,12173,.5633779676332867,.0429243062160278
