thresh,mus,mus_lo,mus_hi,allw
0,.28143365615429,0,.6224777544613448,.05891076214815
5000,15.54507077228706,11.73746953203431,19.35267201253981,3.91907725253857
10000,23.81425378693817,19.19387196943236,28.43463560444398,8.14733118947883
15000,33.37472063570897,28.72901742376688,38.02042384765107,12.92887847634364
20000,40.04635377866071,35.02918215516701,45.06352540215441,17.56808076769204
25000,49.82203459978479,45.06532481773638,54.57874438183321,22.76048078655172
30000,57.09792235742074,51.73937966064531,62.45646505419617,28.41279519098701
35000,62.56932373147919,57.37096384700703,67.76768361595134,34.74033623341402
40000,66.45973015478852,61.76174534004265,71.15771496953437,40.10279703649959
45000,69.37339624203295,64.65049218296048,74.09630030110542,45.51301020166105
50000,71.93113152884695,67.12783658692338,76.73442647077052,49.95610563452128
55000,77.00521480009932,72.70696434526792,81.30346525493074,54.63162973177398
60000,78.94214055127887,74.73903035623239,83.14525074632535,58.59183933316166
65000,81.2267196424137,77.51469365278027,84.93874563204714,63.39253316939239
70000,84.2811025577353,81.05413920870788,87.5080659067627,66.64301850830654
75000,85.37372734045195,82.12027065815238,88.62718402275152,69.65496270394883
80000,85.94487211323566,82.62957689979548,89.26016732667583,72.47338184626138
85000,86.91333498882543,83.52335498343038,90.30331499422047,74.91244480839806
90000,87.6003642082609,84.10418712153118,91.09654129499063,77.34956589998822
95000,88.88337058190547,85.34443302057238,92.42230814323858,79.44416750722446
100000,89.0158099495075,85.42606969312376,92.60555020589123,81.0062993839195
