year,idx_payroll_tx,idx_nonemployer_travis,emp_tx,estab_travis
2005,100,,2870,
2006,80.83623693379791,,2320,
2007,73.86759581881533,,2120,
2008,68.6411149825784,,1970,
2009,80.13937282229965,,2300,
2010,65.50522648083623,,1880,
2011,72.82229965156795,,2090,
2012,58.88501742160279,100,1690,5382
2013,62.7177700348432,105.685618729097,1800,5688
2014,65.50522648083623,116.6295057599405,1880,6277
2015,62.02090592334495,120.066889632107,1780,6462
2016,55.74912891986062,128.149386845039,1600,6897
2017,54.70383275261324,130.4347826086957,1570,7020
2018,59.93031358885017,142.8651059085842,1720,7689
2019,62.36933797909408,149.5169082125604,1790,8047
2020,44.25087108013937,136.5849126718692,1270,7351
2021,35.54006968641115,146.6740988480119,1020,7894
2022,48.78048780487805,160.3864734299517,1400,8632
2023,57.49128919860627,161.5756224451877,1650,8696
2024,38.32752613240418,,1100,
2025,49.82578397212544,,1430,
