year,msa_musicians,msa_allocc,msa_graphic,tx_musicians
2005,22.56650748869593,23.72122609874529,30.50107521876715,21.57674778112237
2006,22.03705953144977,23.49128149421301,30.74641200247233,20.95038750476261
2007,26.07148528238013,23.1194093033744,30.57728351119621,21.51907427475992
2008,20.02022710775521,22.83323375437628,31.2124025497141,20.90303255972761
2009,15.15133584178932,24.47638839710739,31.86435394420793,21.35302244379332
2010,31.98547488494954,24.79059122351021,32.76849215748548,29.23753295196129
2011,28.22821896317274,24.63345561925902,30.16165925432503,29.10184816644541
2012,24.91979960445351,24.02178967587955,29.55016664401384,27.68398808852065
2013,19.34655946112422,24.17282745225306,28.98526627784563,23.20480960350621
2014,24.14076087345506,23.97746518252633,29.44791754832637,26.71269006765725
2015,28.43440469633674,24.3975900636513,29.44021028383356,30.21495225038768
2016,,24.38892591226087,30.05327649954974,29.31503265870515
2017,40.78173805454058,24.39281404328905,33.26412328520669,34.53896488430225
2018,30.99562166771,24.70925845135609,33.42036117117572,30.57225441397794
2019,26.61322405221864,25.17671322214123,32.13244253621954,31.96863114158857
2020,25.25579312306744,26.33871633891394,30.48370329692782,33.67023922544646
2021,41.74187773712681,26.80943590892917,28.34310322766024,41.74187773712681
2022,44.3840215966077,25.20818663998223,30.4039365829713,44.03176779022165
2023,35.8944276488546,25.4485668081916,30.83008781272621,40.8953296380308
2024,31.9802236081303,25.97237958190966,30.14192657338739,38.09076820019613
2025,31.48999977111816,27.3799991607666,31.28000068664551,33.59000015258789
