year,core_real,panel_real,balanced_real,citywide_real,citywide_real_exf,idx_core,idx_panel,idx_citywide,citywide_permits,panel_share,nvenues
2013,47668590.19106308,78074263.07004052,59635726.2622629,836810328.6091763,836810328.6091763,90.31613955425267,74.20259379475814,70.74839241195028,987,9.329983199395272,767
2014,54460414.15316769,90836151.28727543,67350432.1026656,886675871.1827683,885511761.2211738,103.1843892409061,86.33162543977116,74.96429039171694,1026,10.24457236736417,872
2015,59562625.14354737,97451678.57960048,72738785.71409146,966838725.8911998,965757723.7689133,112.8513837543869,92.61909156635059,81.74168415453106,1079,10.07941407081856,921
2016,60276289.21241803,100201038.6144259,75392663.54854396,1013736068.929027,1013736068.929027,114.2035400355069,95.23211201428843,85.70663477103764,1146,9.884331995830479,932
2017,57472617.89733106,100228200.3274736,77559150.62420012,1040769752.597953,1040769752.597953,108.8915144701877,95.25792678961631,87.99220605901223,1162,9.630199194133525,925
2018,55395336.90645219,102514787.6093091,83893042.64401944,1102425621.691921,1102425621.691921,104.9557572112959,97.4311231872319,93.20492090254177,1240,9.299020776746554,924
2019,52779702.9703962,105217700.726192,89798897.77135544,1182797658.124354,1182797658.124354,100,100,100,1250,8.895663599219761,918
2020,13127084.37544619,33386704.3895717,29477620.62376304,569505400.4231739,569505400.4231739,24.87146315091824,31.73107201463556,48.14901319015788,1268,5.862403475851771,490
2021,37276323.63768896,80517699.41139123,69477695.78609176,1095897805.291039,1095897805.291039,70.62624747736267,76.5248611741882,92.6530246119088,1285,7.347190497384748,751
2022,53067726.10220225,125265412.579774,98503397.27267647,1330330411.043686,1330330411.043686,100.5457081332337,119.0535544069265,112.4732029951163,1384,9.416112834818184,896
2023,50722098.44603807,124065625.9247827,94207546.34233761,1323241478.814257,1319900800.895787,96.1015231072592,117.9132646584234,111.8738669902859,1451,9.375887010128839,882
2024,45435598.5681065,111932674.4694875,81824504.16423978,1260790068.110005,1240114219.494121,86.08536238559554,106.381981070628,106.5938928311144,1555,8.877978761149418,880
2025,42954041,97845694,75261242,1215860659,1201590804,81.38363534196593,92.99356793076466,102.7953218074574,1631,8.047443041744144,852
