venue_name,district,real2019,real2025,lossm,pctchg
Container Bar,Rainey Street,5918230.132163844,0,5.918230132163844,-100
Blind Pig Pub,Downtown/6th,5145428.507922549,2411065,2.734363507922549,-53.14160917234354
Maggie Mae’s,Downtown/6th,2582659.559950181,271192,2.311467559950181,-89.49950646978687
Summit (120 W 5th),Downtown,1672944.748301519,0,1.672944748301519,-100
Moon Tower Saloon,South Austin,3280327.972967079,1668835,1.611492972967079,-49.12597112993774
Cosmic Coffee & Beer Garden,South Austin,3187576.10246655,1583263,1.60431310246655,-50.33018980237463
Clive Bar,Rainey Street,2237090.891670461,653233,1.583857891670461,-70.79989005219973
Shady Grove,South Central,1465275.922429397,0,1.465275922429397,-100
Spider House Ballroom,UT/North Campus,1582633.683337956,192155,1.390478683337957,-87.85852961282089
Stubb’s Bar-B-Q,Red River Cultural District,4043125.696765431,2742553,1.300572696765431,-32.16750589292613
