venue_key,venue_name,district,tier,lat,lon,geosrc,real2019,real2025,pctchg,changecat,stopped
o4center,The 04 Center,South Lamar,core_live_music,,,none,0,153408,,Opened after 2019,0
o4lounge,The 04 Lounge,South Austin,live_music_adjacent,,,none,725224.1876593319,698603,-3.670752866813787,Roughly flat (-25% to +10%),0
abgb,The ABGB,South Austin,live_music_adjacent,30.2453087,-97.76893112,address,0,1098921,,Opened after 2019,0
acl_moody,ACL Live at Moody Theater / 3TEN (Block 21),Downtown,large_venue,30.26543654,-97.74708724000001,address,644066.4584833415,5044750,683.2654431158334,Real receipts up >10%,0
antones,Antone's,Downtown,core_live_music,,,none,1579215.04347126,1386022,-12.23348550724312,Roughly flat (-25% to +10%),0
austinmusichall,Austin Music Hall,Downtown,large_venue,,,none,,,,,1
swandive,Barbarella / Swan Dive,Red River Cultural District,core_live_music,30.26715122,-97.7366835,address,3407242.300314647,3219867,-5.499324198262723,Roughly flat (-25% to +10%),0
barracuda,Barracuda,East Austin,core_live_music,30.26713007,-97.73633031999999,address,1044318.243480778,0,-100,Stopped filing by 2025,1
bartonsprings,Barton Springs Saloon,South Central,live_music_adjacent,30.26132962,-97.75879796,address,1208846.430032508,1709036,41.37742872384889,Real receipts up >10%,0
beerland,Beerland,Red River Cultural District,core_live_music,30.26780546,-97.73652411,name,173367.7584886546,0,-100,Stopped filing by 2025,1
redriverhosp,Beerland successor (Red River Hospitality),Red River Cultural District,core_live_music,30.26780546,-97.73652411,address,0,355426,,Opened after 2019,0
belmont,The Belmont,Downtown,live_music_adjacent,30.26859015,-97.74567435000002,address,602403.911519615,204264,-66.09185363940836,Real receipts down >25%,1
blackheart,The Blackheart,Rainey Street,core_live_music,30.25970906,-97.73872599000002,address,,,,,1
blindpig,Blind Pig Pub,Downtown/6th,live_music_adjacent,30.26703099,-97.73981587000002,address,5145428.507922549,2411065,-53.14160917234354,Real receipts down >25%,0
brokenspoke,Broken Spoke,South Lamar,core_live_music,,,none,965269.9146501066,879235,-8.913042180672615,Roughly flat (-25% to +10%),0
