yearx,omv_permits,distinct_venue_names,entries,exits,netadds,coverage
2009,28,27,5,1,4,full_year
2010,80,78,2,0,2,full_year
2011,84,82,8,2,6,full_year
2012,87,84,5,2,3,full_year
2013,104,102,11,3,8,full_year
2014,138,131,6,0,6,full_year
2015,126,124,5,3,2,full_year
2016,123,120,2,2,0,full_year
2017,138,135,2,2,0,full_year
2018,121,121,3,4,-1,full_year
2019,99,99,3,2,1,full_year
2020,90,89,3,4,-1,full_year
2021,89,89,3,3,0,full_year
2022,108,104,3,3,0,full_year
2023,92,92,1,4,-3,full_year
2024,108,108,1,1,0,full_year
2025,94,93,2,4,-2,full_year
2026,42,42,0,1,-1,partial_through_Jul
