year,performing_va_m,indep_va_m,indep_ahead
2001,373.526,229.773,0
2002,336.381,269.646,0
2003,337.886,262.347,0
2004,378.819,298.412,0
2005,380.029,282.232,0
2006,358.059,343.654,0
2007,346.452,373.51,1
2008,364.593,438.915,1
2009,499.714,450.949,0
2010,535.775,458.914,0
2011,555.663,648.836,1
2012,510.189,786.745,1
2013,537.0700000000001,738.346,1
2014,593.779,966.104,1
2015,543.004,896.686,1
2016,642.475,901.827,1
2017,684.21,917.899,1
2018,656.246,1063.675,1
2019,669.798,1138.159,1
2020,574.429,872.294,1
2021,382.651,1199.219,1
2022,551.679,1572.15,1
2023,875.728,1642.8,1
