year,hours_musician,hours_allocc,hours_city,wage_musician,wage_allocc,wage_city,br1
2005,54.60526193975121,51.94714840438947,,13.68,14.38,,747
2006,47.71573617260412,44.76190534269768,,13.79,14.7,,658
2007,40.82240595765663,46.03494588250797,,16.780001,14.88,,685
2008,57.24962581825861,50.19659164553813,,13.38,15.26,,766
2009,74.23191166234977,45.95092239618231,,10.09,16.299999,,749
2010,36.16628239244073,46.66269177349656,,21.65,16.780001,,783
2011,40.1319145987755,45.98837005311966,,19.709999,17.200001,,791
2012,45.72072013149536,47.4299042170117,,17.76,17.120001,,812
2013,59.61401098245635,47.71167173001545,,13.99,17.48,,834
2014,48.08342790334967,48.41089440249493,,17.74,17.620001,,853
2015,39.8661566423735,46.46239356835693,,20.92,17.950001,,834
2016,,49.64226726541528,51.57232771892333,,18.17,17.48999977111816,902
2017,31.19561645438834,52.1551739145403,54.75113027665617,31.030001,18.559999,17.68000030517578,968
2018,42.34271549921298,53.11526416629703,,24.16,19.26,,1023
2019,51.42045250218934,54.35435559967214,,21.120001,19.98,,1086
2020,55.88959826670993,53.59168280611729,,20.290001,21.16,,1134
2021,34.52007914926277,53.7472301998174,,35.110001,22.549999,,1212
2022,30.65476213678301,53.97380002573671,,40.32,22.9,,1236
2023,40.82474135060955,57.58205307738463,,33.950001,24.07,,1386
2024,52.50481798479119,64.65005697157395,,31.139999,25.290001,,1635
2025,52.39758691625455,60.26296751551114,,31.49,27.379999,,1650
