hb,yrs,b,se,lo,hi
-9,-4.5,-.0191951232791429,.0772074801811797,-.1705217844342551,.1321315378759693
-8,-4,-.0539181546768852,.0750107653172582,-.2009392546987113,.0931029453449409
-7,-3.5,-.0175279748489645,.0713886390095551,-.1574497073076925,.1223937576097635
-6,-3,-.0143003883041771,.0685725032141501,-.1487024946039113,.1201017179955571
-5,-2.5,0,0,0,0
-4,-2,-.0716916807027972,.0431526513620443,-.156270877372404,.0128875159668096
-3,-1.5,-.1981295645208531,.139253323042221,-.4710660776836062,.0748069486419
-2,-1,-.5593237370778794,.3375465319623667,-1.220914939724118,.1022674655683593
-1,-.5,-.4953467005397659,.1872682631915183,-.8623924963951417,-.1283009046843901
0,0,-.2104270419826993,.1388621257385815,-.482596808430319,.0617427244649205
1,.5,-.1769316721680124,.1330967655018,-.4378013325515404,.0839379882155156
2,1,-.1468288357574328,.1158250767401308,-.3738459861680892,.0801883146532236
3,1.5,-.1165932786915726,.1266519640811175,-.3648311282905629,.1316445709074177
4,2,-.0532176734531494,.1286457209023975,-.3053632864218485,.1989279395155497
5,2.5,-.0038453347655669,.1333823913961041,-.265274821901931,.2575841523707971
6,3,-.1031337742206893,.1465839484075813,-.3904383130995486,.18417076465817
7,3.5,-.0257714883744396,.1448885741927744,-.3097530937922774,.2582101170433982
8,4,-.0976721156234399,.1472443217164003,-.3862709861875845,.1909267549407047
