key,value,formatted,unit,source,note,module
"census_n_respondents","2227","2,227","respondents","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Respondent records in the published microdata file. The Summary Report headline count is 2,260; the microdata release carries 2,227 rows, 33 fewer, and the release documents no reason. All shares in this module use the 2,227-row file. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_n_sector_creative","1462","1,462","respondents","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Respondents whose primary music ecosystem sector is Music Creative. The sector item itself was answered by 2128 of 2227. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_n_sector_industry","489","489","respondents","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Primary sector Music Industry, of 2128 who answered the sector item. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_n_sector_presenter","108","108","respondents","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Primary sector Music Venue or Presenter, of 2128 who answered the sector item. This is the smallest of the three role groups and it caps everything the venue section can say. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_n_sector_exited","69","69","respondents","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Selected None of these - Exit the Census, which terminated the questionnaire. They remain in the 2,227-row file and in any all-respondent denominator, but answer almost nothing else, so they are excluded from the sector breakouts. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_n_city_item","2149","2,149","respondents","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Respondents who answered the City of Austin residency item. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_pct_city_of_austin","72.91763610981852","72.9%","percent of the denominator named in the note","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Share who are City of Austin residents: 1567 of the 2149 who answered the item. On the full 2,227-row denominator it is 70.4 percent, because 78 respondents skipped the item. Quote the denominator with the share. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_pct_travis","80.15267175572519","80.2%","percent of the denominator named in the note","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Share living in Travis County: 1785 of 2227. County is the only item with complete response, which suggests it gated entry to the survey. The rest of the five-county field: Williamson 220, Hays 142, Bastrop 50, Caldwell 30. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_miles_mean","10.6228","10.6 miles","miles","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Mean self-reported distance from downtown Austin, 2150 respondents who answered. Matches the published 10.6-mile average. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
"census_miles_median","8.0000","8 miles","miles","01_evidence/08_venues_ecosystem/austin_music_census_2022_details_an3p-3yqx.csv","Median self-reported distance from downtown Austin, 2150 respondents. Matches the published 8-mile median. 2022 Greater Austin Music Census, self-selected online convenience sample fielded 15 Jul - 12 Sep 2022, 2,227 respondent records, NO SURVEY WEIGHTS. Every figure is a sample share, not a population estimate, and none is comparable with ACS, PUMS, OEWS or QCEW.","census"
