key,value,formatted,unit,source,note,module
"col_no_austin_bls_cpi","1","no Austin-area BLS CPI exists","methodological framing, verified against the file","03_analysis/data/external/BLS_CPI.dta","The only area_name values in this project BLS CPI extract are: Dallas-Fort Worth-Arlington, TX Houston-The Woodlands-Sugar Land, TX South U.S. city average. BLS publishes no Austin-specific consumer price index at all; the closest published series are Dallas-Fort Worth-Arlington and Houston-The Woodlands-Sugar Land, plus a broader South census region. Every real-dollar figure in this report, including every one in this module, therefore deflates by the U.S. city average, the only series available for a metro BLS does not price on its own. Given this module own finding that Austin housing carries a large price premium over the national average (see the Regional Price Parity section below), U.S.-average deflation most likely UNDERSTATES how much Austin cost of living has actually risen, so any real-dollar decline this module reports is a conservative reading, not an overstated one.","costliving"
"col_cpi_housing_oct2025_imputed","1","October 2025 imputed from September and November","methodological note","03_analysis/data/external/BLS_CPI.dta","The October 2025 federal funding lapse suspended BLS CPI collection for the Housing item exactly as it did for All items, which _setup.do already patches in the shared cpi_annual.dta. This module independently builds an annual Housing series, since cpi_annual.dta carries only All items, and applies the identical September/November-2025-average imputation so the two national series are treated consistently.","costliving"
"col_defl2026_partial_year",".9760000000000001","0.9760","multiplier, 2026 nominal dollars to 2025 dollars","03_analysis/data/external/BLS_CPI.dta","cpi_annual.dta excludes 2026 because it is an incomplete year. This module builds a supplementary 2026 price level from the 5 month(s) of 2026 CPI-U (All items, U.S. city average) available in this extract, January through May, used only to express HUD FY2026 and Zillow June 2026 figures in 2025 dollars. Not part of the shared cpi_annual.dta and not used by any other module.","costliving"
"col_hud_br1_austin_pctchg","31.8","+31.8%","percent change, real, FY2010-FY2026","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Austin HUD Fair Market Rent, 1-bedroom, real 2025 dollars, FY2010 ($1,157) to FY2026 ($1,524). FY2026 uses this module own partial-year CPI patch (col_defl2026_partial_year).","costliving"
"col_hud_br1_austin_peak","1679","$1,679 in FY2024","2025 dollars per month, peak fiscal year","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Austin HUD Fair Market Rent, 1-bedroom, peak real value FY2024 at $1,679, 2025 dollars.","costliving"
"col_hud_br1_austin_peaktolatest","-9.200000000000001","-9.2%","percent change, real, peak to FY2026","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Austin HUD Fair Market Rent, 1-bedroom, real 2025 dollars, from its FY2024 peak ($1,679) to FY2026 ($1,524): -9.2%.","costliving"
"col_hud_br1_dallas_pctchg","47.1","+47.1%","percent change, real, FY2010-FY2026","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Dallas HUD Fair Market Rent, 1-bedroom, real 2025 dollars, FY2010 ($1,093) to FY2026 ($1,608). FY2026 uses this module own partial-year CPI patch (col_defl2026_partial_year).","costliving"
"col_hud_br1_dallas_peak","1608","$1,608 in FY2026","2025 dollars per month, peak fiscal year","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Dallas HUD Fair Market Rent, 1-bedroom, peak real value FY2026 at $1,608, 2025 dollars.","costliving"
"col_hud_br1_dallas_peaktolatest","0","0.0%","percent change, real, peak to FY2026","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Dallas HUD Fair Market Rent, 1-bedroom, real 2025 dollars, from its FY2026 peak ($1,608) to FY2026 ($1,608): 0.0%.","costliving"
"col_hud_br1_houston_pctchg","18.9","+18.9%","percent change, real, FY2010-FY2026","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Houston HUD Fair Market Rent, 1-bedroom, real 2025 dollars, FY2010 ($1,086) to FY2026 ($1,291). FY2026 uses this module own partial-year CPI patch (col_defl2026_partial_year).","costliving"
"col_hud_br1_houston_peak","1291","$1,291 in FY2026","2025 dollars per month, peak fiscal year","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Houston HUD Fair Market Rent, 1-bedroom, peak real value FY2026 at $1,291, 2025 dollars.","costliving"
"col_hud_br1_houston_peaktolatest","0","0.0%","percent change, real, peak to FY2026","01_evidence/09_cost_of_living/hud_fmr_1983_2026_5area_long.csv","Houston HUD Fair Market Rent, 1-bedroom, real 2025 dollars, from its FY2026 peak ($1,291) to FY2026 ($1,291): 0.0%.","costliving"
