key,value,formatted,unit,source,note,module
"pums_musiccensus_tenk_2025usd","13828.84901904321","$13,800","2025 dollars","03_analysis/out/cpi_annual.dta","The 2013 Austin Music Census used a 10,000 dollar annual-earnings threshold. Converted with the CPI-U all-items annual average, factor 1.3829. The 2025 annual average uses an imputed October 2025 value because the federal funding lapse suspended CPI collection that month.","pums"
"pums_defl_2013_to_2025","1.382884901904321","1.3829","multiplier","03_analysis/out/cpi_annual.dta","CPI-U all items, U.S. city average, annual average 2025 divided by annual average 2013.","pums"
"pums_defl_2024_to_2025","1.026982152695904","1.0270","multiplier","03_analysis/out/cpi_annual.dta","Applied after ADJINC or ADJHSG, which already restate all five PUMS years in 2024 dollars.","pums"
"pums_base_records","555102","555,102","unweighted person records","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","ACS 2020-2024 5-year PUMS, Texas. Employed base: ages 18-64, ESR in 1/2/4/5.","pums"
"pums_base_weighted","13595139","13,595,139","people","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","PWGTP-weighted count of the employed base, ACS 2020-2024 5-year PUMS, Texas.","pums"
"pums_pos_records","554672","554,672","unweighted person records","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","Positive-earnings base: employed base with PERNP > 0. PERNP can be zero or negative because it nets self-employment losses.","pums"
"pums_nonpos_earn_records","430","430","unweighted person records","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","Employed Texans 18-64 reporting zero or negative earnings from work; PERNP nets business losses, so it can go below zero.","pums"
"pums_tx_mus_n_emp","500","500","unweighted person records","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","Base EMP = Musicians and singers (OCCP 2752), Texas, ages 18-64, employed (ESR 1/2/4/5), ACS 2020-2024 5-year PUMS, PWGTP-weighted; 500 unweighted records.","pums"
"pums_tx_mus_n_pos","498","498","unweighted person records","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","Base POS = Musicians and singers (OCCP 2752), Texas, ages 18-64, employed (ESR 1/2/4/5) with positive earnings, ACS 2020-2024 5-year PUMS, PWGTP-weighted; 498 unweighted records.","pums"
"pums_tx_mus_wtd_emp","12081","12,081","people","01_evidence/02_pums_nes_microdata/pums_baseline_TX_workers18to64_2020_2024_5yr.csv + pums_person_repweights_TX_2020_2024_5yr.csv.gz","Weighted denominator for every EMP-base figure in this cell. Base EMP = Musicians and singers (OCCP 2752), Texas, ages 18-64, employed (ESR 1/2/4/5), ACS 2020-2024 5-year PUMS, PWGTP-weighted; 500 unweighted records.","pums"
