key,value,formatted,unit,source,note,module
"tx_music_tmir_biennium","20200000","$20.2 million","2026-27 biennium, nominal","01_evidence/06_state_policy_benchmark/_findings.md","Texas Music Incubator Rebate: $10,100,000/year statutory dedication (Tax Code sec 183.023(c) $10,000,000 + sec 151.801(f) $100,000), SB 609, 87th Legislature (2021), funded starting the 2024-25 biennium. $20,200,000 for the 2026-27 biennium (Rider 39/40 of the 2024-25 and 2026-27 GAAs). Ongoing statutory dedication, not a one-time appropriation.","state"
"tx_film_incentive_biennium","300000000","$300.0 million","2026-27 biennium, nominal","01_evidence/06_state_policy_benchmark/_findings.md","Texas moving image industry incentive fund, SB 22, 89th Legislature (2025), Tax Code sec 151.801(g): comptroller deposits $300,000,000 per biennium, sunsets September 1, 2035. Same Gov’t Code ch. 485 office as the music rebate (Music, Film, Television, and Multimedia Office); ratio to TMIR is 14.9 to 1.","state"
"tx_film_workforce_pilot_onetime","30000000","$30.0 million, one-time","FY2026 only, nominal -- NOT a per-biennium recurring dedication like the other two lines","01_evidence/06_state_policy_benchmark/_findings.md","Higher Education Film Workforce Pilot Program, Rider 45 of the 2026-27 GAA, verbatim: $30,000,000 General Revenue in fiscal year 2026 to eligible general academic teaching institutions, film/media workforce only, no music counterpart, funds may not be spent for any other purpose. Funded once for FY2026, not a recurring per-biennium amount like TMIR or the moving-image fund -- shown for context, never summed with the other two bars as if all three were on the same time basis.","state"
"tx_film_music_ratio","14.9","14.9 to 1","ratio, both same 2026-27 biennium, nominal","01_evidence/06_state_policy_benchmark/_findings.md","Texas moving-image incentive ($300.0M/biennium) against the music rebate ($20.2M/biennium), both dedicated by the 89th/88th Legislatures for the 2026-27 biennium and administered by the same office (Gov’t Code ch. 485). Same nominal year on both sides of this ratio, so no CPI deflation applies -- recorded here so the omission reads as deliberate, not forgotten (CONVENTIONS.md section 3).","state"
"percapita_pop_2025_texas","31709821","31,709,821","residents, Census Vintage 2025, July 1 2025","01_evidence/06_state_policy_benchmark/trackers/Census_NST-EST2025-ALLDATA.csv","Texas resident population, Census Bureau Vintage 2025 state estimate, July 1, 2025 (SUMLEV 040). Used as the single population denominator for both the authorized and disbursed bars for Texas in fig16.","state"
"music_authorized_percapita_texas",".32","$0.32","2025 real dollars per capita, primary music-specific program","01_evidence/06_state_policy_benchmark/_findings.md","Texas: statutory cap or ongoing dedication for its primary music-specific incentive, deflated to 2025 dollars and divided by Vintage-2025 population. See fig16 caption/registry for the specific program and nominal-year assumption used for Texas.","state"
"music_disbursed_percapita_texas",".32","$0.32","2025 real dollars per capita, primary music-specific program","01_evidence/06_state_policy_benchmark/_findings.md","Texas: actual disbursed/claimed/awarded amount for its primary music-specific incentive, deflated to 2025 dollars and divided by Vintage-2025 population.","state"
"nasaa_baseline_percapita_texas",".5799999833106995","$0.58","FY2026 nominal dollars per capita, state arts agency (general arts, NOT music-specific)","01_evidence/03_creative_economy_bea/tidy/nasaa_fy2026_table6_per_capita_spending.csv","Texas state arts agency legislative appropriation including line items, FY2026, per capita (NASAA Table 6). This is a GENERAL arts baseline, not a music-specific figure -- it excludes Texas’s TMIR, Louisiana’s and Tennessee’s music-adjacent economic-development incentives entirely, because those sit outside the state arts agency in all three states.","state"
"percapita_pop_2025_georgia","11302748","11,302,748","residents, Census Vintage 2025, July 1 2025","01_evidence/06_state_policy_benchmark/trackers/Census_NST-EST2025-ALLDATA.csv","Georgia resident population, Census Bureau Vintage 2025 state estimate, July 1, 2025 (SUMLEV 040). Used as the single population denominator for both the authorized and disbursed bars for Georgia in fig16.","state"
"music_authorized_percapita_georgia","1.46","$1.46","2025 real dollars per capita, primary music-specific program","01_evidence/06_state_policy_benchmark/_findings.md","Georgia: statutory cap or ongoing dedication for its primary music-specific incentive, deflated to 2025 dollars and divided by Vintage-2025 population. See fig16 caption/registry for the specific program and nominal-year assumption used for Georgia.","state"
