key,value,formatted,unit,source,note,module
"crosscheck_emp_exact_share","98.5","98.5%","percent of comparable cells","03_analysis/data/external/BLS_OEWS_TX.dta","Cross-check of evidence CSV Texas OEWS employment against the author's independent BLS_OEWS_TX.dta panel, 7 target occ codes, 2005-2024 overlap (n=133 cells). 131 cells match exactly; max abs diff 0 jobs. See module return notes for any discrepancy detail.","wages"
"wage_series_choice_hourly","1","hourly, not annual","methodological note","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","BLS does not publish an annual wage for Musicians and Singers (a_median blank in all 63 of 63 occupation-geography-year rows in this extract) or for Actors (blank in all 39 of 39 rows). This is an absolute, standing BLS non-publication for occupations with too much part-year/irregular work to annualize meaningfully, not disclosure suppression and not a data-collection gap. This module therefore uses the median HOURLY wage (h_median) as the one series comparable across all 7 occupations and 3 geographies, and at no point constructs an annual figure for musicians or actors by multiplying an hourly wage by assumed hours; annual figures are used only for the other 5 occupations, where BLS publishes them directly.","wages"
"wage_hourly_real_musicians_austin_first","22.57","$22.57","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Austin MSA, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_musicians_austin_last","31.49","$31.49","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Austin MSA, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_musicians_austin","39.5","+39.5%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Austin MSA, real median hourly wage change 2005 to 2025: $22.57 to $31.49, 2025 dollars.","wages"
"emp_payroll_musicians_austin_first","150","150","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Austin MSA, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_musicians_austin_last","120","120","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Austin MSA, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_musicians_austin","-20","-20.0%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Austin MSA, payroll employment change 2005 to 2025: 150 to 120 jobs.","wages"
"wage_hourly_real_musicians_tx_first","21.58","$21.58","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Texas, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_musicians_tx_last","33.59","$33.59","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Texas, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_musicians_tx","55.7","+55.7%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Texas, real median hourly wage change 2005 to 2025: $21.58 to $33.59, 2025 dollars.","wages"
"emp_payroll_musicians_tx_first","2870","2,870","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Texas, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_musicians_tx_last","1430","1,430","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Texas, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
"emp_payroll_pctchg_musicians_tx","-50.2","-50.2%","percent change, payroll employment","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, Texas, payroll employment change 2005 to 2025: 2,870 to 1,430 jobs.","wages"
"wage_hourly_real_musicians_us_first","29.53","$29.53","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, United States, median hourly wage, 2005, OEWS. Deflated from nominal 2005 dollars using /Users/ericbooth/Library/CloudStorage/GoogleDrive-eric.booth@texas2036.org/My Drive/EconomicOutlook_MusiciansCreatives_20260801/03_analysis/stata/../../03_analysis/out/cpi_annual.dta.","wages"
"wage_hourly_real_musicians_us_last","47.8","$47.80","2025 dollars per hour","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, United States, median hourly wage, 2025, OEWS. 2025 dollars.","wages"
"wage_hourly_pctchg_musicians_us","61.90000000000001","+61.9%","percent change, real hourly median wage","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, United States, real median hourly wage change 2005 to 2025: $29.53 to $47.80, 2025 dollars.","wages"
"emp_payroll_musicians_us_first","50410","50,410","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, United States, OEWS payroll employment, 2005. Excludes the self-employed.","wages"
"emp_payroll_musicians_us_last","36180","36,180","wage-and-salary jobs","01_evidence/01_wages_oews_qcew/oews_musicians_creatives_2005_2025.csv","Musicians and Singers, United States, OEWS payroll employment, 2025. Excludes the self-employed.","wages"
