category,issuing_body,title,vintage,retrieval_date,url,workstream,limitation_note
Federal statistical sources,U.S. Bureau of Labor Statistics,"Occupational Employment and Wage Statistics (OEWS) [Austin-Round Rock(-San Marcos) MSA, Texas, and U.S.; 8 occupations incl. Musicians and Singers (SOC 27-2042)]",May 2005--May 2025 annual estimates (May 2025 is the current vintage),2026-08-01,https://www.bls.gov/oes/tables.htm,01_wages_oews_qcew,payroll wage-and-salary employment only; excludes the self-employed; annual-wage figures not published for Musicians and Singers or Actors in most years and geographies
Federal statistical sources,U.S. Bureau of Labor Statistics,"Quarterly Census of Employment and Wages (QCEW), annual-by-industry files [Travis County, Texas, U.S., and Austin-Round Rock(-San Marcos) MSA; NAICS 71, 7111, 71113, 7115]",2001--2025 (2025 vintage carries no MSA-level rows),2026-08-01,https://www.bls.gov/cew/,01_wages_oews_qcew,UI-covered wage-and-salary jobs only; excludes the self-employed
Federal statistical sources,U.S. Bureau of Labor Statistics,"Consumer Price Index for All Urban Consumers (CPI-U), U.S. city average, all items (series CUUR0000SA0), via the BLS Public Data API [U.S. national; used as the deflator for Austin venue receipts and cost-of-living series]","monthly, January 2007--June 2026",2026-08-01,https://api.bls.gov/publicAPI/v2/timeseries/data/,08_venues_ecosystem,no value was published for October 2025 because of the federal government shutdown; linearly interpolated in this project’s analysis and flagged
Federal statistical sources,U.S. Census Bureau,"American Community Survey (ACS) Public Use Microdata Sample (PUMS), 2020--2024 5-Year [Texas statewide and the Austin-Round Rock-San Marcos MSA (5-county PUMA crosswalk); 9 creative-occupation OCCP codes]",released 2026-03-05 (newest 5-year PUMS available as of retrieval),2026-08-01,https://www2.census.gov/programs-surveys/acs/data/pums/2024/5-Year/csv_ptx.zip,02_pums_nes_microdata,OCCP reflects a respondent’s current or most recent job only; dollar values are nominal unless the ADJINC adjustment factor is applied
Federal statistical sources,U.S. Census Bureau,2020 Census Tract to 2020 PUMA Relationship File,2020 vintage geography,2026-08-01,https://www2.census.gov/geo/docs/maps-data/data/rel2020/2020_Census_Tract_to_2020_PUMA.txt,02_pums_nes_microdata,used to build the Austin MSA PUMA crosswalk
Federal statistical sources,U.S. Census Bureau / Office of Management and Budget,"Core-Based Statistical Area Delineation Files, 2023 vintage",2023 OMB delineation,2026-08-01,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,02_pums_nes_microdata,confirms the 5-county Austin-Round Rock-San Marcos MSA definition
Federal statistical sources,U.S. Census Bureau,"Nonemployer Statistics (NES), county and state historical datasets [Travis, Williamson, Hays, Bastrop, Caldwell, Harris, Dallas, Tarrant, and Bexar counties, plus Texas statewide; NAICS 711/7111/7115]",2012--2023 (2023 is the latest available; 2024 not yet released as of retrieval),2026-08-01,https://www2.census.gov/programs-surveys/nonemployer-statistics/datasets/2023/historical-datasets/nonemp23co.zip,02_pums_nes_microdata,"counts establishments, not people; excludes unregistered/informal gig work"
Federal statistical sources,U.S. Census Bureau,"ACS Table-Based Summary File, tables B25064 (median gross rent) and B25077 (median home value) [Travis, Dallas, Harris, Bexar, and Davidson counties and their MSAs]",2017--2021 and 2020--2024 5-Year estimates,2026-08-01,https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b25064.dat,09_cost_of_living,this table-based format does not exist before the 2021 vintage; 5-year estimates smooth over sharp cyclical turns
Federal statistical sources,U.S. Census Bureau,Vintage 2025 State Population Totals (NST-EST2025-ALLDATA) [All 50 states; used as the per-capita denominator for state policy comparisons],"July 1, 2025 estimates",2026-08-01,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv,06_state_policy_benchmark,
Federal statistical sources,U.S. Bureau of Economic Analysis,"Arts and Cultural Production Satellite Account (ACPSA) [Texas plus 7 comparison states (CA, NY, TN, GA, LA, FL, WA) and the U.S., 2001--2023 (state); U.S. industry detail, 1998--2023]","2023 data, released April 2, 2025 (BEA news release 25-13)",2026-08-01,https://www.bea.gov/data/special-topics/arts-and-culture,03_creative_economy_bea,BEA announced in February 2026 that it will no longer regularly produce ACPSA statistics; the 2023/April-2025 release is the final regular annual release
Federal statistical sources,U.S. Bureau of Economic Analysis,"Regional Price Parities (RPP) and Implicit Regional Price Deflators (IRPD) by MSA [Austin, Dallas-Fort Worth, Houston, San Antonio, and Nashville MSAs, plus the U.S.]",2008--2024 annual (no 2025 vintage yet released),2026-08-01,https://apps.bea.gov/regional/zip/MARPP.zip,09_cost_of_living,
Federal statistical sources,U.S. Department of Housing and Urban Development,"Fair Market Rents (FMR), all-years file [Travis (Austin), Dallas, Harris (Houston), Bexar (San Antonio), and Davidson (Nashville) counties/HUD metro areas]",FY1983--FY2026 (FY1984 is missing from HUD’s own archive),2026-08-01,https://www.huduser.gov/portal/datasets/FMR/FMR_All_1983_2026.csv,09_cost_of_living,
Federal statistical sources,"U.S. Department of Labor, Employment and Training Administration","List of Apprenticeable Occupations [National, 1,441 titles; 16 arts/entertainment/media/audio titles extracted, incl. Musician (RAPIDS code 2080CB)]",cover sheet revised March 2020; current live version as of retrieval,2026-08-01,https://www.dol.gov/sites/dolgov/files/ETA/apprenticeship/pdfs/Available_Occupations.xlsx,10_apprenticeship_workforce,
Federal statistical sources,U.S. Small Business Administration,"Shuttered Venue Operators Grant (SVOG) awards file [National (13,011 records); Texas and Austin-area subsets]",“Awards as of 07-05-2022” (the last file SBA has published to its open-data portal),2026-08-01,https://data.sba.gov/sites/default/files/distribution/SBA-ODA-2022-09-001/awards-as-of-7-5-22.xlsx,07_svog_federal_relief,the commonly cited $16.25 billion appropriated figure differs from the $14.57 billion this file shows as awarded
Federal statistical sources,U.S. Small Business Administration,"Paycheck Protection Program (PPP) FOIA loan-level data [Texas subset, NAICS 711130/711310/722410; Austin-area subset]",snapshot as of 2024-09-30; loans originated 2020--2021,2026-08-01,https://data.sba.gov/dataset/ppp-foia,07_svog_federal_relief,NAICS is self-reported; 722410 (drinking places) is a broad bar/tavern category not specific to live music
Federal statistical sources,National Endowment for the Arts,"Arts and Cultural Production, State Profile: Texas",2026-produced document; underlying data is the 2023 ACPSA release,2026-08-01,https://www.arts.gov/impact/state-profiles/texas,03_creative_economy_bea,
