fy,n_awards,award_nominal,award_real,fy2022_gap
1982,3,72845,,0
1983,16,717329,,0
1984,17,740333,,0
1985,20,781080,,0
1986,23,949863,,0
1987,24,980644,,0
1988,27,447115,,0
1989,,,,0
1990,29,653695,,0
1991,33,748697,,0
1992,,,,0
1993,68,1225105,,0
1994,78,1401980,,0
1995,110,1644935,,0
1996,129,1782714,,0
1997,152,2124569,,0
1998,164,2393000,,0
1999,162,2519091,,0
2000,184,3159682,5911152.780094854,0
2001,180,3595927,6542383.686990778,0
2002,192,3805647,6815844.134629604,0
2003,205,2694078,4717942.618823104,0
2004,182,3107641,5300284.230827671,0
2005,192,2640668,4356041.876301258,0
2006,195,3512093,5612487.507983134,0
2007,147,3702611,5752834.579423168,0
2008,191,4994597,7473315.799436453,0
2009,196,5550573,8334845.824139892,0
2010,209,4948133,7310318.087184991,0
2011,217,4192251,6004047.928637744,0
2012,201,5076129,7122529.043701434,0
2013,204,6029984,8338773.832324625,0
2014,188,6943088,9448220.366058702,0
2015,249,7844827,10662666.58113061,0
2016,232,8259105,11085894.281827,0
2017,316,10040601,13196040.95491963,0
2018,319,11018408,14135861.25436385,0
2019,401,11511252,14505280.13372322,0
2020,374,11331394,14104649.07574055,0
2021,359,5749640,6835681.166058819,0
2022,0,0,0,1
2023,288,10432500,11030003.18207514,0
