year,county_name,estab,rcptot_real_thousands,receipts_per_estab_real
2012,Bexar,3261,72855.33435736356,22341.40887990296
2012,Dallas,5373,147437.9363339694,27440.5241641484
2012,Harris,7470,185541.6564543123,24838.24048919843
2012,Travis,5382,162951.0726445641,30277.04805733261
2013,Bexar,3247,66144.76774298558,20371.04026577936
2013,Dallas,5336,145183.5543113271,27208.3122772352
2013,Harris,7406,179913.3257377522,24292.91462837593
2013,Travis,5688,167388.5371812047,29428.36448333417
2014,Bexar,3263,66853.85092969179,20488.46182338087
2014,Dallas,5562,156142.0078850084,28072.99674307955
2014,Harris,7651,186860.9223713882,24423.07180386723
2014,Travis,6277,195975.6246496628,31221.22425516374
2015,Bexar,3433,70898.44227347968,20652.03678225449
2015,Dallas,5683,156185.3456854712,27482.90439652846
2015,Harris,7804,191226.8076741331,24503.69139853064
2015,Travis,6462,201154.3837326718,31128.81209109746
2016,Bexar,3587,70683.59015668284,19705.48931047751
2016,Dallas,6016,169076.8657519255,28104.53220610464
2016,Harris,7919,166707.7708672589,21051.61900079036
2016,Travis,6897,213272.2301556274,30922.46341244416
2017,Bexar,3879,76356.34434621198,19684.54352828357
2017,Dallas,6234,170440.850227865,27340.52778759464
2017,Harris,8538,200822.7844123702,23521.056970294
2017,Travis,7020,222801.2887757166,31738.07532417616
2018,Bexar,4201,83919.10667770225,19975.98349861991
2018,Dallas,6791,189932.8573840749,27968.31944987113
2018,Harris,9186,220650.0831405756,24020.25725458041
2018,Travis,7689,252248.6827472503,32806.43552441803
2019,Bexar,4460,88119.75839217129,19757.79336147338
2019,Dallas,7070,191855.8838569453,27136.61723577727
2019,Harris,9742,231270.4199389222,23739.52165252743
2019,Travis,8047,263948.4839503646,32800.85546792153
2020,Bexar,4048,73265.44682835041,18099.17164731976
2020,Dallas,6455,163063.5417160646,25261.58663300768
2020,Harris,9215,211141.6573080631,22912.8222797681
2020,Travis,7351,235386.7197158546,32021.04743787983
2021,Bexar,4682,99197.29399622406,21186.94873904828
2021,Dallas,7192,220258.2484379406,30625.45167379597
2021,Harris,10137,271847.6893140286,26817.37094939613
2021,Travis,7894,280010.5981024327,35471.31974948476
2022,Bexar,5308,111979.3902557022,21096.34330363643
2022,Dallas,7547,225985.3426239493,29943.731631635
2022,Harris,11226,294994.1306931742,26277.75972681046
2022,Travis,8632,311109.7577043953,36041.44551719131
2023,Bexar,5278,112705.3284648176,21353.79470724093
2023,Dallas,7551,226733.3057655592,30026.92434982905
2023,Harris,11067,274538.9730438443,24806.9913295242
2023,Travis,8696,315759.9425202637,36310.94095219224
