year,geography,industry_code,industry_title,disclosure_code,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,cpi,cpi_imputed,defl,avg_annual_pay_real
2001,US_national,7115,"Independent artists, writers, and performers",,14332,37046,98205,177.0666666666666,0,1.819387236445784,178672.9235551582
2001,Travis_County,71113,Musical groups and artists,,39,320,27142,177.0666666666666,0,1.819387236445784,49381.80837161146
2001,Austin_RoundRock_MSA,7115,"Independent artists, writers, and performers",N,0,,,177.0666666666666,0,1.819387236445784,
2001,TX_state,71113,Musical groups and artists,,230,2163,38860,177.0666666666666,0,1.819387236445784,70701.38800828316
2001,Austin_RoundRock_MSA,71113,Musical groups and artists,N,0,,,177.0666666666666,0,1.819387236445784,
2001,TX_state,7115,"Independent artists, writers, and performers",,370,1349,40489,177.0666666666666,0,1.819387236445784,73665.16981645333
2001,Travis_County,7115,"Independent artists, writers, and performers",,44,167,61843,177.0666666666666,0,1.819387236445784,112516.3648635166
2001,US_national,71113,Musical groups and artists,,5961,45459,37761,177.0666666666666,0,1.819387236445784,68701.88143542924
2002,TX_state,7115,"Independent artists, writers, and performers",,413,1511,41239,179.875,0,1.790981700254807,73858.29433680797
2002,US_national,71113,Musical groups and artists,,5814,44081,36989,179.875,0,1.790981700254807,66246.62211072505
2002,US_national,7115,"Independent artists, writers, and performers",,15697,40223,100026,179.875,0,1.790981700254807,179144.7355496873
2002,Travis_County,7115,"Independent artists, writers, and performers",,46,162,88620,179.875,0,1.790981700254807,158716.798276581
2002,Austin_RoundRock_MSA,7115,"Independent artists, writers, and performers",N,0,,,179.875,0,1.790981700254807,
2002,TX_state,71113,Musical groups and artists,,218,2118,39698,179.875,0,1.790981700254807,71098.39153671532
2002,Travis_County,71113,Musical groups and artists,,39,284,32348,179.875,0,1.790981700254807,57934.67603984249
2002,Austin_RoundRock_MSA,71113,Musical groups and artists,N,0,,,179.875,0,1.790981700254807,
2003,US_national,7115,"Independent artists, writers, and performers",,16896,44041,96537,183.9583333333333,0,1.75122718006795,169058.2182822197
2003,Austin_RoundRock_MSA,71113,Musical groups and artists,N,0,,,183.9583333333333,0,1.75122718006795,
