recipient_name,address,city,svog_zip,entity_type,total_awarded_usd,awarded_date,venue_key,venue_name,tier,district,match_method,uncertain_match,zip_agree,key_conflict,match_note
"Alamo South Lamar, L.P.",1120 South Lamar Blvd,Austin,78704,Motion picture theater operator,10000000,2021-07-20,,,,,unmatched,0,,0,
Flix Entertainment LLC,2000 S Interstate 35 STE Q11,Round Rock,78681,Motion picture theater operator,10000000,2021-07-26,,,,,unmatched,0,,0,
"Messina Touring Group, LLC","6836 Bee Cave Rd Bldg III, Ste 300",Austin,78746,Live venue operator or promoter,10000000,2021-07-30,,,,,unmatched,0,,0,
The University of Texas at Austin,"3925 West Braker Lane Office of Sponsored Projects, Building 156, Suite 3.340, MC: A9000",Austin,78759,Live venue operator or promoter,10000000,2021-07-19,,,,,unmatched,0,,0,
"Circuit of the Americas, LLC dba Germania Insurance Amphitheater",9201 Circuit of the Americas Blvd.,Austin,78617,Live venue operator or promoter,10000000,2021-10-30,,,,,unmatched,0,,0,
CINESTARZ ENTERTAINMENT LLC,1250 WONDER WORLD DRIVE,SAN MARCOS,78666,Motion picture theater operator,9271606,2021-08-24,,,,,unmatched,0,,0,
Alamo Lakeline LLC,"14028 North U.S. Highway 183, Building F",Austin,78717,Motion picture theater operator,9203317,2021-07-16,,,,,unmatched,0,,0,
Double Feature Partners LP,2603 Berenson Lane,Austin,78746,Motion picture theater operator,8249695,2021-06-30,,,,,unmatched,0,,0,
SXSW LLC,1400 Lavaca Street,Austin,78701,Live venue operator or promoter,8000000,2021-07-23,,,,,unmatched,0,,0,
BuenaVista Music LLC,1403 Rio Grande St,Austin,78701,Live venue operator or promoter,7736376,2021-08-18,,,,,unmatched,0,,0,
"Alamo Mueller, LLC","1911 Aldrich, Ste 120",Austin,78723,Motion picture theater operator,7437578.5,2021-07-20,,,,,unmatched,0,,0,
FLIX BREWHOUSE IOWA LLC,2000 S. Interstate Hwy. 35 Ste Q11,Round Rock,78681,Motion picture theater operator,7323378,2021-07-30,,,,,unmatched,0,,0,
Flix Brewhouse Indiana LLC,2000 S. Interstate 35 Suite Q11,Round Rock,78726,Motion picture theater operator,6995141,2021-08-04,,,,,unmatched,0,,0,
Flix Brewhouse LLC,2000 South IH 35 STE Q-11,Round Rock,78681,Motion picture theater operator,6946739.5,2021-08-01,,,,,unmatched,0,,0,
Austin Theatre Alliance,713 Congress Avenue,Austin,78701,Live venue operator or promoter,6554852,2021-07-19,paramount,Paramount Theatre,large_venue,Downtown,address,1,1,0,"One award covering both the Paramount and the Stateside, which file as two separate permits in the panel. Held out of the estimation sample."
Texas Cinema Corporation,1250 WONDER WORLD DRIVE,San Marcos,78666,Motion picture theater operator,5458875.5,2021-09-02,,,,,unmatched,0,,0,
