item,block,n_answer,pct_all
County of residence,All respondents,2227,100
Miles from downtown,All respondents,2150,96.5424337674001
City of Austin resident,All respondents,2149,96.49753030983386
Primary sector,All respondents,2128,95.55455770094298
Business structure (multi-select),All respondents,2023,90.83969465648855
Work location,All respondents,1991,89.4027840143691
Years of experience,All respondents,1979,88.86394252357431
Intent to stay in greater Austin,All respondents,1900,85.31656937584195
Intent to continue in music,All respondents,1900,85.31656937584195
Work back to pre-pandemic level,All respondents,1826,81.99371351594073
Health insurance,All respondents,1654,74.27031881454872
Expenses hard to afford,All respondents,1631,73.23753929052536
Received COVID relief,All respondents,1629,73.14773237539291
Housing tenure,All respondents,1620,72.7436012572968
Housing changes over past 2 years,All respondents,1612,72.38437359676695
Race,All respondents,1612,72.38437359676695
Age band,All respondents,1607,72.15985630893579
Gender,All respondents,1607,72.15985630893579
Music education (multi-select),All respondents,1157,51.95330040413112
Also presents or promotes gigs,Creatives block,1151,51.68387965873372
Income share: local live performance,Creatives block,1119,50.24696901661429
Paid local gigs per month,Creatives block,1086,48.7651549169286
Percent of gigs with a guarantee,Creatives block,1086,48.7651549169286
Work space status,All respondents,1057,47.46295464750786
Income share: touring,Creatives block,948,42.5684777727885
Income share: studio work,Creatives block,929,41.71531207903008
Income share: recordings and royalties,Creatives block,928,41.67040862146385
Income share: teaching,Creatives block,903,40.54782218230804
Percent of spend paid locally,Creatives block,888,39.87427031881455
Income share: songwriting,Creatives block,859,38.5720700493938
Income share: merchandise,Creatives block,839,37.67400089806915
Spend: supplies,Creatives block,742,33.31836551414459
Spend: gear and rentals,Creatives block,737,33.09384822631343
Spend: new recordings,Creatives block,728,32.68971710821733
Spend: web and social media,Creatives block,709,31.83655141445891
Spend: publicity and promotion,Creatives block,690,30.9833857207005
Spend: rehearsal or work space,Creatives block,646,29.00763358778626
Spend: merchandise,Creatives block,625,28.06466097889537
Spend: accounting and legal,Creatives block,611,27.43601257296812
Venue ownership structure,Presenter block,217,9.744050291872474
Venue type,Presenter block,209,9.384822631342614
Legal capacity,Presenter block,191,8.576560395150427
Can host live music outdoors,Presenter block,185,8.307139649753031
Intent to renew lease,All respondents,181,8.127525819488101
Pressure ranking of 9 items,Presenter block,177,7.94791198922317
Confidence booking local talent,Presenter block,167,7.498877413560844
Local talent share of bookings,Presenter block,163,7.319263583295914
Conditions of current lease,All respondents,131,5.88235294117647
