="Odds of intending to stay in greater Austin, 2022 Greater Austin Music Census"
="",="(1)",="(2)",="(3)"
="",="Intends to still live in greater Austin in 3 years",="Intends to still live in greater Austin in 3 years",="Intends to still live in greater Austin in 3 years"
="Intends to still live in greater Austin in 3 years",="",="",=""
="Music creative",="1.000",="1.000",=""
="",="(.)",="(.)",=""
="Music industry",="0.932",="0.923",=""
="",="(0.108)",="(0.118)",=""
="Venue or presenter",="1.112",="1.049",=""
="",="(0.251)",="(0.271)",=""
="Under 3 years",="1.000",="1.000",="1.000"
="",="(.)",="(.)",="(.)"
="3 to 5 years",="0.847",="0.904",="2.003"
="",="(0.210)",="(0.263)",="(1.053)"
="6 to 10 years",="0.491**",="0.396***",="0.853"
="",="(0.109)",="(0.104)",="(0.419)"
="More than 10 years",="1.046",="0.706",="1.726"
="",="(0.214)",="(0.173)",="(0.785)"
="Homeowner",="",="1.000",="1.000"
="",="",="(.)",="(.)"
="Renter",="",="0.388***",="0.502**"
="",="",="(0.048)",="(0.109)"
="Other or unstable housing",="",="0.550**",="0.754"
="",="",="(0.104)",="(0.241)"
="No health insurance",="",="1.000",="1.000"
="",="",="(.)",="(.)"
="Has health insurance",="",="1.214",="1.071"
="",="",="(0.182)",="(0.266)"
="None",="",="",="1.000"
="",="",="",="(.)"
="Very little",="",="",="1.281"
="",="",="",="(0.559)"
="Some",="",="",="2.109"
="",="",="",="(0.905)"
="Most",="",="",="1.135"
="",="",="",="(0.459)"
="All",="",="",="1.346"
="",="",="",="(0.621)"
="Owns work space",="",="",="1.000"
="",="",="",="(.)"
="Rents work space",="",="",="1.430"
="",="",="",="(0.780)"
="Needs but lacks work space",="",="",="1.361"
="",="",="",="(0.713)"
="Provided or not needed",="",="",="1.930"
="",="",="",="(1.023)"
="Respondents",="1895",="1607",="554"
="Log likelihood",="-1218.37",="-989.80",="-341.91"
="Pseudo R-squared",="0.015",="0.055",="0.056"
="Exponentiated coefficients; Standard errors in parentheses"
="Odds ratios. Self-selected convenience sample, no survey weights; association only, not causal."
="M1 all respondents. M2 adds housing tenure and health insurance. M3 music creatives only."
="* p<0.05, ** p<0.01, *** p<0.001"
